indicator,type,topic,description,response,respondent_group,year,sample_size,result,format
13b,Council Plan Indicator,Learning,Participate in learning activities in City of Melbourne,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,59.4,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,35-44 years,2022,225,96.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,45-54 years,2022,120,93.7,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Male,2022,551,91.5,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,East Melbourne 3002,2022,87,85.0,Per cent
14,Council Plan Indicator,Relationship with Aboriginal people,Relationship between Aboriginal and Torres Strait Islander people and other Australians for Australia as a nation,Reported as very important or important,Kensington / Flemington 3031,2022,119,97.5,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Carlton 3053,2022,176,61.7,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Docklands 3008,2022,125,47.3,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,63.1,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",Melbourne 3000,2022,363,59.1,Per cent
15,Other,Food production and consumption,Produce own food and consumed in last week,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,242,65.3,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,18-24 years,2022,417,8.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,25-34 years,2022,473,9.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,45-54 years,2022,122,13.9,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Male,2022,588,9.1,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,East Melbourne 3002,2022,91,4.4,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Kensington / Flemington 3031,2022,121,8.8,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,North Melbourne 3051 / West Melbourne 3003,2022,242,12.2,Per cent
16,Council Plan Indicator,Knowledge of Aboriginal culture,Aware of traditional owners of Melbourne,Able to name both Wurundjeri and Boonwurrung,Parkville 3052,2022,96,13.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",18-24 years,2022,417,69.2,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",35-44 years,2022,238,66.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",65+ years,2022,133,49.7,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",Male,2022,588,69.9,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",East Melbourne 3002,2022,91,74.5,Per cent
2a,Other,Physical activity,Participate in sports and exercise activities,"Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2022,242,64.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",35-44 years,2022,238,56.1,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",65+ years,2022,133,38.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Female,2022,897,50.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",City of Melbourne,2022,1508,56.5,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Docklands 3008,2022,125,61.9,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",East Melbourne 3002,2022,91,58.3,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",Parkville 3052,2022,96,61.4,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Wharf / Southbank 3006,2022,169,60.0,Per cent
2b,Other,Physical activity,Participate in sports and exercise activities in City of Melbourne,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,48.7,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",18-24 years,2022,417,26.1,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",25-34 years,2022,473,20.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",East Melbourne 3002,2022,91,23.2,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Melbourne 3000,2022,363,19.9,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",Parkville 3052,2022,96,29.4,Per cent
3a,Other,Physical activity,Participate in organised physical activity,"Yes, in the last 3 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,15.6,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",65+ years,2022,133,4.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Docklands 3008,2022,125,9.6,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",East Melbourne 3002,2022,91,17.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Melbourne 3000,2022,363,9.8,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",North Melbourne 3051 / West Melbourne 3003,2022,242,7.7,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",Parkville 3052,2022,96,10.9,Per cent
3b,Other,Physical activity,"Participate in physical activity organised by a fitness, leisure or indoor sports centre","Yes, in the last 3 months",South Wharf / Southbank 3006,2022,169,9.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",18-24 years,2022,417,15.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",25-34 years,2022,473,7.2,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",City of Melbourne,2022,1508,10.4,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",East Melbourne 3002,2022,91,6.5,Per cent
3c,Other,Physical activity,Participate in physical activity organised by a sports club or association,"Yes, in the last 3 months",Kensington / Flemington 3031,2022,121,12.7,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,25-34 years,2022,473,52.2,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,55-64 years,2022,118,43.5,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,65+ years,2022,133,30.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Kensington / Flemington 3031,2022,121,54.9,Per cent
4a,Other,Health,Self reported physical health,Reported as excellent or very good,Melbourne 3000,2022,363,45.4,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,65+ years,2022,133,63.7,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,Carlton 3053,2022,176,38.1,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,North Melbourne 3051 / West Melbourne 3003,2022,242,37.5,Per cent
4b,Other,Health,Self reported mental health,Reported as excellent or very good,South Wharf / Southbank 3006,2022,169,46.5,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",65+ years,2022,133,39.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Carlton 3053,2022,176,28.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",City of Melbourne,2022,1508,36.6,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",Docklands 3008,2022,125,47.7,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",East Melbourne 3002,2022,91,45.1,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,169,36.4,Per cent
5b,Other,Decision making,Participate in activities in City of Melbourne to influence government decision making,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,125,15.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",25-34 years,2022,473,34.1,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",35-44 years,2022,238,21.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",65+ years,2022,133,2.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Female,2022,897,33.0,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",City of Melbourne,2022,1508,31.7,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Docklands 3008,2022,125,26.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Melbourne 3000,2022,363,35.8,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,242,37.2,Per cent
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food and/or accessed emergency food relief services),"Yes, in the last 12 months",Parkville 3052,2022,96,39.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2022,118,3.1,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2022,133,2.5,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2022,123,21.2,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,11.7,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2022,361,23.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,241,26.1,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2022,96,30.3,Per cent
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,123,15.4,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2022,118,6.3,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2022,133,2.7,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2022,124,13.5,Per cent
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,166,13.9,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2022,882,13.4,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2022,582,12.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2022,124,10.3,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,236,19.0,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2022,164,11.6,Per cent
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,124,11.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",55-64 years,2022,118,2.6,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",City of Melbourne,2022,1508,10.2,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Docklands 3008,2022,125,6.9,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Kensington / Flemington 3031,2022,121,4.1,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",Melbourne 3000,2022,363,13.9,Per cent
6d,Other,Food security,Accessed emergency food relief services,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2022,242,7.6,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,25-34 years,2022,471,85.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,45-54 years,2022,122,79.8,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,65+ years,2022,132,93.7,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Female,2022,891,87.3,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Male,2022,585,86.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Carlton 3053,2022,176,80.2,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,North Melbourne 3051 / West Melbourne 3003,2022,239,86.8,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,Parkville 3052,2022,96,87.5,Per cent
7a,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - during the day,Reported as feeling very safe or safe,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,124,93.5,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,18-24 years,2022,407,48.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,25-34 years,2022,470,59.9,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,35-44 years,2022,236,63.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,45-54 years,2022,121,57.9,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,55-64 years,2022,114,67.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,Docklands 3008,2022,121,64.6,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,Parkville 3052,2022,95,59.7,Per cent
7b,Council Plan Indicator,Perceptions of safety,Feel safe by yourself in your neighbourhood - at night,Reported as feeling very safe or safe,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,124,64.9,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,55-64 years,2022,103,97.2,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,Carlton 3053,2022,166,74.5,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,East Melbourne 3002,2022,78,72.4,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,Melbourne 3000,2022,356,81.6,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,North Melbourne 3051 / West Melbourne 3003,2022,223,79.6,Per cent
7c,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - during the day,Reported as feeling very safe or safe,South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,115,81.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,45-54 years,2022,99,60.6,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,East Melbourne 3002,2022,69,57.7,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,Melbourne 3000,2022,340,48.0,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,North Melbourne 3051 / West Melbourne 3003,2022,206,47.2,Per cent
7d,Other,Perceptions of safety,Feel safe by yourself on public transport in and around City of Melbourne - at night,Reported as feeling very safe or safe,South Wharf / Southbank 3006,2022,151,55.2,Per cent
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),25-34 years,2022,458,72.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),East Melbourne 3002,2022,86,79.0,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),Kensington / Flemington 3031,2022,114,75.5,Average
8,Other,Quality of life,Personal Wellbeing Index (subjective wellbeing combined),Average of subjective wellbeing (0-1000),South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,116,71.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),25-34 years,2022,458,75.2,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),45-54 years,2022,121,76.5,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),65+ years,2022,121,81.7,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),Male,2022,558,76.0,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),City of Melbourne,2022,1444,75.9,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2022,163,79.1,Average
8a,Other,Subjective wellbeing,Satisfaction with standard of living,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,116,76.3,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),25-34 years,2022,458,75.1,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),55-64 years,2022,112,73.8,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Male,2022,558,75.0,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Carlton 3053,2022,170,74.9,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),East Melbourne 3002,2022,86,77.6,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2022,114,75.3,Average
8b,Other,Subjective wellbeing,Satisfaction with health,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2022,163,73.5,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),18-24 years,2022,397,66.9,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),35-44 years,2022,229,71.6,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),45-54 years,2022,121,71.4,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),55-64 years,2022,112,76.1,Average
8c,Other,Subjective wellbeing,Satisfaction with currently achieving in life,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2022,163,69.7,Average
8d,Other,Subjective wellbeing,Satisfaction with personal relationships,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2022,235,69.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),18-24 years,2022,397,78.2,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),25-34 years,2022,458,79.0,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),45-54 years,2022,121,79.8,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Male,2022,558,80.5,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),City of Melbourne,2022,1444,79.3,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Docklands 3008,2022,116,80.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2022,235,78.1,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),Parkville 3052,2022,93,82.3,Average
8e,Other,Subjective wellbeing,Satisfaction with how safe you feel,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,116,81.4,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),18-24 years,2022,397,63.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),25-34 years,2022,458,64.2,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Female,2022,865,65.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Male,2022,558,64.7,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),City of Melbourne,2022,1444,65.1,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2022,114,70.9,Average
8f,Council Plan Indicator,Subjective wellbeing,Satisfaction with feeling part of your community,Average satisfaction score (from 0-100),Parkville 3052,2022,93,67.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),45-54 years,2022,121,68.8,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Male,2022,558,68.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Docklands 3008,2022,116,70.3,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Kensington / Flemington 3031,2022,114,71.1,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),Parkville 3052,2022,93,703.0,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2022,163,66.5,Average
8g,Other,Subjective wellbeing,Satisfaction with future security,Average satisfaction score (from 0-100),South Yarra 3141 / Melbourne/St Kilda Road 3004,2022,116,67.6,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),25-34 years,2022,472,72.4,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),Female,2022,896,71.8,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),North Melbourne 3051 / West Melbourne 3003,2022,241,67.7,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),Parkville 3052,2022,96,71.3,Average
9,Other,Quality of life,Satisfaction with life as a whole,Average satisfaction score (from 0-100),South Wharf / Southbank 3006,2022,169,75.0,Average
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",Kensington / Flemington 3031,2021,118,53.6,Per cent
1,Council Plan Indicator,Physical activity,Participate in adequate physical activity,"Yes, 30 minutes or more on 4 or more days per week",North Melbourne 3051 / West Melbourne 3003,2021,213,50.6,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,55-64 years,2021,78,84.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,City of Melbourne,2021,1369,94.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,East Melbourne 3002,2021,71,96.8,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Kensington / Flemington 3031,2021,120,96.3,Per cent
10,Council Plan Indicator,Tolerance of diversity,It’s a good thing for society to be made up of different cultures,Reported as strongly agree or agree,Parkville 3052,2021,84,96.0,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",East Melbourne 3002,2021,73,23.8,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",Melbourne 3000,2021,344,30.1,Per cent
11a,Other,Volunteering,Help out as a volunteer,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,230,30.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Female,2021,726,18.3,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Male,2021,612,17.8,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Carlton 3053,2021,136,20.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",Docklands 3008,2021,109,23.9,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",East Melbourne 3002,2021,73,13.2,Per cent
11b,Other,Volunteering,Help out as a volunteer in the City of Melbourne,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2021,230,18.5,Per cent
12a,Other,Arts and cultural activities,Participate in arts and cultural activities in general,"Yes, in the last 3 months",18-24 years,2021,373,21.1,Per cent
