pipe_id,source,failure,installation_year,material,diameter_inches,length_feet,soil_type,soil_corrosivity,soil_moisture,soil_ph,depth_feet,pressure_psi,traffic_load,num_previous_repairs,days_since_last_repair,num_joints,water_quality_index,population_density,zone,average_daily_flow_gpm,temperature_variation_f,rainfall_inches_annual,ground_movement_index,pipe_age,material_life,age_ratio
SYR-0603,Syracuse_Real_Data,1,1931,steel,16,189.7,loam,non_corrosive,54.0,4.93,10.2,40.0,heavy,3,1336,13,76.9,8968.0,commercial,281.5,79.7,22.9,4.24,93,70,1.3285714285714285
SYR-0443,Syracuse_Real_Data,1,1949,cast_iron,20,1501.4,silt,mildly_corrosive,25.5,5.99,9.5,55.5,moderate,0,1716,15,74.6,9578.0,residential,316.6,26.7,31.2,3.5,75,100,0.75
EPA-00780,EPA_DWINS_Pattern,0,1945,cast_iron,24,1467.0,peat,highly_corrosive,50.2,4.52,5.3,91.7,none,2,3298,12,60.8,1267.0,industrial,460.3,13.8,35.7,0.91,79,100,0.79
SYR-0219,Syracuse_Real_Data,1,1928,steel,16,566.8,loam,mildly_corrosive,72.0,5.15,6.9,32.8,heavy,1,1981,5,56.8,5509.0,industrial,167.1,56.0,17.2,4.31,96,70,1.3714285714285714
EPA-01108,EPA_DWINS_Pattern,0,1982,ductile_iron,16,742.3,sandy,mildly_corrosive,51.8,6.43,10.6,76.8,light,1,1302,16,68.4,9896.0,mixed,406.4,62.3,55.4,5.74,42,100,0.42
SYR-0898,Syracuse_Real_Data,1,1977,cast_iron,24,1916.7,clay,corrosive,36.6,5.18,11.4,37.7,moderate,1,2351,18,96.0,7952.0,commercial,229.9,45.7,43.1,7.34,47,100,0.47
SYR-0737,Syracuse_Real_Data,1,1981,copper,16,253.4,loam,mildly_corrosive,66.6,7.3,12.0,98.5,light,0,610,22,78.0,11792.0,commercial,437.0,26.0,49.7,1.99,43,80,0.5375
EPA-02324,EPA_DWINS_Pattern,0,1932,hdpe,6,407.1,sandy,mildly_corrosive,48.3,5.84,9.3,87.1,heavy,0,1264,3,70.6,1864.0,residential,42.0,44.7,15.1,2.83,92,50,1.84
EPA-01481,EPA_DWINS_Pattern,0,1993,asbestos_cement,12,888.6,gravel,moderately_corrosive,91.8,7.94,9.3,84.8,light,0,3026,20,57.0,9588.0,commercial,361.8,31.5,40.0,4.49,31,70,0.44285714285714284
EPA-02817,EPA_DWINS_Pattern,0,1982,concrete,8,600.1,loam,corrosive,39.9,7.01,2.9,49.9,light,0,369,10,53.1,12605.0,residential,406.2,25.2,62.5,8.39,42,75,0.56
EPA-01060,EPA_DWINS_Pattern,0,1950,hdpe,16,1315.6,silt,moderately_corrosive,71.0,5.27,9.5,95.2,none,1,2077,21,80.3,9984.0,industrial,310.5,45.1,61.6,3.76,74,50,1.48
EPA-00905,EPA_DWINS_Pattern,0,1958,pvc,16,1396.7,gravel,moderately_corrosive,57.2,8.04,5.5,57.2,moderate,1,2496,15,97.9,1249.0,commercial,153.8,13.3,52.1,7.26,66,75,0.88
EPA-02383,EPA_DWINS_Pattern,0,1982,clay,8,1076.5,clay,moderately_corrosive,16.6,8.66,10.6,81.4,light,0,1900,28,72.4,9979.0,commercial,82.5,60.2,46.4,8.84,42,60,0.7
EPA-00667,EPA_DWINS_Pattern,0,1992,ductile_iron,8,1241.8,sandy,mildly_corrosive,49.9,4.6,2.1,38.3,heavy,1,1441,5,61.8,12772.0,commercial,372.2,63.6,65.5,1.84,32,100,0.32
EPA-02959,EPA_DWINS_Pattern,0,1938,cast_iron,4,895.2,gravel,moderately_corrosive,12.5,7.35,11.3,38.6,moderate,2,3380,9,68.8,2313.0,residential,72.8,79.0,16.4,6.43,86,100,0.86
EPA-01830,EPA_DWINS_Pattern,0,1961,asbestos_cement,8,1532.8,sandy,non_corrosive,77.1,7.15,6.8,47.5,heavy,1,2956,22,75.5,9319.0,residential,423.7,71.5,12.4,1.76,63,70,0.9
EPA-02131,EPA_DWINS_Pattern,0,1966,pvc,20,132.1,loam,mildly_corrosive,72.4,7.35,3.3,49.4,light,2,3015,7,87.7,7346.0,commercial,255.6,30.6,53.6,8.0,58,75,0.7733333333333333
EPA-02342,EPA_DWINS_Pattern,0,1926,ductile_iron,16,660.1,gravel,mildly_corrosive,14.3,4.16,8.0,41.4,moderate,0,381,9,72.7,3445.0,commercial,197.2,31.3,31.2,3.61,98,100,0.98
EPA-01482,EPA_DWINS_Pattern,0,1979,pvc,24,1384.6,clay,moderately_corrosive,52.5,4.14,8.9,40.6,moderate,0,3623,20,96.3,6684.0,mixed,126.0,41.1,18.0,6.2,45,75,0.6
EPA-00205,EPA_DWINS_Pattern,0,1987,ductile_iron,24,692.8,gravel,corrosive,91.7,5.47,9.8,109.1,heavy,4,1859,16,82.0,6401.0,commercial,18.0,60.7,66.2,9.26,37,100,0.37
EPA-00160,EPA_DWINS_Pattern,0,1981,pvc,20,203.1,sandy,mildly_corrosive,34.2,4.4,9.0,79.9,light,1,2533,6,56.0,8615.0,residential,453.6,12.9,11.2,2.49,43,75,0.5733333333333334
EPA-01291,EPA_DWINS_Pattern,0,1957,steel,6,722.8,loam,highly_corrosive,86.9,5.83,7.5,86.0,light,0,1397,11,55.7,11249.0,commercial,306.2,77.3,57.4,6.35,67,70,0.9571428571428572
EPA-00534,EPA_DWINS_Pattern,0,1940,pvc,8,1437.4,sandy,moderately_corrosive,22.8,8.36,2.8,55.9,light,1,2128,20,77.6,1543.0,commercial,353.4,59.2,34.2,5.44,84,75,1.12
SYR-0806,Syracuse_Real_Data,1,1985,steel,4,287.9,loam,highly_corrosive,10.6,5.77,10.6,35.0,moderate,3,2601,3,90.1,3099.0,industrial,487.1,69.5,32.8,6.61,39,70,0.5571428571428572
EPA-01707,EPA_DWINS_Pattern,0,1946,ductile_iron,4,1463.0,clay,moderately_corrosive,55.1,5.96,11.8,117.1,heavy,1,1980,28,76.7,9667.0,industrial,117.2,58.3,34.8,1.02,78,100,0.78
EPA-00875,EPA_DWINS_Pattern,0,1908,ductile_iron,6,1562.1,clay,mildly_corrosive,30.3,5.34,9.8,34.9,light,0,2095,13,90.2,1933.0,commercial,40.7,74.5,31.0,1.02,116,100,1.16
EPA-02276,EPA_DWINS_Pattern,0,1981,asbestos_cement,8,1288.8,sandy,moderately_corrosive,84.7,6.11,2.3,104.0,moderate,1,1318,14,54.0,9893.0,mixed,247.5,67.2,16.5,8.45,43,70,0.6142857142857143
SYR-0579,Syracuse_Real_Data,1,1938,clay,4,526.3,sandy,moderately_corrosive,67.3,7.99,9.6,89.9,light,1,3621,20,66.4,9889.0,residential,216.3,40.5,52.6,2.87,86,60,1.4333333333333333
EPA-01280,EPA_DWINS_Pattern,0,1907,cast_iron,20,1620.3,loam,corrosive,68.4,8.15,4.7,66.7,none,1,684,8,52.4,5116.0,industrial,41.2,59.6,41.0,6.81,117,100,1.17
EPA-02419,EPA_DWINS_Pattern,0,1970,pvc,12,468.2,clay,moderately_corrosive,67.2,6.11,11.6,97.2,heavy,2,1383,17,67.8,14831.0,residential,241.4,75.9,33.8,6.93,54,75,0.72
EPA-00363,EPA_DWINS_Pattern,0,1995,ductile_iron,16,1816.4,clay,moderately_corrosive,67.7,5.98,2.6,98.8,moderate,0,3016,29,78.4,7161.0,industrial,275.3,76.2,42.0,1.87,29,100,0.29
SYR-0001,Syracuse_Real_Data,1,1948,cast_iron,16,1428.0,clay,non_corrosive,73.5,4.98,2.9,109.0,heavy,1,1750,28,96.3,14432.0,residential,67.2,73.0,38.8,4.02,76,100,0.76
EPA-02427,EPA_DWINS_Pattern,0,1947,clay,24,156.7,sandy,non_corrosive,66.9,8.88,3.8,79.0,light,1,54,12,73.0,2763.0,commercial,350.7,62.5,24.7,1.16,77,60,1.2833333333333334
EPA-02729,EPA_DWINS_Pattern,0,1950,concrete,6,1608.6,clay,non_corrosive,80.9,5.55,9.5,49.2,moderate,2,396,29,68.8,14037.0,industrial,179.4,54.4,19.3,1.09,74,75,0.9866666666666667
EPA-02846,EPA_DWINS_Pattern,0,1935,ductile_iron,8,1037.5,clay,corrosive,57.4,5.71,8.5,81.5,moderate,1,3244,5,84.0,8688.0,residential,286.5,48.5,58.0,8.86,89,100,0.89
SYR-0965,Syracuse_Real_Data,1,1924,asbestos_cement,8,932.7,loam,corrosive,39.8,6.15,9.3,38.9,moderate,4,3619,27,85.9,14848.0,residential,322.2,23.3,52.9,6.49,100,70,1.4285714285714286
EPA-02254,EPA_DWINS_Pattern,0,1966,concrete,12,870.0,silt,moderately_corrosive,49.7,4.4,5.5,63.9,none,1,980,13,58.6,9008.0,industrial,185.5,42.1,21.5,3.27,58,75,0.7733333333333333
EPA-00012,EPA_DWINS_Pattern,0,1951,pvc,12,1232.9,silt,mildly_corrosive,47.4,5.64,10.8,84.9,none,1,792,10,85.0,13976.0,residential,370.4,19.4,17.3,5.59,73,75,0.9733333333333334
SYR-0248,Syracuse_Real_Data,1,1971,cast_iron,20,1462.9,sandy,mildly_corrosive,38.3,8.65,6.5,52.7,light,2,896,4,77.0,5307.0,residential,331.1,20.8,43.0,6.19,53,100,0.53
EPA-00426,EPA_DWINS_Pattern,0,1950,steel,12,1797.2,gravel,mildly_corrosive,45.3,4.37,3.3,107.9,moderate,3,3341,19,75.5,9530.0,commercial,38.2,21.0,49.1,0.19,74,70,1.0571428571428572
EPA-01112,EPA_DWINS_Pattern,0,1942,pvc,6,582.2,loam,moderately_corrosive,42.7,5.2,9.7,117.8,moderate,0,55,4,99.1,578.0,commercial,75.7,43.1,45.1,3.44,82,75,1.0933333333333333
EPA-02977,EPA_DWINS_Pattern,0,1943,copper,12,1280.0,loam,moderately_corrosive,19.4,5.09,7.3,36.8,moderate,2,381,22,88.6,8788.0,residential,32.0,16.1,26.5,5.72,81,80,1.0125
EPA-02408,EPA_DWINS_Pattern,0,1958,concrete,24,1388.4,clay,non_corrosive,80.6,5.18,7.9,48.5,light,1,1333,3,90.7,5687.0,commercial,436.2,70.1,53.9,3.53,66,75,0.88
EPA-02794,EPA_DWINS_Pattern,0,1966,pvc,12,1365.9,clay,corrosive,74.3,8.77,5.9,72.6,moderate,0,3573,16,91.1,12378.0,industrial,181.1,73.5,22.7,2.93,58,75,0.7733333333333333
EPA-00510,EPA_DWINS_Pattern,0,1982,concrete,12,1011.4,loam,mildly_corrosive,38.7,7.54,9.1,33.4,none,2,351,14,82.4,7502.0,residential,270.1,57.3,40.8,4.68,42,75,0.56
EPA-02516,EPA_DWINS_Pattern,0,1986,pvc,6,812.5,clay,mildly_corrosive,90.3,8.6,2.4,38.4,heavy,0,1234,29,51.3,7894.0,residential,268.9,46.3,21.4,7.32,38,75,0.5066666666666667
SYR-0651,Syracuse_Real_Data,1,1974,cast_iron,4,1536.6,silt,corrosive,90.7,8.29,6.9,111.1,light,1,698,14,68.4,14750.0,commercial,241.8,76.8,31.0,7.39,50,100,0.5
EPA-00968,EPA_DWINS_Pattern,0,1992,ductile_iron,6,635.0,sandy,non_corrosive,82.8,7.12,6.3,34.1,moderate,2,1219,10,88.3,13369.0,residential,205.8,32.5,39.9,5.93,32,100,0.32
EPA-01047,EPA_DWINS_Pattern,0,1973,pvc,4,455.7,clay,non_corrosive,12.5,6.8,9.5,52.3,light,1,2521,22,59.0,13980.0,mixed,179.2,52.3,44.3,7.69,51,75,0.68
EPA-00559,EPA_DWINS_Pattern,0,1995,steel,10,1114.4,clay,mildly_corrosive,41.6,6.55,4.7,68.1,light,4,753,26,97.9,2628.0,residential,137.0,65.9,16.5,1.43,29,70,0.4142857142857143
EPA-02801,EPA_DWINS_Pattern,0,1957,ductile_iron,24,571.8,clay,corrosive,48.9,7.45,4.3,31.8,moderate,2,1533,17,50.4,13215.0,commercial,125.9,61.5,31.4,1.58,67,100,0.67
SYR-0176,Syracuse_Real_Data,1,1987,asbestos_cement,10,114.8,sandy,corrosive,71.1,7.51,5.2,103.0,moderate,1,615,23,77.9,6474.0,commercial,326.5,69.1,42.3,7.61,37,70,0.5285714285714286
SYR-0279,Syracuse_Real_Data,1,1933,galvanized_steel,16,150.6,clay,mildly_corrosive,64.0,7.0,6.8,104.7,none,0,69,26,54.2,12799.0,industrial,354.3,26.3,57.9,2.73,91,50,1.82
EPA-00136,EPA_DWINS_Pattern,0,1976,pvc,20,1405.3,loam,corrosive,67.7,6.24,4.1,65.5,moderate,1,1838,14,88.0,7679.0,industrial,129.4,66.1,25.5,2.0,48,75,0.64
EPA-02553,EPA_DWINS_Pattern,0,1970,ductile_iron,20,1947.6,sandy,corrosive,75.2,7.38,8.8,48.2,none,0,1177,26,80.8,10034.0,commercial,77.0,12.5,57.4,1.15,54,100,0.54
EPA-01485,EPA_DWINS_Pattern,0,1967,clay,16,936.6,loam,moderately_corrosive,90.6,4.78,5.3,110.3,heavy,4,2723,24,70.2,3837.0,mixed,388.2,48.6,67.9,4.38,57,60,0.95
EPA-01431,EPA_DWINS_Pattern,0,1978,pvc,20,336.8,peat,highly_corrosive,56.9,6.76,6.2,91.1,light,4,52,6,55.1,3000.0,commercial,46.2,10.7,48.8,5.43,46,75,0.6133333333333333
EPA-01530,EPA_DWINS_Pattern,0,1933,cast_iron,8,1645.3,gravel,mildly_corrosive,86.8,6.6,7.6,77.1,light,2,210,14,72.6,8405.0,mixed,280.3,34.5,54.3,2.83,91,100,0.91
EPA-02520,EPA_DWINS_Pattern,0,1917,cast_iron,10,559.8,loam,moderately_corrosive,79.3,6.67,5.8,65.3,moderate,1,3342,3,67.5,2235.0,residential,248.0,50.6,58.1,3.58,107,100,1.07
SYR-0692,Syracuse_Real_Data,1,1934,copper,10,1991.5,sandy,highly_corrosive,38.7,6.55,9.0,78.5,moderate,3,1594,23,59.4,9409.0,industrial,351.2,59.7,62.0,9.67,90,80,1.125
EPA-02962,EPA_DWINS_Pattern,0,1957,ductile_iron,20,1148.4,silt,moderately_corrosive,79.2,7.75,8.6,52.5,none,0,3144,21,59.2,588.0,commercial,400.2,44.9,15.9,2.58,67,100,0.67
SYR-0417,Syracuse_Real_Data,1,1985,concrete,10,503.6,peat,highly_corrosive,20.0,7.79,9.6,70.5,moderate,0,416,3,92.4,3079.0,mixed,461.8,76.4,28.9,4.11,39,75,0.52
EPA-01890,EPA_DWINS_Pattern,0,1952,concrete,24,1017.2,loam,highly_corrosive,23.5,5.65,7.2,91.7,heavy,1,1308,2,66.4,4200.0,residential,144.2,45.8,40.4,3.66,72,75,0.96
SYR-0218,Syracuse_Real_Data,1,1984,concrete,6,704.0,clay,moderately_corrosive,94.4,5.75,5.7,67.0,light,1,2549,18,55.0,2614.0,commercial,28.8,15.0,30.1,5.69,40,75,0.5333333333333333
EPA-01489,EPA_DWINS_Pattern,0,1960,cast_iron,6,1570.0,silt,moderately_corrosive,46.4,4.08,4.0,91.6,none,2,900,13,57.9,1863.0,commercial,289.0,22.7,23.2,8.25,64,100,0.64
EPA-00972,EPA_DWINS_Pattern,0,1982,cast_iron,16,256.3,clay,moderately_corrosive,49.2,4.57,6.4,96.5,light,2,830,3,83.1,11479.0,industrial,197.7,69.2,64.9,9.12,42,100,0.42
EPA-02406,EPA_DWINS_Pattern,0,1941,cast_iron,20,1721.2,silt,mildly_corrosive,90.8,5.31,10.7,97.8,heavy,1,417,3,68.5,6338.0,commercial,227.6,76.2,56.2,4.05,83,100,0.83
EPA-02112,EPA_DWINS_Pattern,0,1971,concrete,16,1546.3,clay,moderately_corrosive,40.8,7.83,3.2,81.2,none,2,1289,26,52.8,3896.0,mixed,422.0,56.8,23.4,4.18,53,75,0.7066666666666667
SYR-0904,Syracuse_Real_Data,1,1966,cast_iron,8,1729.7,clay,moderately_corrosive,30.1,7.99,4.2,46.6,none,0,2582,14,52.7,4639.0,residential,186.9,62.1,24.5,5.74,58,100,0.58
EPA-01926,EPA_DWINS_Pattern,0,1969,ductile_iron,4,1795.2,silt,moderately_corrosive,16.6,5.24,8.7,93.1,heavy,1,1091,23,53.0,11927.0,commercial,274.3,53.3,47.9,8.86,55,100,0.55
SYR-0913,Syracuse_Real_Data,1,1930,copper,8,498.1,silt,mildly_corrosive,54.4,8.35,7.7,103.7,heavy,1,465,14,86.9,3466.0,mixed,76.5,54.7,38.0,0.8,94,80,1.175
EPA-02470,EPA_DWINS_Pattern,0,1990,concrete,10,1066.0,loam,moderately_corrosive,27.0,5.88,11.2,38.5,moderate,2,2293,27,92.5,11451.0,commercial,398.4,74.0,28.5,9.73,34,75,0.4533333333333333
SYR-0728,Syracuse_Real_Data,1,1988,galvanized_steel,10,1707.3,gravel,corrosive,15.5,7.99,2.3,110.6,none,0,2453,25,92.3,10976.0,residential,250.0,40.5,60.1,7.68,36,50,0.72
EPA-02756,EPA_DWINS_Pattern,0,1999,hdpe,24,785.9,gravel,mildly_corrosive,79.1,6.33,10.8,114.7,moderate,0,1508,27,77.3,1106.0,commercial,169.8,56.7,66.0,4.58,25,50,0.5
EPA-02080,EPA_DWINS_Pattern,0,1931,clay,20,167.8,loam,mildly_corrosive,37.9,7.56,9.3,90.1,heavy,0,965,20,69.6,13600.0,industrial,224.2,57.2,31.8,6.12,93,60,1.55
EPA-01826,EPA_DWINS_Pattern,0,1968,concrete,20,618.7,peat,highly_corrosive,59.2,5.78,9.8,40.0,light,2,2678,2,65.9,8505.0,mixed,127.5,37.7,48.7,9.63,56,75,0.7466666666666667
EPA-01156,EPA_DWINS_Pattern,0,1956,cast_iron,4,521.7,sandy,mildly_corrosive,18.9,4.35,5.8,88.8,light,2,2670,13,87.3,12595.0,residential,285.6,41.4,30.1,2.0,68,100,0.68
SYR-0450,Syracuse_Real_Data,1,1960,cast_iron,6,1746.6,clay,mildly_corrosive,53.0,5.27,5.1,62.0,heavy,0,2201,4,90.4,4841.0,residential,120.5,32.4,67.3,9.42,64,100,0.64
EPA-00396,EPA_DWINS_Pattern,0,1999,pvc,10,954.5,gravel,corrosive,63.7,7.49,2.1,57.3,moderate,1,1453,16,96.9,10380.0,residential,185.7,76.8,34.3,1.87,25,75,0.3333333333333333
SYR-0377,Syracuse_Real_Data,1,1926,steel,12,1382.9,sandy,non_corrosive,48.2,8.59,9.9,33.3,light,3,1857,15,99.2,9077.0,residential,52.5,19.2,22.4,9.63,98,70,1.4
EPA-02143,EPA_DWINS_Pattern,0,1951,galvanized_steel,16,1926.1,gravel,moderately_corrosive,38.7,7.14,3.6,95.2,heavy,1,525,17,85.2,4124.0,residential,157.1,27.8,33.9,0.14,73,50,1.46
EPA-00753,EPA_DWINS_Pattern,0,1973,asbestos_cement,8,633.4,clay,mildly_corrosive,36.4,7.84,4.3,81.0,moderate,0,40,28,59.6,12789.0,industrial,197.0,64.1,29.1,7.09,51,70,0.7285714285714285
EPA-02967,EPA_DWINS_Pattern,0,1938,pvc,4,1534.3,clay,non_corrosive,19.3,4.07,4.8,70.6,heavy,1,1034,8,98.1,12227.0,residential,391.3,34.0,40.6,0.31,86,75,1.1466666666666667
SYR-0434,Syracuse_Real_Data,1,1940,cast_iron,8,94.4,clay,non_corrosive,19.8,7.8,10.7,65.0,none,1,1909,26,56.1,10084.0,residential,327.8,58.5,15.6,4.62,84,100,0.84
SYR-0953,Syracuse_Real_Data,1,1979,asbestos_cement,20,253.0,loam,moderately_corrosive,52.1,8.18,4.9,67.1,light,0,2528,23,64.0,13036.0,mixed,67.9,60.9,47.1,0.07,45,70,0.6428571428571429
SYR-0372,Syracuse_Real_Data,1,1978,hdpe,24,365.6,gravel,mildly_corrosive,21.8,6.06,6.3,70.8,moderate,1,889,14,91.6,3363.0,mixed,305.0,48.7,56.4,0.43,46,50,0.92
EPA-02278,EPA_DWINS_Pattern,0,1959,steel,24,659.2,sandy,corrosive,29.0,6.47,9.5,73.0,light,5,2510,15,75.8,10682.0,commercial,226.9,38.6,25.8,7.91,65,70,0.9285714285714286
EPA-01397,EPA_DWINS_Pattern,0,1983,copper,12,835.8,clay,corrosive,24.0,4.26,10.9,38.8,light,1,1143,12,62.2,4394.0,residential,213.7,59.1,25.0,9.2,41,80,0.5125
EPA-00422,EPA_DWINS_Pattern,0,1929,pvc,4,980.2,sandy,non_corrosive,78.2,4.87,9.9,64.2,moderate,1,2192,19,76.2,14098.0,commercial,61.0,10.7,30.1,7.12,95,75,1.2666666666666666
SYR-0701,Syracuse_Real_Data,1,1982,copper,24,528.4,sandy,moderately_corrosive,48.2,4.28,7.4,35.8,moderate,0,427,23,88.5,8514.0,mixed,296.5,59.6,40.8,8.41,42,80,0.525
EPA-01868,EPA_DWINS_Pattern,0,1932,cast_iron,6,179.1,loam,mildly_corrosive,57.0,7.66,2.0,99.8,light,1,1200,2,63.7,12752.0,mixed,95.6,50.3,16.2,1.56,92,100,0.92
SYR-0645,Syracuse_Real_Data,1,1956,cast_iron,8,1371.2,silt,highly_corrosive,59.6,8.0,3.6,77.0,light,1,727,29,75.0,2777.0,residential,146.8,69.0,43.2,5.99,68,100,0.68
EPA-00458,EPA_DWINS_Pattern,0,1955,steel,24,96.1,clay,corrosive,43.7,4.54,4.5,102.0,moderate,3,2329,5,64.4,4840.0,mixed,411.6,61.9,49.6,4.98,69,70,0.9857142857142858
SYR-0666,Syracuse_Real_Data,1,1952,galvanized_steel,12,1628.5,sandy,corrosive,35.4,8.61,6.1,68.6,moderate,1,2597,6,69.9,11469.0,residential,38.1,49.3,68.7,8.57,72,50,1.44
EPA-00504,EPA_DWINS_Pattern,0,1981,concrete,6,1861.9,loam,moderately_corrosive,42.5,8.2,5.6,43.8,moderate,4,182,18,60.6,5446.0,industrial,392.0,64.7,67.9,5.56,43,75,0.5733333333333334
EPA-00428,EPA_DWINS_Pattern,0,1954,copper,12,1435.2,sandy,highly_corrosive,55.5,6.88,7.1,57.0,light,5,1469,4,85.4,1440.0,mixed,200.9,21.9,29.1,9.16,70,80,0.875
EPA-00633,EPA_DWINS_Pattern,0,2019,pvc,4,1212.1,sandy,moderately_corrosive,40.5,8.89,6.1,51.0,none,1,2217,22,65.7,9892.0,residential,149.4,37.7,50.0,9.09,5,75,0.06666666666666667
EPA-01421,EPA_DWINS_Pattern,0,2016,pvc,8,1331.2,loam,non_corrosive,21.6,8.41,9.3,69.6,heavy,4,2706,8,75.3,1740.0,residential,257.2,47.2,54.0,3.43,8,75,0.10666666666666667
EPA-00481,EPA_DWINS_Pattern,0,1965,cast_iron,24,1321.8,sandy,mildly_corrosive,87.7,5.11,2.5,101.0,heavy,1,2858,10,90.2,8379.0,commercial,140.2,64.0,59.9,7.46,59,100,0.59
EPA-00165,EPA_DWINS_Pattern,0,1963,steel,8,1866.8,clay,mildly_corrosive,72.3,8.77,11.9,40.5,moderate,2,2819,18,57.1,12566.0,residential,423.1,23.8,15.1,8.85,61,70,0.8714285714285714
SYR-0795,Syracuse_Real_Data,1,1989,copper,24,1930.4,clay,corrosive,15.6,6.21,10.4,66.0,moderate,0,530,28,83.1,8797.0,mixed,31.9,59.4,17.8,3.66,35,80,0.4375
EPA-02592,EPA_DWINS_Pattern,0,2001,hdpe,12,882.1,silt,moderately_corrosive,87.0,4.77,5.3,38.3,none,1,2323,7,66.5,7559.0,residential,338.7,29.3,27.9,7.75,23,50,0.46
SYR-0247,Syracuse_Real_Data,1,1959,steel,16,1253.3,clay,mildly_corrosive,24.5,5.0,6.0,65.2,light,0,2985,25,74.4,3504.0,industrial,404.8,23.9,26.1,0.01,65,70,0.9285714285714286
EPA-02816,EPA_DWINS_Pattern,0,1920,pvc,16,1615.5,gravel,highly_corrosive,18.3,7.42,11.6,82.4,moderate,6,2045,20,85.8,2527.0,residential,115.2,37.9,56.9,4.27,104,75,1.3866666666666667
SYR-0735,Syracuse_Real_Data,1,1988,galvanized_steel,12,52.0,loam,moderately_corrosive,24.7,8.94,11.4,36.2,moderate,2,3306,16,96.2,378.0,mixed,387.8,23.8,58.9,6.37,36,50,0.72
SYR-0506,Syracuse_Real_Data,1,1944,pvc,4,1077.7,loam,non_corrosive,89.3,6.23,5.9,36.0,light,1,2996,26,93.0,12031.0,industrial,231.0,40.5,38.1,3.65,80,75,1.0666666666666667
EPA-01441,EPA_DWINS_Pattern,0,1948,pvc,24,1323.1,silt,highly_corrosive,28.8,6.87,2.6,95.7,none,1,3501,19,95.0,553.0,residential,494.6,48.0,38.5,8.84,76,75,1.0133333333333334
EPA-00190,EPA_DWINS_Pattern,0,1996,concrete,10,1448.6,sandy,non_corrosive,76.9,5.5,11.9,66.7,heavy,2,3464,24,52.5,12895.0,residential,194.6,36.0,41.1,6.52,28,75,0.37333333333333335
EPA-02373,EPA_DWINS_Pattern,0,1965,pvc,16,769.1,clay,corrosive,64.7,8.23,8.5,61.6,moderate,2,138,18,71.0,6013.0,residential,167.8,75.8,11.9,5.36,59,75,0.7866666666666666
EPA-02444,EPA_DWINS_Pattern,0,1975,ductile_iron,12,626.5,clay,corrosive,54.0,4.58,8.9,91.8,heavy,1,1468,15,90.1,13662.0,commercial,447.5,57.2,33.8,8.66,49,100,0.49
EPA-00615,EPA_DWINS_Pattern,0,1933,concrete,16,405.2,silt,corrosive,41.1,6.91,4.7,37.6,moderate,4,3272,10,90.6,2426.0,industrial,333.2,38.3,15.5,7.5,91,75,1.2133333333333334
SYR-0533,Syracuse_Real_Data,1,1975,concrete,8,1137.7,loam,non_corrosive,17.9,6.93,10.2,107.4,heavy,6,323,9,71.0,12169.0,industrial,388.2,76.3,18.0,2.43,49,75,0.6533333333333333
SYR-0933,Syracuse_Real_Data,1,1971,asbestos_cement,20,1842.6,gravel,mildly_corrosive,70.4,4.01,7.6,99.8,light,2,259,3,64.3,12997.0,commercial,213.8,32.2,51.1,8.02,53,70,0.7571428571428571
SYR-0109,Syracuse_Real_Data,1,1985,clay,6,1797.2,loam,mildly_corrosive,43.6,8.7,6.7,65.1,none,0,1048,10,77.4,6326.0,commercial,251.2,54.8,42.7,5.14,39,60,0.65
EPA-00868,EPA_DWINS_Pattern,0,1957,steel,16,751.9,sandy,moderately_corrosive,55.5,8.87,9.4,72.2,moderate,1,1403,24,87.3,14740.0,mixed,491.3,42.9,36.1,2.05,67,70,0.9571428571428572
SYR-0950,Syracuse_Real_Data,1,1974,hdpe,12,552.8,sandy,non_corrosive,14.4,6.34,5.7,65.8,moderate,0,2277,10,84.6,3250.0,commercial,274.7,71.1,55.5,9.77,50,50,1.0
EPA-01414,EPA_DWINS_Pattern,0,1942,clay,12,1588.1,clay,moderately_corrosive,76.0,7.63,6.3,100.7,none,3,2015,14,62.5,1762.0,industrial,375.9,40.7,44.9,4.0,82,60,1.3666666666666667
EPA-01949,EPA_DWINS_Pattern,0,2018,steel,4,1463.7,gravel,moderately_corrosive,68.8,8.24,8.5,32.6,moderate,3,2688,12,50.0,14573.0,residential,489.9,12.8,25.8,0.36,6,70,0.08571428571428572
EPA-02206,EPA_DWINS_Pattern,0,1952,pvc,10,1035.4,clay,mildly_corrosive,55.0,4.58,8.4,90.4,light,2,832,25,94.3,3920.0,residential,366.0,31.5,49.8,9.21,72,75,0.96
EPA-01224,EPA_DWINS_Pattern,0,2007,ductile_iron,4,808.6,gravel,mildly_corrosive,52.2,4.42,11.7,57.2,none,0,1773,18,72.3,523.0,residential,360.2,32.1,27.2,1.27,17,100,0.17
EPA-01975,EPA_DWINS_Pattern,0,1943,concrete,12,291.4,clay,mildly_corrosive,38.6,7.45,7.6,100.2,heavy,0,1277,12,91.6,5958.0,mixed,66.7,37.6,16.7,4.56,81,75,1.08
EPA-02958,EPA_DWINS_Pattern,0,1949,ductile_iron,16,1581.0,loam,corrosive,39.1,6.8,5.2,118.6,moderate,1,3292,28,93.6,14870.0,industrial,113.8,61.2,67.3,5.18,75,100,0.75
