indicator,type,topic,description,response,respondent_group,year,sample_size,result,format,respondent_group0
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,122,11.3,Per cent,45-54 years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,80,32.0,Per cent,55-64 years
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,723,28.0,Per cent,Female
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,134,36.3,Per cent,Carlton 3053
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,83,24.5,Per cent,Parkville 3052
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,412,22.0,Per cent,25-34 years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,193,9.5,Per cent,35-44 years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,122,10.9,Per cent,45-54 years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,136,33.1,Per cent,Carlton 3053
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,1360,21.6,Per cent,City of Melbourne
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,72,8.8,Per cent,East Melbourne 3002
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,121,13.1,Per cent,Kensington / Flemington 3031
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,339,26.0,Per cent,Melbourne 3000
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,182,13.1,Per cent,South Wharf / Southbank 3006
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,363,28.0,Per cent,18-24 years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,134,31.7,Per cent,Carlton 3053
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,73,11.4,Per cent,East Melbourne 3002
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,119,12.4,Per cent,Kensington / Flemington 3031
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,618,32.2,Per cent,Male
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,121,23.8,Per cent,Kensington / Flemington 3031
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,84,31.9,Per cent,Parkville 3052
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",,2021,88,20.7,Per cent,South Yarra 3141 / Melbourne/St Kilda Road 3004
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,1361,27.3,Per cent,City of Melbourne
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,73,25.7,Per cent,East Melbourne 3002
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,342,31.7,Per cent,Melbourne 3000
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,228,26.0,Per cent,North Melbourne 3051 / West Melbourne 3003
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,182,22.7,Per cent,South Wharf / Southbank 3006
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",,2021,87,16.2,Per cent,South Yarra 3141 / Melbourne/St Kilda Road 3004
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,367,32.2,Per cent,18-24 years
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,723,22.0,Per cent,Female
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,226,22.3,Per cent,North Melbourne 3051 / West Melbourne 3003
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",,2021,84,21.0,Per cent,Parkville 3052
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,413,18.7,Per cent,25-34 years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,117,1.6,Per cent,65+ years
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,722,20.0,Per cent,Female
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,112,24.7,Per cent,Docklands 3008
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,226,19.0,Per cent,North Melbourne 3051 / West Melbourne 3003
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",,2021,183,12.9,Per cent,South Wharf / Southbank 3006
6,Other,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",City of Melbourne,2020,1339,33.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",East Melbourne 3002,2020,94,18.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Kensington / Flemington 3031,2020,118,23.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2020,221,26.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,111,31.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Male,2020,627,33.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",55-64 years,2020,90,3.8,Per cent,
6a,Council Plan Indicator,Food security,Worried food would run out,"Yes, in the last 12 months",Carlton 3053,2020,143,33.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2020,94,15.0,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2020,220,19.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2020,99,25.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2020,693,24.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",18-24 years,2020,347,40.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",45-54 years,2020,134,13.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Wharf / Southbank 3006,2020,140,17.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2020,689,16.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",25-34 years,2020,422,20.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2020,89,2.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",East Melbourne 3002,2020,94,9.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2020,220,12.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",35-44 years,2020,204,13.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",45-54 years,2020,135,11.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2020,90,2.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2020,124,0.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Carlton 3053,2020,142,42.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Docklands 3008,2020,118,27.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",18-24 years,2020,352,51.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2020,117,20.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington / Flemington 3031,2020,118,18.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2020,288,31.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2020,140,23.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,111,21.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Kensington / Flemington 3031,2020,118,13.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2020,218,17.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2020,99,18.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2020,344,29.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2020,135,8.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",City of Melbourne,2020,1324,17.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Carlton 3053,2020,142,21.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2020,115,14.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Kensington / Flemington 3031,2020,118,17.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2020,139,13.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,110,22.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2020,621,18.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2020,689,16.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",18-24 years,2020,345,25.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2020,421,19.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Melbourne 3000,2020,294,38.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Parkville 3052,2020,100,30.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Wharf / Southbank 3006,2020,141,32.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Female,2020,697,32.3,Per cent,
6,Other,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",25-34 years,2020,426,34.3,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",35-44 years,2020,207,25.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",45-54 years,2020,135,17.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",65+ years,2020,124,0.6,Per cent,
6a,Council Plan Indicator,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2020,1330,25.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2020,622,26.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",25-34 years,2020,423,27.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2020,207,19.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2020,90,2.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2020,124,0.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2020,1324,19.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2020,140,25.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2020,117,11.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",East Melbourne 3002,2020,94,12.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Melbourne 3000,2020,288,23.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,110,15.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2020,620,21.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2020,205,15.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2020,124,0.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Melbourne 3000,2020,286,22.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Parkville 3052,2020,100,13.9,Per cent,
6,Other,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",City of Melbourne,2019,1255,25.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Docklands 3008,2019,104,15.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Wharf / Southbank 3006,2019,138,19.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",18-24 years,2019,297,32.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",45-54 years,2019,93,20.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2019,104,10.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2019,94,15.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Kensington / Flemington 3031,2019,113,19.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,100,18.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2019,159,19.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2019,273,8.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2019,132,18.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Kensington / Flemington 3031,2019,113,15.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2019,214,15.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,100,18.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2019,603,13.6,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2019,296,19.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2019,160,14.1,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",45-54 years,2019,93,17.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2019,212,14.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Male,2019,598,13.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",18-24 years,2019,293,14.4,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",65+ years,2019,274,9.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Kensington / Flemington 3031,2019,113,25.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Male,2019,605,26.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",35-44 years,2019,160,22.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",65+ years,2019,274,9.8,Per cent,
6a,Council Plan Indicator,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2019,1250,20.4,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Melbourne 3000,2019,264,26.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2019,213,19.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",South Wharf / Southbank 3006,2019,138,16.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Male,2019,603,20.5,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",18-24 years,2019,294,25.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",25-34 years,2019,323,22.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",45-54 years,2019,93,12.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",55-64 years,2019,108,8.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",City of Melbourne,2019,1252,15.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Parkville 3052,2019,94,10.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",South Wharf / Southbank 3006,2019,138,9.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Female,2019,644,16.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",25-34 years,2019,321,13.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",55-64 years,2019,109,5.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",City of Melbourne,2019,1245,13.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",East Melbourne 3002,2019,93,11.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Melbourne 3000,2019,263,14.7,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Parkville 3052,2019,94,6.6,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Wharf / Southbank 3006,2019,137,8.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,100,20.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Female,2019,644,14.2,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2019,318,15.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Carlton 3053,2019,132,28.9,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",East Melbourne 3002,2019,94,20.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Melbourne 3000,2019,265,32.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2019,214,24.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Parkville 3052,2019,94,19.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,101,29.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Female,2019,645,25.0,Per cent,
6,Other,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",25-34 years,2019,322,28.1,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",55-64 years,2019,109,11.0,Per cent,
6a,Council Plan Indicator,Food security,Worried food would run out,"Yes, in the last 12 months",Carlton 3053,2019,131,22.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Parkville 3052,2019,93,18.1,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2019,642,20.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Docklands 3008,2019,104,9.9,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",East Melbourne 3002,2019,94,12.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Melbourne 3000,2019,263,18.7,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",65+ years,2019,273,8.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Carlton 3053,2019,131,23.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2019,104,8.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Kensington / Flemington 3031,2019,111,10.8,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",35-44 years,2019,160,14.1,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",45-54 years,2019,91,13.3,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",55-64 years,2019,109,6.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",East Melbourne 3002,2018,82,33.5,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,27.3,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Parkville 3052,2018,72,18.0,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,122,24.3,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Male,2018,546,22.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",25-34 years,2018,262,28.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",45-54 years,2018,131,15.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",City of Melbourne,2018,1242,19.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Carlton 3053,2018,125,25.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Docklands 3008,2018,103,21.7,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",East Melbourne 3002,2018,82,28.6,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Southbank/ South Wharf 3006,2018,123,15.3,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",Female,2018,686,22.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",18-24 years,2018,286,25.8,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",25-34 years,2018,262,23.2,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",35-44 years,2018,138,18.9,Per cent,
6a,Other,Food security,Worried food would run out,"Yes, in the last 12 months",65+ years,2018,280,2.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Carlton 3053,2018,125,23.3,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,141,16.4,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,183,16.8,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",Male,2018,544,14.0,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",18-24 years,2018,285,23.2,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",25-34 years,2018,259,19.5,Per cent,
6b,Other,Food security,Skipped meals,"Yes, in the last 12 months",35-44 years,2018,137,16.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",City of Melbourne,2018,1235,12.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Docklands 3008,2018,101,5.5,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Kensington/ Flemingon 3031,2018,142,12.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Melbourne 3000,2018,278,12.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,10.9,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",18-24 years,2018,283,17.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",25-34 years,2018,261,12.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",City of Melbourne,2018,1243,26.2,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Carlton 3053,2018,126,29.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Melbourne 3000,2018,282,25.8,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",North Melbourne 3051 / West Melbourne 3003,2018,184,28.7,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",South Yarra 3141 / Melbourne (St Kilda Road) 3004,2018,130,23.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",Female,2018,686,29.0,Per cent,
6c,Other,Food security,Ran out of food,"Yes, in the last 12 months",Carlton 3053,2018,126,16.6,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",18-24 years,2018,287,35.4,Per cent,
6,Council Plan Indicator,Food security,Experienced food insecurity (worried food would run out and/or skipped meals and/or ran out of food),"Yes, in the last 12 months",35-44 years,2018,138,22.7,Per cent,
