Geography,Year,Category,Industry Space Use,Value
Melbourne (Remainder),2024,Jobs by space use,Industrial,0
Melbourne (Remainder),2027,Jobs by space use,Industrial,2
Melbourne (Remainder),2031,Jobs by space use,Industrial,2
Melbourne (Remainder),2036,Jobs by space use,Industrial,1
Melbourne (Remainder),2040,Jobs by space use,Industrial,1
Melbourne (Remainder),2023,Jobs by space use,Office,10666
Melbourne (Remainder),2024,Jobs by space use,Office,10958
Melbourne (Remainder),2029,Jobs by space use,Office,12311
Melbourne (Remainder),2034,Jobs by space use,Office,12902
Melbourne (Remainder),2036,Jobs by space use,Office,13026
Melbourne (Remainder),2037,Jobs by space use,Office,13123
Melbourne (Remainder),2039,Jobs by space use,Office,13319
Melbourne (Remainder),2022,Jobs by space use,Other - Employment,46
Melbourne (Remainder),2034,Jobs by space use,Other - Employment,100
Melbourne (Remainder),2035,Jobs by space use,Other - Employment,102
Melbourne (Remainder),2036,Jobs by space use,Other - Employment,102
Melbourne (Remainder),2037,Jobs by space use,Other - Employment,102
Melbourne (Remainder),2039,Jobs by space use,Other - Employment,102
Melbourne (Remainder),2021,Jobs by space use,Retail,554
Melbourne (Remainder),2024,Jobs by space use,Retail,777
Melbourne (Remainder),2025,Jobs by space use,Retail,990
Melbourne (Remainder),2026,Jobs by space use,Retail,1053
Melbourne (Remainder),2028,Jobs by space use,Retail,1105
Melbourne (Remainder),2031,Jobs by space use,Retail,1178
Melbourne (Remainder),2032,Jobs by space use,Retail,1195
Melbourne (Remainder),2038,Jobs by space use,Retail,1217
Melbourne (Remainder),2040,Jobs by space use,Retail,1214
Melbourne (Remainder),2041,Jobs by space use,Retail,1207
North Melbourne,2021,Jobs by space use,Accommodation - Commercial,117
North Melbourne,2022,Jobs by space use,Accommodation - Commercial,120
North Melbourne,2025,Jobs by space use,Accommodation - Commercial,142
North Melbourne,2027,Jobs by space use,Accommodation - Commercial,168
North Melbourne,2035,Jobs by space use,Accommodation - Commercial,242
North Melbourne,2037,Jobs by space use,Accommodation - Commercial,253
North Melbourne,2039,Jobs by space use,Accommodation - Commercial,262
North Melbourne,2041,Jobs by space use,Accommodation - Commercial,272
North Melbourne,2023,Jobs by space use,Education,760
North Melbourne,2025,Jobs by space use,Education,1203
North Melbourne,2026,Jobs by space use,Education,1314
North Melbourne,2036,Jobs by space use,Education,2768
North Melbourne,2039,Jobs by space use,Education,2971
North Melbourne,2022,Jobs by space use,Entertainment - Hospitality,500
North Melbourne,2024,Jobs by space use,Entertainment - Hospitality,558
North Melbourne,2026,Jobs by space use,Entertainment - Hospitality,684
North Melbourne,2029,Jobs by space use,Entertainment - Hospitality,807
North Melbourne,2031,Jobs by space use,Entertainment - Hospitality,886
North Melbourne,2034,Jobs by space use,Entertainment - Hospitality,934
North Melbourne,2036,Jobs by space use,Entertainment - Hospitality,964
North Melbourne,2038,Jobs by space use,Entertainment - Hospitality,990
North Melbourne,2041,Jobs by space use,Entertainment - Hospitality,1036
North Melbourne,2023,Jobs by space use,Entertainment - Other,341
North Melbourne,2032,Jobs by space use,Entertainment - Other,559
North Melbourne,2033,Jobs by space use,Entertainment - Other,566
North Melbourne,2035,Jobs by space use,Entertainment - Other,577
Parkville,2023,Jobs by space use,Office,1464
North Melbourne,2041,Jobs by space use,Entertainment - Other,606
North Melbourne,2022,Jobs by space use,Health,689
North Melbourne,2025,Jobs by space use,Health,1343
North Melbourne,2026,Jobs by space use,Health,1735
North Melbourne,2032,Jobs by space use,Health,3436
North Melbourne,2034,Jobs by space use,Health,3806
North Melbourne,2035,Jobs by space use,Health,3983
North Melbourne,2039,Jobs by space use,Health,4613
North Melbourne,2041,Jobs by space use,Health,4959
North Melbourne,2021,Jobs by space use,Industrial,826
North Melbourne,2024,Jobs by space use,Industrial,832
North Melbourne,2025,Jobs by space use,Industrial,834
North Melbourne,2027,Jobs by space use,Industrial,899
North Melbourne,2036,Jobs by space use,Industrial,1086
North Melbourne,2039,Jobs by space use,Industrial,1101
North Melbourne,2040,Jobs by space use,Industrial,1105
North Melbourne,2022,Jobs by space use,Office,5892
North Melbourne,2027,Jobs by space use,Office,7510
North Melbourne,2031,Jobs by space use,Office,8993
North Melbourne,2032,Jobs by space use,Office,9377
North Melbourne,2036,Jobs by space use,Office,10815
North Melbourne,2039,Jobs by space use,Office,11808
North Melbourne,2041,Jobs by space use,Office,12782
North Melbourne,2024,Jobs by space use,Other - Employment,110
North Melbourne,2034,Jobs by space use,Other - Employment,164
North Melbourne,2036,Jobs by space use,Other - Employment,172
North Melbourne,2040,Jobs by space use,Other - Employment,190
North Melbourne,2041,Jobs by space use,Other - Employment,193
North Melbourne,2026,Jobs by space use,Retail,1171
North Melbourne,2027,Jobs by space use,Retail,1236
North Melbourne,2029,Jobs by space use,Retail,1359
North Melbourne,2031,Jobs by space use,Retail,1482
North Melbourne,2033,Jobs by space use,Retail,1581
North Melbourne,2034,Jobs by space use,Retail,1639
North Melbourne,2038,Jobs by space use,Retail,1884
North Melbourne,2039,Jobs by space use,Retail,1943
Parkville,2021,Jobs by space use,Accommodation - Commercial,585
Parkville,2022,Jobs by space use,Accommodation - Commercial,582
Parkville,2031,Jobs by space use,Accommodation - Commercial,613
Parkville,2032,Jobs by space use,Accommodation - Commercial,615
Parkville,2034,Jobs by space use,Accommodation - Commercial,619
Parkville,2036,Jobs by space use,Accommodation - Commercial,623
Parkville,2037,Jobs by space use,Accommodation - Commercial,625
Parkville,2039,Jobs by space use,Accommodation - Commercial,632
Parkville,2040,Jobs by space use,Accommodation - Commercial,635
Parkville,2024,Jobs by space use,Education,5950
Parkville,2025,Jobs by space use,Education,6015
Parkville,2026,Jobs by space use,Education,6079
Parkville,2027,Jobs by space use,Education,6202
Parkville,2030,Jobs by space use,Education,6583
Parkville,2033,Jobs by space use,Education,6657
Parkville,2038,Jobs by space use,Education,6817
Parkville,2039,Jobs by space use,Education,6898
Parkville,2022,Jobs by space use,Entertainment - Hospitality,546
Parkville,2030,Jobs by space use,Entertainment - Hospitality,876
Parkville,2036,Jobs by space use,Entertainment - Hospitality,961
Parkville,2037,Jobs by space use,Entertainment - Hospitality,976
Parkville,2039,Jobs by space use,Entertainment - Hospitality,1009
Parkville,2026,Jobs by space use,Entertainment - Other,499
Parkville,2027,Jobs by space use,Entertainment - Other,506
Parkville,2029,Jobs by space use,Entertainment - Other,521
Parkville,2031,Jobs by space use,Entertainment - Other,536
Parkville,2035,Jobs by space use,Entertainment - Other,559
Parkville,2021,Jobs by space use,Health,21094
Parkville,2031,Jobs by space use,Health,24328
Parkville,2033,Jobs by space use,Health,24666
Parkville,2035,Jobs by space use,Health,24833
Parkville,2036,Jobs by space use,Health,25006
Parkville,2038,Jobs by space use,Health,25572
Parkville,2021,Jobs by space use,Industrial,0
Parkville,2024,Jobs by space use,Industrial,0
Parkville,2025,Jobs by space use,Industrial,0
Parkville,2027,Jobs by space use,Industrial,1
Parkville,2029,Jobs by space use,Industrial,0
Parkville,2031,Jobs by space use,Industrial,0
Parkville,2034,Jobs by space use,Industrial,0
Parkville,2035,Jobs by space use,Industrial,0
Parkville,2041,Jobs by space use,Industrial,1
Parkville,2021,Jobs by space use,Office,1438
Parkville,2026,Jobs by space use,Office,1649
Parkville,2031,Jobs by space use,Office,1939
Parkville,2032,Jobs by space use,Office,1972
Parkville,2033,Jobs by space use,Office,1998
Parkville,2036,Jobs by space use,Office,2091
Parkville,2021,Jobs by space use,Other - Employment,71
Parkville,2023,Jobs by space use,Other - Employment,102
Parkville,2025,Jobs by space use,Other - Employment,138
Parkville,2026,Jobs by space use,Other - Employment,153
Parkville,2028,Jobs by space use,Other - Employment,182
Parkville,2029,Jobs by space use,Other - Employment,196
Parkville,2032,Jobs by space use,Other - Employment,222
Parkville,2033,Jobs by space use,Other - Employment,226
Parkville,2037,Jobs by space use,Other - Employment,251
Parkville,2024,Jobs by space use,Retail,264
Parkville,2029,Jobs by space use,Retail,320
Parkville,2033,Jobs by space use,Retail,347
Parkville,2034,Jobs by space use,Retail,352
Parkville,2039,Jobs by space use,Retail,397
Port Melbourne,2022,Jobs by space use,Accommodation - Commercial,1
Port Melbourne,2031,Jobs by space use,Accommodation - Commercial,38
Port Melbourne,2032,Jobs by space use,Accommodation - Commercial,41
Port Melbourne,2033,Jobs by space use,Accommodation - Commercial,43
Port Melbourne,2030,Jobs by space use,Health,469
Port Melbourne,2022,Jobs by space use,Education,988
Port Melbourne,2024,Jobs by space use,Education,1015
Port Melbourne,2027,Jobs by space use,Education,1105
Port Melbourne,2031,Jobs by space use,Education,1608
Port Melbourne,2032,Jobs by space use,Education,1901
Port Melbourne,2033,Jobs by space use,Education,2283
Port Melbourne,2021,Jobs by space use,Entertainment - Hospitality,148
Port Melbourne,2023,Jobs by space use,Entertainment - Hospitality,133
Port Melbourne,2024,Jobs by space use,Entertainment - Hospitality,144
Port Melbourne,2034,Jobs by space use,Entertainment - Hospitality,321
Port Melbourne,2036,Jobs by space use,Entertainment - Hospitality,347
Port Melbourne,2038,Jobs by space use,Entertainment - Hospitality,373
Port Melbourne,2039,Jobs by space use,Entertainment - Hospitality,387
Port Melbourne,2023,Jobs by space use,Entertainment - Other,15
Port Melbourne,2028,Jobs by space use,Entertainment - Other,24
Port Melbourne,2029,Jobs by space use,Entertainment - Other,29
Port Melbourne,2030,Jobs by space use,Entertainment - Other,35
Port Melbourne,2035,Jobs by space use,Entertainment - Other,68
Port Melbourne,2037,Jobs by space use,Entertainment - Other,79
Port Melbourne,2040,Jobs by space use,Entertainment - Other,97
Port Melbourne,2021,Jobs by space use,Health,0
Port Melbourne,2022,Jobs by space use,Health,6
Port Melbourne,2025,Jobs by space use,Health,48
Port Melbourne,2029,Jobs by space use,Health,305
Port Melbourne,2031,Jobs by space use,Health,661
Port Melbourne,2032,Jobs by space use,Health,788
Port Melbourne,2033,Jobs by space use,Health,883
Port Melbourne,2034,Jobs by space use,Health,980
Port Melbourne,2036,Jobs by space use,Health,1489
Port Melbourne,2039,Jobs by space use,Health,1868
Port Melbourne,2021,Jobs by space use,Industrial,3814
Port Melbourne,2024,Jobs by space use,Industrial,3507
Port Melbourne,2025,Jobs by space use,Industrial,3422
Port Melbourne,2028,Jobs by space use,Industrial,3508
Port Melbourne,2030,Jobs by space use,Industrial,3587
Port Melbourne,2034,Jobs by space use,Industrial,3474
Port Melbourne,2035,Jobs by space use,Industrial,3401
Port Melbourne,2036,Jobs by space use,Industrial,3402
Port Melbourne,2024,Jobs by space use,Office,8359
Port Melbourne,2028,Jobs by space use,Office,8804
Port Melbourne,2030,Jobs by space use,Office,9017
Port Melbourne,2031,Jobs by space use,Office,10546
Port Melbourne,2036,Jobs by space use,Office,17558
Port Melbourne,2037,Jobs by space use,Office,18255
Port Melbourne,2038,Jobs by space use,Office,18968
Port Melbourne,2041,Jobs by space use,Office,21271
Port Melbourne,2027,Jobs by space use,Other - Employment,109
Port Melbourne,2029,Jobs by space use,Other - Employment,144
Port Melbourne,2033,Jobs by space use,Other - Employment,214
Port Melbourne,2034,Jobs by space use,Other - Employment,226
Port Melbourne,2037,Jobs by space use,Other - Employment,265
Port Melbourne,2021,Jobs by space use,Retail,171
Port Melbourne,2026,Jobs by space use,Retail,196
Port Melbourne,2027,Jobs by space use,Retail,200
Port Melbourne,2028,Jobs by space use,Retail,206
Port Melbourne,2029,Jobs by space use,Retail,212
Port Melbourne,2030,Jobs by space use,Retail,220
Port Melbourne,2031,Jobs by space use,Retail,230
Port Melbourne,2034,Jobs by space use,Retail,270
South Yarra,2021,Jobs by space use,Accommodation - Commercial,11
South Yarra,2025,Jobs by space use,Accommodation - Commercial,18
South Yarra,2027,Jobs by space use,Accommodation - Commercial,21
South Yarra,2029,Jobs by space use,Accommodation - Commercial,21
South Yarra,2031,Jobs by space use,Accommodation - Commercial,21
South Yarra,2032,Jobs by space use,Accommodation - Commercial,21
South Yarra,2021,Jobs by space use,Education,785
South Yarra,2023,Jobs by space use,Education,793
South Yarra,2027,Jobs by space use,Education,920
South Yarra,2033,Jobs by space use,Education,967
South Yarra,2034,Jobs by space use,Education,977
South Yarra,2038,Jobs by space use,Education,1014
South Yarra,2039,Jobs by space use,Education,1014
South Yarra,2041,Jobs by space use,Education,1015
South Yarra,2024,Jobs by space use,Entertainment - Hospitality,193
South Yarra,2030,Jobs by space use,Entertainment - Hospitality,238
South Yarra,2034,Jobs by space use,Entertainment - Hospitality,240
South Yarra,2035,Jobs by space use,Entertainment - Hospitality,241
South Yarra,2036,Jobs by space use,Entertainment - Hospitality,241
South Yarra,2022,Jobs by space use,Entertainment - Other,30
South Yarra,2024,Jobs by space use,Entertainment - Other,29
South Yarra,2027,Jobs by space use,Entertainment - Other,29
South Yarra,2030,Jobs by space use,Entertainment - Other,28
South Yarra,2031,Jobs by space use,Entertainment - Other,27
South Yarra,2039,Jobs by space use,Entertainment - Other,24
South Yarra,2040,Jobs by space use,Entertainment - Other,24
South Yarra,2023,Jobs by space use,Health,121
South Yarra,2025,Jobs by space use,Health,274
South Yarra,2027,Jobs by space use,Health,375
South Yarra,2030,Jobs by space use,Health,399
South Yarra,2031,Jobs by space use,Health,400
South Yarra,2032,Jobs by space use,Health,400
South Yarra,2033,Jobs by space use,Health,400
South Yarra,2035,Jobs by space use,Health,398
South Yarra,2036,Jobs by space use,Health,399
South Yarra,2037,Jobs by space use,Health,399
South Yarra,2038,Jobs by space use,Health,399
South Yarra,2022,Jobs by space use,Industrial,3
South Yarra,2025,Jobs by space use,Industrial,3
South Yarra,2027,Jobs by space use,Industrial,3
South Yarra,2031,Jobs by space use,Industrial,2
South Yarra,2033,Jobs by space use,Industrial,2
South Yarra,2034,Jobs by space use,Industrial,1
South Yarra,2027,Jobs by space use,Office,27
South Yarra,2028,Jobs by space use,Office,28
South Yarra,2029,Jobs by space use,Office,28
South Yarra,2031,Jobs by space use,Office,29
South Yarra,2032,Jobs by space use,Office,29
South Yarra,2036,Jobs by space use,Office,30
South Yarra,2038,Jobs by space use,Office,30
South Yarra,2040,Jobs by space use,Office,31
South Yarra,2028,Jobs by space use,Other - Employment,7
South Yarra,2030,Jobs by space use,Other - Employment,6
South Yarra,2031,Jobs by space use,Other - Employment,6
South Yarra,2032,Jobs by space use,Other - Employment,6
South Yarra,2034,Jobs by space use,Other - Employment,6
South Yarra,2035,Jobs by space use,Other - Employment,6
South Yarra,2041,Jobs by space use,Other - Employment,6
South Yarra,2026,Jobs by space use,Retail,31
South Yarra,2027,Jobs by space use,Retail,32
South Yarra,2029,Jobs by space use,Retail,32
South Yarra,2030,Jobs by space use,Retail,32
South Yarra,2033,Jobs by space use,Retail,32
South Yarra,2035,Jobs by space use,Retail,32
South Yarra,2037,Jobs by space use,Retail,32
Southbank,2025,Jobs by space use,Accommodation - Commercial,1975
Southbank,2027,Jobs by space use,Accommodation - Commercial,2077
Southbank,2029,Jobs by space use,Accommodation - Commercial,2168
Southbank,2031,Jobs by space use,Accommodation - Commercial,2263
Southbank,2032,Jobs by space use,Accommodation - Commercial,2282
Southbank,2039,Jobs by space use,Accommodation - Commercial,2398
Southbank,2041,Jobs by space use,Accommodation - Commercial,2431
Southbank,2022,Jobs by space use,Education,1389
Southbank,2028,Jobs by space use,Education,1660
Southbank,2034,Jobs by space use,Education,2083
Southbank,2036,Jobs by space use,Education,2188
Southbank,2039,Jobs by space use,Education,2302
Southbank,2040,Jobs by space use,Education,2339
Southbank,2026,Jobs by space use,Entertainment - Hospitality,4891
Southbank,2027,Jobs by space use,Entertainment - Hospitality,5068
Southbank,2028,Jobs by space use,Entertainment - Hospitality,5248
Southbank,2030,Jobs by space use,Entertainment - Hospitality,5617
Southbank,2034,Jobs by space use,Entertainment - Hospitality,6014
Southbank,2035,Jobs by space use,Entertainment - Hospitality,6081
Southbank,2036,Jobs by space use,Entertainment - Hospitality,6151
Southbank,2037,Jobs by space use,Entertainment - Hospitality,6215
Southbank,2039,Jobs by space use,Entertainment - Hospitality,6348
Southbank,2022,Jobs by space use,Entertainment - Other,7031
Southbank,2029,Jobs by space use,Entertainment - Other,7372
Southbank,2033,Jobs by space use,Entertainment - Other,7959
Southbank,2034,Jobs by space use,Entertainment - Other,8100
Southbank,2038,Jobs by space use,Entertainment - Other,8735
Southbank,2041,Jobs by space use,Entertainment - Other,9212
Southbank,2023,Jobs by space use,Health,73
Southbank,2028,Jobs by space use,Health,110
Southbank,2029,Jobs by space use,Health,121
Southbank,2031,Jobs by space use,Health,142
Southbank,2036,Jobs by space use,Health,176
Southbank,2038,Jobs by space use,Health,188
Southbank,2024,Jobs by space use,Industrial,0
Southbank,2033,Jobs by space use,Industrial,0
Southbank,2036,Jobs by space use,Industrial,0
Southbank,2037,Jobs by space use,Industrial,0
Southbank,2040,Jobs by space use,Industrial,0
Southbank,2022,Jobs by space use,Office,27387
Southbank,2026,Jobs by space use,Office,28968
Southbank,2029,Jobs by space use,Office,30295
Southbank,2034,Jobs by space use,Office,31963
Southbank,2041,Jobs by space use,Office,34121
Southbank,2021,Jobs by space use,Other - Employment,1197
Southbank,2028,Jobs by space use,Other - Employment,1242
Southbank,2030,Jobs by space use,Other - Employment,1259
Southbank,2039,Jobs by space use,Other - Employment,1373
Southbank,2041,Jobs by space use,Other - Employment,1396
Southbank,2021,Jobs by space use,Retail,2409
Southbank,2022,Jobs by space use,Retail,2453
Southbank,2024,Jobs by space use,Retail,2586
Southbank,2030,Jobs by space use,Retail,2984
Southbank,2032,Jobs by space use,Retail,3119
Southbank,2033,Jobs by space use,Retail,3195
Southbank,2034,Jobs by space use,Retail,3271
Southbank,2038,Jobs by space use,Retail,3547
West Melbourne (Industrial),2021,Jobs by space use,Accommodation - Commercial,0
West Melbourne (Industrial),2024,Jobs by space use,Accommodation - Commercial,4
West Melbourne (Industrial),2029,Jobs by space use,Accommodation - Commercial,49
West Melbourne (Industrial),2037,Jobs by space use,Accommodation - Commercial,82
West Melbourne (Industrial),2039,Jobs by space use,Accommodation - Commercial,88
West Melbourne (Industrial),2023,Jobs by space use,Education,4
West Melbourne (Industrial),2030,Jobs by space use,Education,139
West Melbourne (Industrial),2031,Jobs by space use,Education,167
West Melbourne (Industrial),2033,Jobs by space use,Education,213
West Melbourne (Industrial),2035,Jobs by space use,Education,272
West Melbourne (Industrial),2041,Jobs by space use,Education,387
West Melbourne (Industrial),2023,Jobs by space use,Entertainment - Hospitality,3
West Melbourne (Industrial),2025,Jobs by space use,Entertainment - Hospitality,27
West Melbourne (Industrial),2026,Jobs by space use,Entertainment - Hospitality,54
West Melbourne (Industrial),2028,Jobs by space use,Entertainment - Hospitality,84
West Melbourne (Industrial),2031,Jobs by space use,Entertainment - Hospitality,137
West Melbourne (Industrial),2033,Jobs by space use,Entertainment - Hospitality,151
West Melbourne (Industrial),2034,Jobs by space use,Entertainment - Hospitality,158
West Melbourne (Industrial),2036,Jobs by space use,Entertainment - Hospitality,175
West Melbourne (Industrial),2037,Jobs by space use,Entertainment - Hospitality,183
West Melbourne (Industrial),2041,Jobs by space use,Entertainment - Hospitality,219
West Melbourne (Industrial),2023,Jobs by space use,Entertainment - Other,25
West Melbourne (Industrial),2025,Jobs by space use,Entertainment - Other,22
West Melbourne (Industrial),2033,Jobs by space use,Entertainment - Other,183
West Melbourne (Industrial),2034,Jobs by space use,Entertainment - Other,200
West Melbourne (Industrial),2037,Jobs by space use,Entertainment - Other,259
West Melbourne (Industrial),2038,Jobs by space use,Entertainment - Other,278
West Melbourne (Industrial),2040,Jobs by space use,Entertainment - Other,323
West Melbourne (Industrial),2021,Jobs by space use,Health,0
West Melbourne (Industrial),2024,Jobs by space use,Health,67
West Melbourne (Industrial),2028,Jobs by space use,Health,188
West Melbourne (Industrial),2034,Jobs by space use,Health,391
West Melbourne (Industrial),2038,Jobs by space use,Health,509
West Melbourne (Industrial),2039,Jobs by space use,Health,543
West Melbourne (Industrial),2023,Jobs by space use,Industrial,2707
West Melbourne (Industrial),2031,Jobs by space use,Industrial,2908
West Melbourne (Industrial),2033,Jobs by space use,Industrial,2859
West Melbourne (Industrial),2035,Jobs by space use,Industrial,2810
West Melbourne (Industrial),2040,Jobs by space use,Industrial,2775
West Melbourne (Industrial),2026,Jobs by space use,Office,1071
West Melbourne (Industrial),2027,Jobs by space use,Office,1091
West Melbourne (Industrial),2030,Jobs by space use,Office,1144
West Melbourne (Industrial),2036,Jobs by space use,Office,1361
West Melbourne (Industrial),2021,Jobs by space use,Other - Employment,29
West Melbourne (Industrial),2022,Jobs by space use,Other - Employment,35
West Melbourne (Industrial),2027,Jobs by space use,Other - Employment,80
West Melbourne (Industrial),2029,Jobs by space use,Other - Employment,96
West Melbourne (Industrial),2035,Jobs by space use,Other - Employment,118
West Melbourne (Industrial),2036,Jobs by space use,Other - Employment,120
West Melbourne (Industrial),2040,Jobs by space use,Other - Employment,134
West Melbourne (Industrial),2041,Jobs by space use,Other - Employment,138
West Melbourne (Industrial),2021,Jobs by space use,Retail,17
West Melbourne (Industrial),2028,Jobs by space use,Retail,83
West Melbourne (Industrial),2030,Jobs by space use,Retail,95
West Melbourne (Industrial),2036,Jobs by space use,Retail,175
West Melbourne (Industrial),2037,Jobs by space use,Retail,188
West Melbourne (Industrial),2038,Jobs by space use,Retail,200
West Melbourne (Residential),2024,Jobs by space use,Accommodation - Commercial,26
West Melbourne (Residential),2026,Jobs by space use,Accommodation - Commercial,33
West Melbourne (Residential),2028,Jobs by space use,Accommodation - Commercial,40
West Melbourne (Residential),2030,Jobs by space use,Accommodation - Commercial,52
West Melbourne (Residential),2037,Jobs by space use,Accommodation - Commercial,76
West Melbourne (Residential),2038,Jobs by space use,Accommodation - Commercial,79
West Melbourne (Residential),2041,Jobs by space use,Accommodation - Commercial,79
West Melbourne (Residential),2021,Jobs by space use,Education,270
West Melbourne (Residential),2022,Jobs by space use,Education,264
West Melbourne (Residential),2025,Jobs by space use,Education,283
West Melbourne (Residential),2032,Jobs by space use,Education,485
West Melbourne (Residential),2035,Jobs by space use,Education,567
West Melbourne (Residential),2036,Jobs by space use,Education,600
West Melbourne (Residential),2040,Jobs by space use,Education,640
West Melbourne (Residential),2022,Jobs by space use,Entertainment - Hospitality,218
West Melbourne (Residential),2025,Jobs by space use,Entertainment - Hospitality,274
West Melbourne (Residential),2028,Jobs by space use,Entertainment - Hospitality,337
West Melbourne (Residential),2029,Jobs by space use,Entertainment - Hospitality,356
West Melbourne (Residential),2032,Jobs by space use,Entertainment - Hospitality,407
West Melbourne (Residential),2033,Jobs by space use,Entertainment - Hospitality,415
West Melbourne (Residential),2034,Jobs by space use,Entertainment - Hospitality,422
West Melbourne (Residential),2038,Jobs by space use,Entertainment - Hospitality,453
West Melbourne (Residential),2021,Jobs by space use,Entertainment - Other,278
West Melbourne (Residential),2025,Jobs by space use,Entertainment - Other,243
West Melbourne (Residential),2027,Jobs by space use,Entertainment - Other,255
West Melbourne (Residential),2041,Jobs by space use,Entertainment - Other,425
West Melbourne (Residential),2021,Jobs by space use,Health,17
West Melbourne (Residential),2025,Jobs by space use,Health,35
West Melbourne (Residential),2026,Jobs by space use,Health,42
West Melbourne (Residential),2028,Jobs by space use,Health,57
West Melbourne (Residential),2033,Jobs by space use,Health,126
West Melbourne (Residential),2037,Jobs by space use,Health,170
West Melbourne (Residential),2038,Jobs by space use,Health,181
West Melbourne (Residential),2039,Jobs by space use,Health,181
West Melbourne (Residential),2040,Jobs by space use,Health,181
West Melbourne (Residential),2041,Jobs by space use,Health,181
West Melbourne (Residential),2025,Jobs by space use,Industrial,145
West Melbourne (Residential),2026,Jobs by space use,Industrial,155
West Melbourne (Residential),2027,Jobs by space use,Industrial,148
West Melbourne (Residential),2028,Jobs by space use,Industrial,143
West Melbourne (Residential),2033,Jobs by space use,Industrial,112
West Melbourne (Residential),2035,Jobs by space use,Industrial,96
West Melbourne (Residential),2041,Jobs by space use,Industrial,69
West Melbourne (Residential),2021,Jobs by space use,Office,3209
West Melbourne (Residential),2023,Jobs by space use,Office,3385
West Melbourne (Residential),2025,Jobs by space use,Office,3595
West Melbourne (Residential),2026,Jobs by space use,Office,3689
West Melbourne (Residential),2027,Jobs by space use,Office,3778
West Melbourne (Residential),2028,Jobs by space use,Office,3869
West Melbourne (Residential),2029,Jobs by space use,Office,3958
West Melbourne (Residential),2031,Jobs by space use,Office,4094
West Melbourne (Residential),2032,Jobs by space use,Office,4136
West Melbourne (Residential),2034,Jobs by space use,Office,4183
West Melbourne (Residential),2036,Jobs by space use,Office,4261
West Melbourne (Residential),2038,Jobs by space use,Office,4373
West Melbourne (Residential),2040,Jobs by space use,Office,4434
West Melbourne (Residential),2021,Jobs by space use,Other - Employment,455
West Melbourne (Residential),2022,Jobs by space use,Other - Employment,457
West Melbourne (Residential),2024,Jobs by space use,Other - Employment,465
West Melbourne (Residential),2025,Jobs by space use,Other - Employment,469
West Melbourne (Residential),2027,Jobs by space use,Other - Employment,478
West Melbourne (Residential),2029,Jobs by space use,Other - Employment,487
West Melbourne (Residential),2031,Jobs by space use,Other - Employment,520
West Melbourne (Residential),2037,Jobs by space use,Other - Employment,535
West Melbourne (Residential),2038,Jobs by space use,Other - Employment,538
West Melbourne (Residential),2039,Jobs by space use,Other - Employment,537
West Melbourne (Residential),2040,Jobs by space use,Other - Employment,537
West Melbourne (Residential),2022,Jobs by space use,Retail,348
West Melbourne (Residential),2023,Jobs by space use,Retail,354
West Melbourne (Residential),2025,Jobs by space use,Retail,379
West Melbourne (Residential),2027,Jobs by space use,Retail,397
West Melbourne (Residential),2030,Jobs by space use,Retail,425
West Melbourne (Residential),2040,Jobs by space use,Retail,497
City of Melbourne,2022,Jobs by industry,Total jobs,473514
City of Melbourne,2023,Jobs by industry,Total jobs,483587
City of Melbourne,2026,Jobs by industry,Total jobs,519577
City of Melbourne,2027,Jobs by industry,Total jobs,530590
City of Melbourne,2030,Jobs by industry,Total jobs,563548
City of Melbourne,2031,Jobs by industry,Total jobs,574576
City of Melbourne,2032,Jobs by industry,Total jobs,584108
City of Melbourne,2035,Jobs by industry,Total jobs,610557
City of Melbourne,2040,Jobs by industry,Total jobs,651311
City of Melbourne,2027,Jobs by space use,Total jobs,530590
City of Melbourne,2028,Jobs by space use,Total jobs,541611
City of Melbourne,2030,Jobs by space use,Total jobs,563548
City of Melbourne,2032,Jobs by space use,Total jobs,584108
City of Melbourne,2038,Jobs by space use,Total jobs,635332
City of Melbourne,2040,Jobs by space use,Total jobs,651311
Carlton,2022,Jobs by industry,Total jobs,15484
Carlton,2025,Jobs by industry,Total jobs,17894
Carlton,2027,Jobs by industry,Total jobs,19446
Carlton,2028,Jobs by industry,Total jobs,20287
Carlton,2031,Jobs by industry,Total jobs,22878
Carlton,2035,Jobs by industry,Total jobs,25156
Carlton,2037,Jobs by industry,Total jobs,26218
Carlton,2040,Jobs by industry,Total jobs,27274
Carlton,2024,Jobs by space use,Total jobs,17058
Carlton,2030,Jobs by space use,Total jobs,22022
Carlton,2031,Jobs by space use,Total jobs,22878
Carlton,2032,Jobs by space use,Total jobs,23483
Carlton,2033,Jobs by space use,Total jobs,24074
Carlton,2035,Jobs by space use,Total jobs,25156
Carlton,2037,Jobs by space use,Total jobs,26218
Carlton,2038,Jobs by space use,Total jobs,26528
Carlton,2039,Jobs by space use,Total jobs,26839
Carlton,2040,Jobs by space use,Total jobs,27274
Docklands,2023,Jobs by industry,Total jobs,75326
Docklands,2025,Jobs by industry,Total jobs,78137
Docklands,2027,Jobs by industry,Total jobs,80787
Docklands,2028,Jobs by industry,Total jobs,81930
Docklands,2029,Jobs by industry,Total jobs,83050
Docklands,2030,Jobs by industry,Total jobs,84166
Docklands,2035,Jobs by industry,Total jobs,88435
Docklands,2036,Jobs by industry,Total jobs,89382
Docklands,2038,Jobs by industry,Total jobs,91179
