Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Postcode,Regionname,Propertycount,Distance,CouncilArea
Surrey Hills,47 Suffolk Rd,3,h,2200000,VB,Fletchers,10/09/2016,3127,Southern Metropolitan,5457,10.2,Boroondara City Council
Sydenham,10 Kontek Wy,4,h,612000,S,Barry,10/09/2016,3037,Western Metropolitan,3640,18,Brimbank City Council
Sydenham,12 Manchester Dr,4,h,406000,S,Barry,10/09/2016,3037,Western Metropolitan,3640,18,Brimbank City Council
Taylors Lakes,10 Cocoparra Cr,4,h,521000,S,Prof.,10/09/2016,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Taylors Lakes,2/45 Wentworth Dr,3,t,420000,S,Prof.,10/09/2016,3038,Western Metropolitan,5336,15.5,Brimbank City Council
Templestowe,8 Barnacle Mw,4,h,1660000,S,Barry,10/09/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe,5 Hampton Cl,4,h,1170000,S,Barry,10/09/2016,3106,Eastern Metropolitan,6202,15.5,Manningham City Council
Templestowe Lower,40 Dellfield Dr,5,h,950000,PI,Barry,10/09/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,65 Fyfe Dr,4,h,1421000,S,Barry,10/09/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Templestowe Lower,37 Jacana Av,5,h,,S,Barry,10/09/2016,3107,Eastern Metropolitan,5420,12.4,Manningham City Council
Thornbury,6/112 Ballantyne St,1,u,260000,VB,Fletchers,10/09/2016,3071,Northern Metropolitan,8870,7,Darebin City Council
Thornbury,5/1 Clyde St,2,u,505000,SP,McGrath,10/09/2016,3071,Northern Metropolitan,8870,7,Darebin City Council
Thornbury,114 Collins St,4,h,,SN,Harcourts,10/09/2016,3071,Northern Metropolitan,8870,7,Darebin City Council
Thornbury,111a Darebin Rd,3,h,1010000,S,Love,10/09/2016,3071,Northern Metropolitan,8870,7,Darebin City Council
Thornbury,1/121 Darebin Rd,2,h,,SN,Nelson,10/09/2016,3071,Northern Metropolitan,8870,7,Darebin City Council
Toorak,5 Berenice Tce,4,h,4000000,VB,Jellis,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,1 Grosvenor Ct,3,u,1635000,S,Sotheby's,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,4/48 Lansell Rd,3,u,1560000,SP,Castran,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,5/755 Malvern Rd,3,t,2400000,S,Castran,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,11/789 Malvern Rd,1,u,345000,S,Woodards,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,11/41 Tintern Av,2,u,775000,S,hockingstuart,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Toorak,7a Woorigoleen Rd,3,t,2650000,VB,Jellis,10/09/2016,3142,Southern Metropolitan,7217,4.1,Stonnington City Council
Truganina,4 Katoora St,4,h,468000,SP,Sweeney,10/09/2016,3029,Western Metropolitan,5811,18.4,Melton City Council
Truganina,83 Verdant Rd,4,h,536100,S,Ray,10/09/2016,3029,Western Metropolitan,5811,18.4,Melton City Council
Tullamarine,38 Banksia Gr,3,h,740000,S,Jason,10/09/2016,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Tullamarine,48 Broadmeadows Rd,3,h,335000,S,Jason,10/09/2016,3043,Western Metropolitan,3296,12.9,Brimbank City Council
Vermont,202 Heatherdale Rd,5,h,2200000,SP,M.J,10/09/2016,3133,Eastern Metropolitan,4181,17.2,Maroondah City Council
Vermont,15a Nurlendi Rd,5,h,606000,S,Biggin,10/09/2016,3133,Eastern Metropolitan,4181,17.2,Maroondah City Council
Vermont South,15 Oxford Gr,4,h,1421000,SP,Noel,10/09/2016,3133,Eastern Metropolitan,4280,17.2,Whitehorse City Council
Wantirna South,17 Alana Ct,4,h,,SN,Barry,10/09/2016,3152,Eastern Metropolitan,7082,14.7,Knox City Council
Warrandyte,9 Antigoni Ct,6,h,,SP,Jellis,10/09/2016,3113,Eastern Metropolitan,2003,21.1,Manningham City Council
Watsonia,7 French Ct,3,h,740000,S,Buckingham,10/09/2016,3087,Northern Metropolitan,2329,14.5,Banyule City Council
West Footscray,18/24 Dongola Rd,2,t,620000,S,Village,10/09/2016,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Footscray,5/28 Hampton Pde,2,h,415000,S,Sweeney,10/09/2016,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Footscray,1/37 Hampton Pde,3,h,723000,S,Village,10/09/2016,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
West Footscray,1/12 Hatfield Ct,4,u,530000,SP,Sweeney,10/09/2016,3012,Western Metropolitan,5058,6.4,Maribyrnong City Council
Williamstown,33 Hannan St,4,h,2230000,S,Greg,10/09/2016,3016,Western Metropolitan,6380,6.8,Hobsons Bay City Council
Williamstown North,10/68 Kororoit Creek Rd,1,u,285000,S,Williams,10/09/2016,3016,Western Metropolitan,802,6.8,Hobsons Bay City Council
Windsor,115 Albert St,3,h,1370000,S,Paul,10/09/2016,3181,Southern Metropolitan,4380,4.6,Port Phillip City Council
Windsor,5/9 Williams Rd,2,u,655000,PI,Tim,10/09/2016,3181,Southern Metropolitan,4380,4.6,Port Phillip City Council
Wollert,61 Champions Pde,3,h,,PI,hockingstuart,10/09/2016,3750,Northern Metropolitan,2940,25.5,Whittlesea City Council
Wyndham Vale,42 Valewood Dr,3,h,273000,S,Barry,10/09/2016,3024,Western Metropolitan,5262,27.2,Wyndham City Council
Yarraville,60 Hamilton St,4,h,1785000,S,Village,10/09/2016,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Yarraville,3/107 Somerville Rd,2,u,330000,VB,Jas,10/09/2016,3013,Western Metropolitan,6543,6.3,Maribyrnong City Council
Abbotsford,2 Rich St,2,h,,SP,Biggin,10/12/2016,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,25/84 Trenerry Cr,2,u,760000,SP,Biggin,10/12/2016,3067,Northern Metropolitan,4019,3,Yarra City Council
Abbotsford,106/119 Turner St,1,u,481000,SP,Purplebricks,10/12/2016,3067,Northern Metropolitan,4019,3,Yarra City Council
Aberfeldie,1a Arthur St,3,u,845000,S,Nelson,10/12/2016,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Aberfeldie,126 The Boulevard,4,h,3900000,S,Nelson,10/12/2016,3040,Western Metropolitan,1543,7.5,Moonee Valley City Council
Airport West,13 Etzel St,3,h,805000,S,Nelson,10/12/2016,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Airport West,37a North St,3,t,760000,PI,Barry,10/12/2016,3042,Western Metropolitan,3464,10.4,Moonee Valley City Council
Albanvale,47 Trafalgar St,3,h,,SN,Barry,10/12/2016,3021,Western Metropolitan,1899,14,Brimbank City Council
Albert Park,44 Draper St,2,h,1810000,PI,Greg,10/12/2016,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,10/12/2016,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albert Park,23 Finlay St,5,h,2100000,S,Greg,10/12/2016,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,10/12/2016,3206,Southern Metropolitan,3280,3,Port Phillip City Council
Albion,60 Sydney St,3,h,720000,S,Sweeney,10/12/2016,3020,Western Metropolitan,2185,10.5,Brimbank City Council
Altona,1/60 David St,3,u,605000,S,Jas,10/12/2016,3018,Western Metropolitan,5301,11,Hobsons Bay City Council
Altona Meadows,14 Hosken St,4,h,561000,SP,Greg,10/12/2016,3028,Western Metropolitan,7630,15.5,Hobsons Bay City Council
Altona North,45 Freemans Rd,4,h,,PN,hockingstuart,10/12/2016,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,10/12/2016,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Altona North,1B Paproth Gr,2,h,551000,SP,RT,10/12/2016,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Altona North,7 Seventh Av,3,h,685000,SP,Greg,10/12/2016,3025,Western Metropolitan,5132,9.4,Hobsons Bay City Council
Armadale,1/2 Armadale St,1,u,400000,PI,hockingstuart,10/12/2016,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,54 Denbigh Rd,4,h,,SP,Jellis,10/12/2016,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,4/20 Mercer Rd,2,h,1780000,S,Marshall,10/12/2016,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,47 Northcote Rd,3,h,,SP,Jellis,10/12/2016,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,10/12/2016,3143,Southern Metropolitan,4836,6.3,Stonnington City Council
Ascot Vale,33 Dalgety Dr,3,h,960000,S,Walshe,10/12/2016,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,10/12/2016,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,2 The Parade,2,h,965000,S,Nelson,10/12/2016,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ascot Vale,13 Wigton St,4,h,,S,Nelson,10/12/2016,3032,Western Metropolitan,6567,4.3,Moonee Valley City Council
Ashburton,9 Gona Ct,3,h,1710000,S,hockingstuart,10/12/2016,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,60 Nicholas St,3,h,,SP,Marshall,10/12/2016,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,76 Nicholas St,3,h,,S,Marshall,10/12/2016,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashburton,45 Yuile St,3,h,1655000,S,Jellis,10/12/2016,3147,Southern Metropolitan,3052,10.2,Boroondara City Council
Ashwood,95 Huntingdale Rd,4,h,1100000,VB,Tim,10/12/2016,3147,Southern Metropolitan,2894,10.2,Monash City Council
Ashwood,2/25 May Park Av,2,u,675000,S,Buxton,10/12/2016,3147,Southern Metropolitan,2894,10.2,Monash City Council
Ashwood,9 Reid St,3,h,,SP,Buxton,10/12/2016,3147,Southern Metropolitan,2894,10.2,Monash City Council
Avondale Heights,3 Clive Ct,4,h,950000,S,Moonee,10/12/2016,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Avondale Heights,10 Hanley St,3,h,,SP,Brad,10/12/2016,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Avondale Heights,40 Templewood Cr,4,h,1200000,S,Nelson,10/12/2016,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Avondale Heights,22 Warrick Ct,4,h,1600000,PI,Nelson,10/12/2016,3034,Western Metropolitan,4502,9.5,Moonee Valley City Council
Balwyn,11 Belgrove Av,5,h,2950000,VB,Jellis,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,1/18 Belmore Rd,3,h,905000,S,Kay,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,316 Belmore Rd,4,h,1750000,PI,Ascend,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,11/22 Brenbeal St,2,t,760000,S,Christopher,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,7/1 Conway Cr,2,u,550000,SP,Noel,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,18 Fitzgerald St,4,h,3180000,S,Kay,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,3/3 Iramoo St,3,t,1367000,S,Jellis,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,9/7 Kireep Rd,3,t,788000,S,Fletchers,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,18 Metung St,5,h,3600000,SP,Marshall,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,25 Percy St,5,h,2550000,S,Marshall,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn,2/111 Strabane Av,3,h,1050000,SP,Marshall,10/12/2016,3103,Southern Metropolitan,5682,7.9,Boroondara City Council
Balwyn North,185 Doncaster Rd,4,h,1702000,PI,Jellis,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,41 Helston St,4,h,1800000,VB,Fletchers/One,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,17 Maylands Av,4,h,3300000,VB,Jellis,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,15 Moody St,4,h,2910000,S,Marshall,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,53 Sweyn St,2,h,1400000,S,Noel,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Balwyn North,2/11 Winfield Rd,2,t,860000,S,hockingstuart,10/12/2016,3104,Southern Metropolitan,7809,9.7,Boroondara City Council
Bayswater,1 Canara Ct,5,h,850000,VB,Jellis,10/12/2016,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Bayswater,6 Waranga Rd,4,h,792500,S,Ray,10/12/2016,3153,Eastern Metropolitan,5030,23.2,Knox City Council
Bayswater North,42 Greenhill Rd,4,h,720000,S,Philip,10/12/2016,3153,Eastern Metropolitan,3598,23.2,Maroondah City Council
Beaumaris,19 Bellaire Ct,4,h,,S,Buxton,10/12/2016,3193,Southern Metropolitan,5366,17.3,Bayside City Council
Bentleigh,3/9 Blair St,3,u,,SP,Buxton,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,548 Centre Rd,3,h,770000,VB,Woodards,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,1/30 Daley St,2,h,855000,SP,Marshall,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,1/26 Harding St,3,t,1100000,SP,Buxton,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,44 Mitchell St,3,h,,SP,Buxton,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,13/27 Patterson Rd,2,u,650000,SP,hockingstuart,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,112 Tucker Rd,4,h,1815000,S,Buxton,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh,9 Yawla St,4,h,2255000,S,hockingstuart,10/12/2016,3204,Southern Metropolitan,6795,11.4,Glen Eira City Council
Bentleigh East,1A Brian St,4,t,1185000,S,hockingstuart,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,13 Brooks St,4,t,1060000,S,Woodards,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,4/738 Centre Rd,2,u,716000,S,Buxton,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,2 Kenlon St,3,h,,SP,Buxton,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,8 Larman St,3,h,1302500,SP,Buxton,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,18 May St,3,h,1550000,S,Paul,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,9A Murrong Av,3,t,1279000,S,McGrath,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,1098 North Rd,3,h,840000,S,Buxton,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,106 Parkmore Rd,3,h,1110000,S,Woodards,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,77b Stockdale Av,4,t,1150000,PI,Buxton,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Bentleigh East,8 Tambet St,3,h,1106000,S,McGrath,10/12/2016,3165,Southern Metropolitan,10969,13.8,Glen Eira City Council
Berwick,31 Outlook Dr,4,h,692000,SP,Barry,10/12/2016,3806,Eastern Victoria,17093,35.2,Casey City Council
Berwick,40 Piermont Dr,4,h,,PN,Eview,10/12/2016,3806,Eastern Victoria,17093,35.2,Casey City Council
Black Rock,3/8 Ardoyne St,3,t,940000,S,Chisholm,10/12/2016,3193,Southern Metropolitan,2866,17.3,Bayside City Council
Black Rock,60 Iona St,3,h,1730000,S,LITTLE,10/12/2016,3193,Southern Metropolitan,2866,17.3,Bayside City Council
Black Rock,4 Munro St,4,h,1630000,S,hockingstuart,10/12/2016,3193,Southern Metropolitan,2866,17.3,Bayside City Council
Blackburn,2/96 Blackburn Rd,1,u,,SN,Barry,10/12/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn,8/11 Main St,2,u,620000,S,Jellis,10/12/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn,2/1 Park St,3,u,840000,SP,Jellis,10/12/2016,3130,Eastern Metropolitan,5713,13.4,Whitehorse City Council
Blackburn North,24 Mail Ct,3,h,1055000,PI,Jellis,10/12/2016,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council
Blackburn North,27 Marchiori Rd,4,h,,PI,Barry,10/12/2016,3130,Eastern Metropolitan,2867,13.4,Whitehorse City Council
Blackburn South,1/9 Barrina St,3,u,870000,S,Win,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,11 Gissing St,2,h,1259000,S,Stockdale,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,35 Lawrence St,3,h,1300000,SP,Quinta,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,16 Samuel Rd,4,h,1525000,S,Noel,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,37 Samuel Rd,3,h,,SN,Barry,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Blackburn South,2 School St,3,h,1051500,SP,Jellis,10/12/2016,3130,Eastern Metropolitan,4387,13.4,Whitehorse City Council
Bonbeach,2/37 Royal Rd,3,t,592000,S,hockingstuart/hockingstuart,10/12/2016,3196,South-Eastern Metropolitan,2887,27,Kingston City Council
Box Hill,3 Alexander St,3,h,1715000,SP,Marshall,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Box Hill,21 Barkly St,3,h,1200000,SP,Marshall,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Box Hill,17 Combarton St,3,h,1760000,S,Fletchers,10/12/2016,3128,Eastern Metropolitan,4605,10.9,Whitehorse City Council
Braybrook,3/87 Hargreaves Cr,2,t,,SP,Nguyen,10/12/2016,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Braybrook,19 Hughes St,3,h,570500,S,Trimson,10/12/2016,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Braybrook,21 Hughes St,3,h,575000,S,Trimson,10/12/2016,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Braybrook,19 Kannan Bvd,4,h,882000,S,Village,10/12/2016,3019,Western Metropolitan,3589,8.6,Maribyrnong City Council
Brighton,2 Campbell St,3,h,2050000,PI,hockingstuart,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,115 Dendy St,4,h,3180000,S,hockingstuart,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,640B Hampton St,2,t,960000,S,Hodges,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,5/778 Hampton St,2,h,752000,S,hockingstuart,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,1/858 Hampton St,2,u,833000,S,Buxton,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,68 Head St,3,h,,SN,Kay,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,73 Martin St,4,h,3320000,S,Buxton,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,297 New St,4,h,2800000,PI,RT,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,2a Roslyn St,1,h,1775000,S,Nick,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,3/24 South Rd,3,u,1602000,S,RT,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton,25 Were St,3,h,,PI,Marshall,10/12/2016,3186,Southern Metropolitan,10579,10.5,Bayside City Council
Brighton East,1 Arnot St,5,h,2500000,VB,Hodges,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,14 Holmhurst Ct,4,h,1700000,PI,Buxton,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,24 Moore St,3,h,1405000,S,Buxton,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,355 Nepean Hwy,3,h,1290000,S,Greg,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,104 South Rd,4,h,,SN,Kay,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,92 Thomas St,5,h,3207000,S,hockingstuart,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Brighton East,141 Union St,2,h,,S,Buxton,10/12/2016,3187,Southern Metropolitan,6938,10.3,Bayside City Council
Broadmeadows,77 Kitchener St,3,h,551000,S,Barry,10/12/2016,3047,Northern Metropolitan,4294,14,Hume City Council
Broadmeadows,3 Railway Cr,5,h,471000,SP,YPA,10/12/2016,3047,Northern Metropolitan,4294,14,Hume City Council
Broadmeadows,25 Wharton Av,4,h,520000,S,YPA,10/12/2016,3047,Northern Metropolitan,4294,14,Hume City Council
Brooklyn,5/16 Conifer Av,2,t,485000,SP,Purplebricks,10/12/2016,3012,Western Metropolitan,962,6.4,Brimbank City Council
Brunswick,7/117 Albion St,2,t,620000,S,Harrington,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,1/170 Albion St,2,u,605000,S,McGrath,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,3/5 Evans St,3,u,880000,S,Dingle,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,314/1 Lygon St,1,u,,W,Ray,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,5 MacKenzie St,3,h,1222500,S,Nelson,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick,6 Murdock St,3,h,,SN,Walshe,10/12/2016,3056,Northern Metropolitan,11918,5.2,Moreland City Council
Brunswick East,123 Barkly St,4,h,1280000,S,Nelson,10/12/2016,3057,Northern Metropolitan,5533,4,Moreland City Council
Brunswick East,4/37 Brunswick Rd,2,u,656000,S,Collins,10/12/2016,3057,Northern Metropolitan,5533,4,Moreland City Council
Brunswick West,11b Henderson St,3,t,1195000,S,Jellis,10/12/2016,3055,Northern Metropolitan,7082,5.2,Moreland City Council
Brunswick West,81 Melville Rd,3,h,793000,S,Ray,10/12/2016,3055,Northern Metropolitan,7082,5.2,Moreland City Council
Brunswick West,6/524 Moreland Rd,2,u,400000,SP,Nelson,10/12/2016,3055,Northern Metropolitan,7082,5.2,Moreland City Council
Bulleen,38 Balwyn Rd,3,h,905000,S,Barry,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bulleen,11 Carrathool St,3,h,1400000,S,Barry,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bulleen,16 Chateau Ri,4,h,1550000,PI,Jellis,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bulleen,135 Manningham Rd,4,h,1085000,PI,Barry,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bulleen,24 Robert St,4,h,1300000,SP,Jellis,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bulleen,30a Warringal St,3,h,1240000,S,Barry,10/12/2016,3105,Eastern Metropolitan,4480,10.8,Manningham City Council
Bundoora,51 Arthur St,3,h,705000,S,Ray,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,6 Aruma Ct,3,h,605000,S,Stockdale,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,17 Botanic Ct,3,h,665000,S,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,60 Clovemont Wy,4,h,,PI,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,192 Greenwood Dr,4,h,657500,SP,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,3 Japonica St,4,h,642000,S,Ray,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,19 Lea Cr,3,h,620000,S,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,3 Miller Ct,3,h,709000,S,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,3 Napoli Cl,3,h,602000,S,Ray,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Bundoora,52 Zara Cl,3,h,,PI,Barry,10/12/2016,3083,Northern Metropolitan,10175,12.1,Banyule City Council
Burnley,12 Loyola Gr,2,h,1231010,SP,Jellis,10/12/2016,3121,Northern Metropolitan,438,2.4,Yarra City Council
Burwood,2 Bennett St,3,h,1342000,S,McGrath,10/12/2016,3125,Southern Metropolitan,5678,10.4,Monash City Council
Burwood,29 Clanbrae Av,4,h,1381000,S,Buxton,10/12/2016,3125,Southern Metropolitan,5678,10.4,Monash City Council
Burwood,1/9 Farleigh Av,3,u,,SN,Barry,10/12/2016,3125,Southern Metropolitan,5678,10.4,Monash City Council
Burwood,12 Havelock St,4,h,1782800,SP,Buxton,10/12/2016,3125,Southern Metropolitan,5678,10.4,Monash City Council
Burwood East,8 Davor Ct,3,h,,SN,RT,10/12/2016,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
Burwood East,33 Inga St,4,h,1360000,S,Fletchers,10/12/2016,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
Burwood East,24 Sheraton Cl,5,h,,SN,Barry,10/12/2016,3151,Eastern Metropolitan,4048,14.7,Whitehorse City Council
Camberwell,84 Bowen St,4,h,,SN,Kay,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Camberwell,12 Brinsley Rd,4,h,2090000,S,Noel,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Camberwell,3/575 Burke Rd,3,t,1250000,VB,Fletchers,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Camberwell,4/445 Camberwell Rd,4,t,,SA,RT,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Camberwell,34 Seymour Gr,5,h,,PI,RT,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Camberwell,11 Sunnyside Av,3,h,3775000,S,Jellis,10/12/2016,3124,Southern Metropolitan,8920,7.7,Boroondara City Council
Canterbury,13 Byron St,5,h,2930000,S,Jellis,10/12/2016,3126,Southern Metropolitan,3265,8.4,Boroondara City Council
