Subtopics,Category,Subcategory,year,Percentage
Satisfaction with future security,Age Group,18-24 years,2020,61.8
Satisfaction with future security,Age Group,55-64 years,2020,73.5
Satisfaction with future security,Age Group,65+ years,2020,81.7
Satisfaction with standard of living,Suburb,Docklands 3008,2020,77.8
Satisfaction with standard of living,Suburb,Kensington / Flemington 3031,2020,74.7
Satisfaction with standard of living,Suburb,Melbourne 3000,2020,72.4
Satisfaction with standard of living,Suburb,Parkville 3052,2020,78.4
Satisfaction with standard of living,Suburb,South Wharf / Southbank 3006,2020,74.7
Satisfaction with standard of living,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,79.0
Satisfaction with standard of living,Age Group,25-34 years,2020,71.8
Satisfaction with standard of living,Age Group,55-64 years,2020,82.0
Satisfaction with health,Suburb,City of Melbourne,2020,77.2
Satisfaction with health,Suburb,East Melbourne 3002,2020,79.1
Satisfaction with health,Suburb,Kensington / Flemington 3031,2020,75.7
Satisfaction with health,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,75.4
Satisfaction with health,Gender,Female,2020,77.2
Satisfaction with health,Age Group,65+ years,2020,78.5
Satisfaction with currently achieving in life,Suburb,Carlton 3053,2020,64.0
Satisfaction with currently achieving in life,Suburb,Kensington / Flemington 3031,2020,64.8
Satisfaction with currently achieving in life,Suburb,Melbourne 3000,2020,67.8
Satisfaction with currently achieving in life,Suburb,South Wharf / Southbank 3006,2020,66.8
Satisfaction with currently achieving in life,Age Group,35-44 years,2020,69.9
Satisfaction with currently achieving in life,Age Group,55-64 years,2020,73.0
Satisfaction with currently achieving in life,Age Group,65+ years,2020,77.3
Satisfaction with personal relationships,Suburb,Docklands 3008,2020,78.4
Satisfaction with personal relationships,Suburb,Kensington / Flemington 3031,2020,75.6
Satisfaction with personal relationships,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,72.5
Satisfaction with personal relationships,Suburb,South Wharf / Southbank 3006,2020,73.7
Satisfaction with personal relationships,Gender,Male,2020,73.4
Satisfaction with personal relationships,Gender,Female,2020,73.9
Satisfaction with personal relationships,Age Group,35-44 years,2020,73.7
Satisfaction with personal relationships,Age Group,45-54 years,2020,72.4
Satisfaction with personal relationships,Age Group,65+ years,2020,88.0
Satisfaction with how safe you feel,Suburb,Carlton 3053,2020,75.9
Satisfaction with how safe you feel,Suburb,Docklands 3008,2020,81.6
Satisfaction with how safe you feel,Suburb,East Melbourne 3002,2020,81.7
Satisfaction with how safe you feel,Suburb,Kensington / Flemington 3031,2020,78.8
Satisfaction with how safe you feel,Gender,Male,2020,79.5
Satisfaction with how safe you feel,Age Group,18-24 years,2020,78.1
Satisfaction with how safe you feel,Age Group,25-34 years,2020,78.5
Satisfaction with how safe you feel,Age Group,45-54 years,2020,83.1
Satisfaction with how safe you feel,Age Group,55-64 years,2020,81.4
Satisfaction with feeling part of your community,Suburb,East Melbourne 3002,2020,68.2
Satisfaction with feeling part of your community,Suburb,South Wharf / Southbank 3006,2020,66.8
Satisfaction with feeling part of your community,Gender,Male,2020,65.7
Satisfaction with future security,Suburb,Docklands 3008,2020,70.5
Satisfaction with future security,Suburb,Kensington / Flemington 3031,2020,66.7
Satisfaction with future security,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,67.4
Satisfaction with future security,Age Group,35-44 years,2020,66.5
Satisfaction with future security,Age Group,45-54 years,2020,70.3
Satisfaction with standard of living,Suburb,City of Melbourne,2020,74.5
Satisfaction with standard of living,Suburb,Carlton 3053,2020,71.5
Satisfaction with standard of living,Suburb,East Melbourne 3002,2020,81.9
Satisfaction with standard of living,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,74.7
Satisfaction with standard of living,Gender,Female,2020,75.5
Satisfaction with health,Suburb,Docklands 3008,2020,77.6
Satisfaction with health,Suburb,Melbourne 3000,2020,77.4
Satisfaction with health,Suburb,Parkville 3052,2020,76.2
Satisfaction with health,Suburb,South Wharf / Southbank 3006,2020,78.5
Satisfaction with health,Age Group,18-24 years,2020,78.2
Satisfaction with health,Age Group,25-34 years,2020,77.0
Satisfaction with health,Age Group,55-64 years,2020,75.3
Satisfaction with currently achieving in life,Suburb,City of Melbourne,2020,67.7
Satisfaction with currently achieving in life,Suburb,Docklands 3008,2020,70.7
Satisfaction with currently achieving in life,Suburb,Parkville 3052,2020,71.3
Satisfaction with currently achieving in life,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,70.6
Satisfaction with currently achieving in life,Age Group,18-24 years,2020,66.2
Satisfaction with currently achieving in life,Age Group,25-34 years,2020,64.6
Satisfaction with currently achieving in life,Age Group,45-54 years,2020,71.5
Satisfaction with personal relationships,Suburb,City of Melbourne,2020,73.5
Satisfaction with personal relationships,Suburb,Melbourne 3000,2020,71.4
Satisfaction with personal relationships,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,74.8
Satisfaction with how safe you feel,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,79.7
Satisfaction with how safe you feel,Suburb,South Wharf / Southbank 3006,2020,81.1
Satisfaction with how safe you feel,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2020,84.1
Satisfaction with feeling part of your community,Suburb,City of Melbourne,2020,65.6
Satisfaction with feeling part of your community,Suburb,North Melbourne 3051 / West Melbourne 3003,2020,66.1
Satisfaction with feeling part of your community,Suburb,Parkville 3052,2020,64.5
Satisfaction with feeling part of your community,Gender,Female,2020,65.7
Satisfaction with feeling part of your community,Age Group,18-24 years,2020,65.1
Satisfaction with feeling part of your community,Age Group,25-34 years,2020,62.6
Satisfaction with feeling part of your community,Age Group,35-44 years,2020,66.7
Satisfaction with feeling part of your community,Age Group,45-54 years,2020,66.4
Satisfaction with feeling part of your community,Age Group,55-64 years,2020,68.2
Satisfaction with future security,Suburb,City of Melbourne,2020,65.5
Satisfaction with future security,Suburb,Carlton 3053,2020,60.1
Satisfaction with future security,Suburb,Melbourne 3000,2020,64.6
Satisfaction with future security,Gender,Male,2020,64.9
Satisfaction with future security,Gender,Female,2020,66.4
Satisfaction with future security,Age Group,25-34 years,2020,63.0
Satisfaction with standard of living,Suburb,Carlton 3053,2019,74.5
Satisfaction with standard of living,Suburb,East Melbourne 3002,2019,78.8
Satisfaction with standard of living,Suburb,Kensington / Flemington 3031,2019,77.5
Satisfaction with standard of living,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,75.9
Satisfaction with standard of living,Gender,Male,2019,78.3
Satisfaction with standard of living,Age Group,35-44 years,2019,76.9
Satisfaction with standard of living,Age Group,65+ years,2019,81.1
Satisfaction with health,Suburb,City of Melbourne,2019,74.8
Satisfaction with health,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,71.3
Satisfaction with health,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,75.0
Satisfaction with health,Age Group,35-44 years,2019,72.5
Satisfaction with health,Age Group,55-64 years,2019,74.2
Satisfaction with currently achieving in life,Suburb,City of Melbourne,2019,70.9
Satisfaction with currently achieving in life,Age Group,18-24 years,2019,68.9
Satisfaction with currently achieving in life,Age Group,35-44 years,2019,69.6
Satisfaction with personal relationships,Suburb,East Melbourne 3002,2019,77.0
Satisfaction with personal relationships,Suburb,Kensington / Flemington 3031,2019,72.2
Satisfaction with personal relationships,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,74.0
Satisfaction with personal relationships,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,69.3
Satisfaction with personal relationships,Gender,Female,2019,74.0
Satisfaction with personal relationships,Age Group,18-24 years,2019,72.8
Satisfaction with personal relationships,Age Group,35-44 years,2019,70.6
Satisfaction with personal relationships,Age Group,65+ years,2019,80.3
Satisfaction with how safe you feel,Suburb,East Melbourne 3002,2019,77.8
Satisfaction with how safe you feel,Age Group,18-24 years,2019,76.2
Satisfaction with how safe you feel,Age Group,45-54 years,2019,80.7
Satisfaction with feeling part of your community,Suburb,East Melbourne 3002,2019,70.1
Satisfaction with feeling part of your community,Suburb,South Wharf / Southbank 3006,2019,67.7
Satisfaction with feeling part of your community,Age Group,25-34 years,2019,65.7
Satisfaction with future security,Suburb,Docklands 3008,2019,69.9
Satisfaction with future security,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,65.3
Satisfaction with future security,Suburb,Parkville 3052,2019,67.6
Satisfaction with future security,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,66.9
Satisfaction with future security,Age Group,25-34 years,2019,67.2
Satisfaction with standard of living,Suburb,Docklands 3008,2019,79.6
Satisfaction with standard of living,Age Group,18-24 years,2019,77.8
Satisfaction with standard of living,Age Group,25-34 years,2019,78.0
Satisfaction with standard of living,Age Group,45-54 years,2019,78.0
Satisfaction with health,Suburb,Carlton 3053,2019,75.0
Satisfaction with health,Suburb,Kensington / Flemington 3031,2019,74.1
Satisfaction with health,Suburb,Melbourne 3000,2019,76.4
Satisfaction with health,Suburb,Parkville 3052,2019,71.2
Satisfaction with health,Suburb,South Wharf / Southbank 3006,2019,76.0
Satisfaction with health,Age Group,45-54 years,2019,72.2
Satisfaction with health,Age Group,65+ years,2019,71.3
Satisfaction with currently achieving in life,Suburb,Carlton 3053,2019,69.0
Satisfaction with currently achieving in life,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,67.0
Satisfaction with currently achieving in life,Suburb,Parkville 3052,2019,71.7
Satisfaction with currently achieving in life,Suburb,South Wharf / Southbank 3006,2019,76.2
Satisfaction with currently achieving in life,Gender,Male,2019,71.6
Satisfaction with currently achieving in life,Gender,Female,2019,70.2
Satisfaction with currently achieving in life,Age Group,25-34 years,2019,71.2
Satisfaction with currently achieving in life,Age Group,65+ years,2019,76.7
Satisfaction with personal relationships,Suburb,City of Melbourne,2019,74.5
Satisfaction with personal relationships,Suburb,Docklands 3008,2019,80.4
Satisfaction with personal relationships,Suburb,South Wharf / Southbank 3006,2019,79.3
Satisfaction with personal relationships,Age Group,25-34 years,2019,76.9
Satisfaction with personal relationships,Age Group,45-54 years,2019,72.8
Satisfaction with personal relationships,Age Group,55-64 years,2019,74.5
Satisfaction with how safe you feel,Suburb,Carlton 3053,2019,77.2
Satisfaction with how safe you feel,Suburb,Docklands 3008,2019,81.7
Satisfaction with how safe you feel,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,72.2
Satisfaction with how safe you feel,Suburb,South Wharf / Southbank 3006,2019,80.8
Satisfaction with how safe you feel,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,80.7
Satisfaction with how safe you feel,Gender,Female,2019,75.8
Satisfaction with how safe you feel,Age Group,25-34 years,2019,79.1
Satisfaction with how safe you feel,Age Group,65+ years,2019,79.9
Satisfaction with feeling part of your community,Suburb,Carlton 3053,2019,62.9
Satisfaction with feeling part of your community,Suburb,Parkville 3052,2019,69.8
Satisfaction with feeling part of your community,Gender,Female,2019,63.9
Satisfaction with feeling part of your community,Age Group,18-24 years,2019,64.7
Satisfaction with feeling part of your community,Age Group,45-54 years,2019,68.2
Satisfaction with feeling part of your community,Age Group,65+ years,2019,67.6
Satisfaction with future security,Suburb,Carlton 3053,2019,63.8
Satisfaction with future security,Suburb,Kensington / Flemington 3031,2019,60.7
Satisfaction with future security,Suburb,Melbourne 3000,2019,68.5
Satisfaction with future security,Suburb,South Wharf / Southbank 3006,2019,67.9
Satisfaction with future security,Gender,Male,2019,69.0
Satisfaction with future security,Age Group,18-24 years,2019,64.8
Satisfaction with future security,Age Group,55-64 years,2019,67.2
Satisfaction with standard of living,Suburb,City of Melbourne,2019,78.0
Satisfaction with standard of living,Suburb,Melbourne 3000,2019,78.8
Satisfaction with standard of living,Suburb,Parkville 3052,2019,79.0
Satisfaction with standard of living,Suburb,South Wharf / Southbank 3006,2019,80.6
Satisfaction with standard of living,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,77.8
Satisfaction with standard of living,Gender,Female,2019,77.6
Satisfaction with standard of living,Age Group,55-64 years,2019,77.6
Satisfaction with health,Suburb,Docklands 3008,2019,76.4
Satisfaction with health,Suburb,East Melbourne 3002,2019,74.6
Satisfaction with health,Gender,Male,2019,75.9
Satisfaction with health,Gender,Female,2019,73.8
Satisfaction with health,Age Group,18-24 years,2019,76.6
Satisfaction with health,Age Group,25-34 years,2019,75.7
Satisfaction with currently achieving in life,Suburb,Docklands 3008,2019,73.1
Satisfaction with currently achieving in life,Suburb,East Melbourne 3002,2019,70.2
Satisfaction with currently achieving in life,Suburb,Kensington / Flemington 3031,2019,66.4
Satisfaction with currently achieving in life,Suburb,Melbourne 3000,2019,72.0
Satisfaction with currently achieving in life,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,70.0
Satisfaction with currently achieving in life,Age Group,45-54 years,2019,70.3
Satisfaction with currently achieving in life,Age Group,55-64 years,2019,75.1
Satisfaction with personal relationships,Suburb,Carlton 3053,2019,68.0
Satisfaction with personal relationships,Suburb,Melbourne 3000,2019,75.1
Satisfaction with personal relationships,Suburb,Parkville 3052,2019,75.0
Satisfaction with personal relationships,Gender,Male,2019,75.0
Satisfaction with how safe you feel,Suburb,City of Melbourne,2019,78.0
Satisfaction with how safe you feel,Suburb,Kensington / Flemington 3031,2019,77.4
Satisfaction with how safe you feel,Suburb,Melbourne 3000,2019,80.0
Satisfaction with how safe you feel,Suburb,Parkville 3052,2019,72.2
Satisfaction with how safe you feel,Gender,Male,2019,80.5
Satisfaction with how safe you feel,Age Group,35-44 years,2019,76.8
Satisfaction with how safe you feel,Age Group,55-64 years,2019,77.5
Satisfaction with feeling part of your community,Suburb,City of Melbourne,2019,65.4
Satisfaction with feeling part of your community,Suburb,Docklands 3008,2019,66.2
Satisfaction with feeling part of your community,Suburb,Kensington / Flemington 3031,2019,64.1
Satisfaction with feeling part of your community,Suburb,Melbourne 3000,2019,65.8
Satisfaction with feeling part of your community,Suburb,North Melbourne 3051 / West Melbourne 3003,2019,62.6
Satisfaction with feeling part of your community,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2019,63.5
Satisfaction with feeling part of your community,Gender,Male,2019,67.0
Satisfaction with feeling part of your community,Age Group,35-44 years,2019,61.8
Satisfaction with feeling part of your community,Age Group,55-64 years,2019,68.5
Satisfaction with future security,Suburb,City of Melbourne,2019,66.7
Satisfaction with future security,Suburb,East Melbourne 3002,2019,70.1
Satisfaction with future security,Gender,Female,2019,64.7
Satisfaction with future security,Age Group,35-44 years,2019,63.7
Satisfaction with future security,Age Group,45-54 years,2019,67.2
Satisfaction with future security,Age Group,65+ years,2019,77.2
Satisfaction with standard of living,Suburb,City of Melbourne,2018,7.8
Satisfaction with standard of living,Suburb,Docklands 3008,2018,8.1
Satisfaction with standard of living,Suburb,East Melbourne 3002,2018,8.2
Satisfaction with standard of living,Suburb,Parkville 3052,2018,7.9
Satisfaction with standard of living,Gender,Female,2018,7.9
Satisfaction with standard of living,Age Group,18-24 years,2018,7.8
Satisfaction with standard of living,Age Group,35-44 years,2018,7.3
Satisfaction with health,Suburb,South Wharf / Southbank 3006,2018,7.5
Satisfaction with health,Gender,Male,2018,7.4
Satisfaction with health,Age Group,18-24 years,2018,7.6
Satisfaction with health,Age Group,45-54 years,2018,7.5
Satisfaction with health,Age Group,55-64 years,2018,7.3
Satisfaction with currently achieving in life,Suburb,Docklands 3008,2018,7.1
Satisfaction with currently achieving in life,Suburb,Kensington / Flemington 3031,2018,6.9
Satisfaction with currently achieving in life,Suburb,Melbourne 3000,2018,7.0
Satisfaction with currently achieving in life,Age Group,18-24 years,2018,7.1
Satisfaction with personal relationships,Suburb,Docklands 3008,2018,7.6
Satisfaction with personal relationships,Suburb,Kensington / Flemington 3031,2018,7.3
Satisfaction with personal relationships,Suburb,South Wharf / Southbank 3006,2018,7.8
Satisfaction with how safe you feel,Suburb,City of Melbourne,2018,8.1
Satisfaction with how safe you feel,Suburb,Docklands 3008,2018,8.6
Satisfaction with how safe you feel,Suburb,Melbourne 3000,2018,8.0
Satisfaction with how safe you feel,Suburb,Parkville 3052,2018,8.0
Satisfaction with how safe you feel,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,8.0
Satisfaction with how safe you feel,Gender,Male,2018,8.2
Satisfaction with how safe you feel,Gender,Female,2018,8.1
Satisfaction with how safe you feel,Age Group,18-24 years,2018,8.0
Satisfaction with how safe you feel,Age Group,55-64 years,2018,8.2
Satisfaction with how safe you feel,Age Group,65+ years,2018,8.1
Satisfaction with feeling part of your community,Suburb,City of Melbourne,2018,6.6
Satisfaction with feeling part of your community,Suburb,Carlton 3053,2018,6.7
Satisfaction with feeling part of your community,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,6.3
Satisfaction with feeling part of your community,Gender,Male,2018,6.5
Satisfaction with feeling part of your community,Gender,Female,2018,6.8
Satisfaction with feeling part of your community,Age Group,18-24 years,2018,6.8
Satisfaction with feeling part of your community,Age Group,25-34 years,2018,6.5
Satisfaction with feeling part of your community,Age Group,35-44 years,2018,6.5
Satisfaction with feeling part of your community,Age Group,45-54 years,2018,6.5
Satisfaction with future security,Suburb,Docklands 3008,2018,7.2
Satisfaction with future security,Suburb,East Melbourne 3002,2018,6.8
Satisfaction with future security,Suburb,Parkville 3052,2018,6.3
Satisfaction with future security,Gender,Male,2018,6.8
Satisfaction with future security,Age Group,25-34 years,2018,6.8
Satisfaction with future security,Age Group,35-44 years,2018,6.6
Satisfaction with standard of living,Suburb,Carlton 3053,2018,7.8
Satisfaction with standard of living,Suburb,Kensington / Flemington 3031,2018,7.7
Satisfaction with standard of living,Suburb,South Wharf / Southbank 3006,2018,8.3
Satisfaction with standard of living,Age Group,25-34 years,2018,7.8
Satisfaction with standard of living,Age Group,45-54 years,2018,8.0
Satisfaction with standard of living,Age Group,65+ years,2018,8.4
Satisfaction with health,Suburb,City of Melbourne,2018,7.4
Satisfaction with health,Suburb,Kensington / Flemington 3031,2018,7.3
Satisfaction with health,Suburb,Parkville 3052,2018,7.0
Satisfaction with health,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,7.5
Satisfaction with currently achieving in life,Suburb,East Melbourne 3002,2018,7.8
Satisfaction with currently achieving in life,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,6.9
Satisfaction with currently achieving in life,Suburb,South Wharf / Southbank 3006,2018,7.5
Satisfaction with currently achieving in life,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,6.9
Satisfaction with currently achieving in life,Gender,Male,2018,7.2
Satisfaction with currently achieving in life,Gender,Female,2018,7.1
Satisfaction with currently achieving in life,Age Group,45-54 years,2018,7.1
Satisfaction with currently achieving in life,Age Group,55-64 years,2018,7.2
Satisfaction with personal relationships,Suburb,City of Melbourne,2018,7.4
Satisfaction with personal relationships,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,7.4
Satisfaction with personal relationships,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,7.2
Satisfaction with personal relationships,Gender,Female,2018,7.6
Satisfaction with personal relationships,Age Group,25-34 years,2018,7.5
Satisfaction with personal relationships,Age Group,35-44 years,2018,7.0
Satisfaction with personal relationships,Age Group,45-54 years,2018,7.4
Satisfaction with how safe you feel,Suburb,Carlton 3053,2018,8.1
Satisfaction with how safe you feel,Suburb,East Melbourne 3002,2018,8.3
Satisfaction with how safe you feel,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,8.0
Satisfaction with how safe you feel,Suburb,South Wharf / Southbank 3006,2018,8.4
Satisfaction with how safe you feel,Age Group,25-34 years,2018,8.3
Satisfaction with how safe you feel,Age Group,35-44 years,2018,7.9
Satisfaction with feeling part of your community,Suburb,Docklands 3008,2018,7.1
Satisfaction with feeling part of your community,Suburb,East Melbourne 3002,2018,6.9
Satisfaction with feeling part of your community,Age Group,55-64 years,2018,6.8
Satisfaction with future security,Suburb,City of Melbourne,2018,6.7
Satisfaction with future security,Suburb,Carlton 3053,2018,7.1
Satisfaction with future security,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,6.6
Satisfaction with future security,Suburb,South Wharf / Southbank 3006,2018,7.1
Satisfaction with future security,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,7.0
Satisfaction with future security,Age Group,18-24 years,2018,6.6
Satisfaction with future security,Age Group,45-54 years,2018,6.8
Satisfaction with future security,Age Group,55-64 years,2018,6.9
Satisfaction with future security,Age Group,65+ years,2018,7.4
Satisfaction with standard of living,Suburb,Melbourne 3000,2018,7.7
Satisfaction with standard of living,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,7.5
Satisfaction with standard of living,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,7.8
Satisfaction with standard of living,Gender,Male,2018,7.7
Satisfaction with standard of living,Age Group,55-64 years,2018,8.1
Satisfaction with health,Suburb,Carlton 3053,2018,7.8
Satisfaction with health,Suburb,Docklands 3008,2018,7.5
Satisfaction with health,Suburb,East Melbourne 3002,2018,7.8
Satisfaction with health,Suburb,Melbourne 3000,2018,7.2
Satisfaction with health,Suburb,North Melbourne 3051 / West Melbourne 3003,2018,7.5
Satisfaction with health,Gender,Female,2018,7.5
Satisfaction with health,Age Group,25-34 years,2018,7.5
Satisfaction with health,Age Group,35-44 years,2018,7.1
Satisfaction with health,Age Group,65+ years,2018,7.2
Satisfaction with currently achieving in life,Suburb,City of Melbourne,2018,7.1
Satisfaction with currently achieving in life,Suburb,Carlton 3053,2018,7.3
Satisfaction with currently achieving in life,Suburb,Parkville 3052,2018,7.2
Satisfaction with currently achieving in life,Age Group,25-34 years,2018,7.1
Satisfaction with currently achieving in life,Age Group,35-44 years,2018,7.0
Satisfaction with currently achieving in life,Age Group,65+ years,2018,7.7
Satisfaction with personal relationships,Suburb,Carlton 3053,2018,7.2
Satisfaction with personal relationships,Suburb,East Melbourne 3002,2018,7.8
Satisfaction with personal relationships,Suburb,Melbourne 3000,2018,7.1
Satisfaction with personal relationships,Suburb,Parkville 3052,2018,7.6
Satisfaction with personal relationships,Gender,Male,2018,7.2
Satisfaction with personal relationships,Age Group,18-24 years,2018,7.2
Satisfaction with personal relationships,Age Group,55-64 years,2018,7.6
Satisfaction with personal relationships,Age Group,65+ years,2018,7.9
Satisfaction with how safe you feel,Suburb,Kensington / Flemington 3031,2018,8.1
Satisfaction with how safe you feel,Age Group,45-54 years,2018,8.1
Satisfaction with feeling part of your community,Suburb,Kensington / Flemington 3031,2018,7.1
Satisfaction with feeling part of your community,Suburb,Melbourne 3000,2018,6.5
Satisfaction with feeling part of your community,Suburb,Parkville 3052,2018,7.1
Satisfaction with feeling part of your community,Suburb,South Wharf / Southbank 3006,2018,6.4
Satisfaction with feeling part of your community,Suburb,South Yarra 3141 / Melbourne/St Kilda Road 3004,2018,6.9
Satisfaction with feeling part of your community,Age Group,65+ years,2018,7.1
Satisfaction with future security,Suburb,Kensington / Flemington 3031,2018,6.6
Satisfaction with future security,Suburb,Melbourne 3000,2018,6.5
Satisfaction with future security,Gender,Female,2018,6.7
