ServiceName,ServiceType,Address,Suburb,State,Postcode,Phone,full_address,Latitude,Longitude
Starfish Early Learning Centre (Springvale),Centre-Based Care,28 St Johns Avenue,SPRINGVALE,VIC,3171,395742888,"28 St Johns Avenue, SPRINGVALE, VIC, 3171, Australia",-37.9517502,145.1494606
Windermere Reserve Kindergarten,Centre-Based Care,"Preschool, 278 Windermere Dr",FERNTREE GULLY,VIC,3156,397631995,"Preschool, 278 Windermere Dr, FERNTREE GULLY, VIC, 3156, Australia",-37.8951023,145.2638381
Kinder at Flinders,Centre-Based Care,100a Ballarto Rd,CARRUM DOWNS,VIC,3201,397850000,"100a Ballarto Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.115678,145.1806027
Only About Children Armadale,Centre-Based Care,30 Kooyong Road,ARMADALE,VIC,3143,385295054,"30 Kooyong Road, ARMADALE, VIC, 3143, Australia",-37.8602616,145.0205767
Pelican Childcare Newbury Boulevard,Centre-Based Care,197-199 Newbury Bvd,CRAIGIEBURN,VIC,3064,383333111,"197-199 Newbury Bvd, CRAIGIEBURN, VIC, 3064, Australia",-37.5717692,144.9090235
Tulip Street Private Kindergarten,Centre-Based Care,150 Tulip St,CHELTENHAM,VIC,3192,395835424,"150 Tulip St, CHELTENHAM, VIC, 3192, Australia",-37.9645452,145.0345543
Minaret Early Learning Centre - Springvale,Centre-Based Care,71 Whitworth Ave,SPRINGVALE,VIC,3171,385498601,"71 Whitworth Ave, SPRINGVALE, VIC, 3171, Australia",-37.9405388,145.1519827
East Preston Islamic College Early Learning Centre,Centre-Based Care,55-57 Tyler St,PRESTON,VIC,3072,394783323,"55-57 Tyler St, PRESTON, VIC, 3072, Australia",-37.7341849,145.0355843
Papilio Early Learning Essendon,Centre-Based Care,333 Keilor Rd,ESSENDON,VIC,3040,393516817,"333 Keilor Rd, ESSENDON, VIC, 3040, Australia",-37.7384412,144.8947895
Barrymore Early Learning,Centre-Based Care,11 Barrymore Rd,GREENVALE,VIC,3059,383133071,"11 Barrymore Rd, GREENVALE, VIC, 3059, Australia",-37.6522247,144.8880921
Kids Academy Point Cook,Centre-Based Care,1 WINTERBERRY RD,POINT COOK,VIC,3030,373007105,"1 WINTERBERRY RD, POINT COOK, VIC, 3030, Australia",-37.9065727,144.719641
Vermont Primary School Kindergarten,Centre-Based Care,10 Nurlendi Road,VERMONT,VIC,3133,398744962,"10 Nurlendi Road, VERMONT, VIC, 3133, Australia",-37.842984,145.1921936
Little Raskals Kindergarten & Child Care Centre,Centre-Based Care,94 Springvale Road,NUNAWADING,VIC,3131,398746401,"94 Springvale Road, NUNAWADING, VIC, 3131, Australia",-37.8140269,145.1763771
Hughesdale Kindergarten,Centre-Based Care,10 Freda Street,HUGHESDALE,VIC,3166,395695019,"10 Freda Street, HUGHESDALE, VIC, 3166, Australia",-37.8971678,145.0777404
St Johns Preschool,Centre-Based Care,2 Carmichael Road,OAKLEIGH,VIC,3166,343290448,"2 Carmichael Road, OAKLEIGH, VIC, 3166, Australia",-37.8980994,145.1137553
Kanooka Child Care Centre,Centre-Based Care,29-31 Kanooka Gr,CLAYTON,VIC,3168,03 9544 9010,"29-31 Kanooka Gr, CLAYTON, VIC, 3168, Australia",-37.9197255,145.1260232
Brine Street Early Learning Centre,Centre-Based Care,33 Brine Street,HUGHESDALE,VIC,3166,395183940,"33 Brine Street, HUGHESDALE, VIC, 3166, Australia",-37.9073366,145.0768423
Monash Vale Early Learning Centre,Centre-Based Care,1758 Dandenong Road,CLAYTON,VIC,3168,395435099,"1758 Dandenong Road, CLAYTON, VIC, 3168, Australia",-37.9149271,145.1268692
Renown Kindergarten,Centre-Based Care,20 Cliff Street,SOUTH YARRA,VIC,3141,398274747,"20 Cliff Street, SOUTH YARRA, VIC, 3141, Australia",-37.8436767,144.9931352
Armadale Early Learning Centre,Centre-Based Care,3 Fulton Street,ARMADALE,VIC,3143,395093187,"3 Fulton Street, ARMADALE, VIC, 3143, Australia",-37.8532354,145.0137481
Headland Montessori Alma Road,Centre-Based Care,76 Alma Rd,ST KILDA,VIC,3182,380808041,"76 Alma Rd, ST KILDA, VIC, 3182, Australia",-37.8614553,144.9915987
Princes Close Early Years' Service,Centre-Based Care,17 Princes Street,PRAHRAN,VIC,3181,382903247,"17 Princes Street, PRAHRAN, VIC, 3181, Australia",-37.8495729,144.9969772
Blake Street Kindergarten,Centre-Based Care,109 Blake Street,RESERVOIR,VIC,3073,394788037,"109 Blake Street, RESERVOIR, VIC, 3073, Australia",-37.7315105,145.0313754
Merrilands Uniting Early Learning,Centre-Based Care,23-25 Ryan St,RESERVOIR,VIC,3073,394604674,"23-25 Ryan St, RESERVOIR, VIC, 3073, Australia",-37.7004873,144.9980218
Gellibrand Crescent Kindergarten,Centre-Based Care,26 Gellibrand Crescent,RESERVOIR,VIC,3073,394605862,"26 Gellibrand Crescent, RESERVOIR, VIC, 3073, Australia",-37.7040542,145.0064386
Gower Street Kindergarten,Centre-Based Care,146 Gower Street,PRESTON,VIC,3072,394785374,"146 Gower Street, PRESTON, VIC, 3072, Australia",-37.741809,145.017576
Dewdrops Early Learning,Centre-Based Care,89 Delaware Street,RESERVOIR,VIC,3073,394783615,"89 Delaware Street, RESERVOIR, VIC, 3073, Australia",-37.7200247,145.0082648
Darebin Childcare and Kindergarten Inc - Reservoir,Centre-Based Care,6-8 Kenilworth St,RESERVOIR,VIC,3073,394692226,"6-8 Kenilworth St, RESERVOIR, VIC, 3073, Australia",-37.7138894,145.0042641
Edwardes Street Child Minding,Centre-Based Care,41 Edwardes Street,RESERVOIR,VIC,3073,03 9469 4640,"41 Edwardes Street, RESERVOIR, VIC, 3073, Australia",-37.7164181,145.004549
Darebin Childcare and Kindergarten Inc - Preston,Centre-Based Care,260 Gower Street,PRESTON,VIC,3072,394713780,"260 Gower Street, PRESTON, VIC, 3072, Australia",-37.7404995,145.0067699
Nara Community Early Learning Centre,Centre-Based Care,77-91 St Georges Rd,PRESTON,VIC,3072,03 9471 9914,"77-91 St Georges Rd, PRESTON, VIC, 3072, Australia",-37.741509,144.9978584
Wood Street Childcare Centre,Centre-Based Care,272-272A Wood Street,PRESTON,VIC,3072,394711755,"272-272A Wood Street, PRESTON, VIC, 3072, Australia",-37.7362777,145.0306044
Richmond Kindergarten,Centre-Based Care,92-104 Lord Street,RICHMOND,VIC,3121,394285173,"92-104 Lord Street, RICHMOND, VIC, 3121, Australia",-37.8207571,145.0049412
Dame Nellie Melba Kindergarten,Centre-Based Care,18 Goodwood Street,RICHMOND,VIC,3121,394282282,"18 Goodwood Street, RICHMOND, VIC, 3121, Australia",-37.8197345,144.9934603
Yarraberg Child Care & Community Centre,Centre-Based Care,4 River Street,RICHMOND,VIC,3121,392742740,"4 River Street, RICHMOND, VIC, 3121, Australia",-37.8150246,145.0129196
Alpha Early Learning Centre,Centre-Based Care,8 Corsair Street,RICHMOND,VIC,3121,03 9429 1488,"8 Corsair Street, RICHMOND, VIC, 3121, Australia",-37.822573,145.005633
Acacia Children's Centre,Centre-Based Care,13 Belgium Avenue,RICHMOND,VIC,3121,394296150,"13 Belgium Avenue, RICHMOND, VIC, 3121, Australia",-37.8145889,144.9975078
Richmond Creche and Kindergarten Inc,Centre-Based Care,14 Abinger Street,RICHMOND,VIC,3121,03 9428 2663,"14 Abinger Street, RICHMOND, VIC, 3121, Australia",-37.8203721,145.0019325
Sparkways Richmond Multicultural Childrenâ€™s Centre,Centre-Based Care,16 Gleadell Street,RICHMOND,VIC,3121,394286537,"16 Gleadell Street, RICHMOND, VIC, 3121, Australia",-37.8173502,145.001475
Pinemont Preschool,Centre-Based Care,29 Hygeia Parade,RINGWOOD,VIC,3134,398703582,"29 Hygeia Parade, RINGWOOD, VIC, 3134, Australia",-37.8065474,145.2177918
Ringwood Uniting Kindergarten,Centre-Based Care,2 Greenwood Avenue,RINGWOOD,VIC,3134,398701707,"2 Greenwood Avenue, RINGWOOD, VIC, 3134, Australia",-37.8163053,145.2304849
Camp Australia - St Clement of Rome Catholic Primary School OSHC,Centre-Based Care,9-21 Egan Dr,BULLEEN,VIC,3105,1300018310,"9-21 Egan Dr, BULLEEN, VIC, 3105, Australia",-37.7681121,145.0903356
Guardian Childcare & Education Tarneit,Centre-Based Care,32 Origin Dr,TARNEIT,VIC,3029,03 8001 7460,"32 Origin Dr, TARNEIT, VIC, 3029, Australia",-37.8212355,144.6925902
Noriter Bilingual Early Learning,Centre-Based Care,2 Young St,SPRINGVALE,VIC,3171,395403331,"2 Young St, SPRINGVALE, VIC, 3171, Australia",-37.9342252,145.1552672
Birches Early Learning Centre Carrum Downs,Centre-Based Care,57 McCormicks Rd,CARRUM DOWNS,VIC,3201,370360518,"57 McCormicks Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.1116984,145.1948429
Leading Leaps PTY LTD,Centre-Based Care,83 Wootten Road,TARNEIT,VIC,3029,423041857,"83 Wootten Road, TARNEIT, VIC, 3029, Australia",-37.8538626,144.6596459
Story House Early Learning Forest Hill,Centre-Based Care,269-271 Canterbury Rd,FOREST HILL,VIC,3131,398940747,"269-271 Canterbury Rd, FOREST HILL, VIC, 3131, Australia",-37.8341811,145.1688518
First Five Early Learning Reservoir,Centre-Based Care,117 Edwardes St,RESERVOIR,VIC,3073,390886216,"117 Edwardes St, RESERVOIR, VIC, 3073, Australia",-37.7161171,144.9996199
Youth Leadership Victoria Southern Cross,Centre-Based Care,21 David Collins Dr,ENDEAVOUR HILLS,VIC,3802,387906511,"21 David Collins Dr, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9888012,145.2652052
Wheelers Hill Child Care Centre,Centre-Based Care,303-307 Jells Rd,WHEELERS HILL,VIC,3150,395617789,"303-307 Jells Rd, WHEELERS HILL, VIC, 3150, Australia",-37.9182562,145.1867223
Turningpoint Early Learning Centre,Centre-Based Care,1785 South Gippsland Hwy,CRANBOURNE,VIC,3977,359953054,"1785 South Gippsland Hwy, CRANBOURNE, VIC, 3977, Australia",-38.1382745,145.3073487
Camp Australia - Erasmus School OSHC,Centre-Based Care,40 Lisson Gr,HAWTHORN,VIC,3122,450775946,"40 Lisson Gr, HAWTHORN, VIC, 3122, Australia",-37.8274514,145.0314228
TeamKids - Tarneit P-9 College,Centre-Based Care,Brinbrook St,TARNEIT,VIC,3029,1300035000,"Brinbrook St, TARNEIT, VIC, 3029, Australia",-37.8396686,144.678009
TeamKids - Reservoir East Primary,Centre-Based Care,58 Boldrewood Pde,RESERVOIR,VIC,3073,1300 035 000,"58 Boldrewood Pde, RESERVOIR, VIC, 3073, Australia",-37.7200983,145.0225143
Westbreen PS TheirCare,Centre-Based Care,"Westbreen Primary School, 2-10 Pascoe St",PASCOE VALE,VIC,3044,499330787,"Westbreen Primary School, 2-10 Pascoe St, PASCOE VALE, VIC, 3044, Australia",-37.7155191,144.9358808
Goodstart Early Learning Altona,Centre-Based Care,24 Upton Street,ALTONA,VIC,3018,03 9398 4634,"24 Upton Street, ALTONA, VIC, 3018, Australia",-37.8671943,144.8237716
Goodstart Early Learning Richmond,Centre-Based Care,319 Church Street,RICHMOND,VIC,3121,739182014,"319 Church Street, RICHMOND, VIC, 3121, Australia",-37.821944,144.9989596
Goodstart Early Learning Reservoir,Centre-Based Care,20-22 Gertz Ave,RESERVOIR,VIC,3073,03 9462 2722,"20-22 Gertz Ave, RESERVOIR, VIC, 3073, Australia",-37.6996586,145.0312894
Goodstart Early Learning Point Cook - Shaftsbury Boulevard,Centre-Based Care,1-5 Shaftsbury Boulevard,POINT COOK,VIC,3030,03 9395 1166,"1-5 Shaftsbury Boulevard, POINT COOK, VIC, 3030, Australia",-37.8883652,144.7440917
Goodstart Early Learning Point Cook - The Strand,Centre-Based Care,71 The Strand,POINT COOK,VIC,3030,03 9395 7477,"71 The Strand, POINT COOK, VIC, 3030, Australia",-37.8804832,144.7440159
Goodstart Early Learning Pascoe Vale - Cumberland Road West,Centre-Based Care,105 Cumberland Road,PASCOE VALE,VIC,3044,03 9354 3887,"105 Cumberland Road, PASCOE VALE, VIC, 3044, Australia",-37.7296032,144.938653
Goodstart Early Learning Pascoe Vale - Cumberland Road East,Centre-Based Care,134 Cumberland Road,PASCOE VALE,VIC,3044,03 9354 3555,"134 Cumberland Road, PASCOE VALE, VIC, 3044, Australia",-37.7291337,144.9389904
Goodstart Early Learning Preston - Regent Street,Centre-Based Care,22A Regent Street,PRESTON,VIC,3072,03 9471 4688,"22A Regent Street, PRESTON, VIC, 3072, Australia",-37.7303091,145.0020784
Goodstart Early Learning Point Cook - Lemongrass Circuit,Centre-Based Care,21 Lemongrass Circuit,POINT COOK,VIC,3030,03 9395 2533,"21 Lemongrass Circuit, POINT COOK, VIC, 3030, Australia",-37.8848605,144.7321688
Oakleigh Early Learning Journey,Centre-Based Care,1655 Dandenong Road,OAKLEIGH,VIC,3166,395695403,"1655 Dandenong Road, OAKLEIGH, VIC, 3166, Australia",-37.8933072,145.0923302
Goodstart Early Learning Box Hill - Canterbury Road,Centre-Based Care,974 Canterbury Road,BOX HILL,VIC,3128,03 9899 9522,"974 Canterbury Road, BOX HILL, VIC, 3128, Australia",-37.830283,145.1356129
Goodstart Early Learning Carrum Downs - Frankston-Dandenong Road,Centre-Based Care,1141-1143 Frankston-Dandenong Rd,CARRUM DOWNS,VIC,3201,03 8787 7000,"1141-1143 Frankston-Dandenong Rd, CARRUM DOWNS, VIC, 3201, Australia",-38.0915568,145.1795722
Goodstart Early Learning Cheltenham,Centre-Based Care,2 Jellicoe Street,CHELTENHAM,VIC,3192,03 9584 0999,"2 Jellicoe Street, CHELTENHAM, VIC, 3192, Australia",-37.9616118,145.0574392
Goodstart Early Learning Croydon,Centre-Based Care,418 Mt Dandenong Road,CROYDON,VIC,3136,03 9722 9388,"418 Mt Dandenong Road, CROYDON, VIC, 3136, Australia",-37.8013035,145.3022048
Goodstart Early Learning Carrum Downs - Arcadia Street,Centre-Based Care,4-6 Arcadia St,CARRUM DOWNS,VIC,3201,03 9776 8556,"4-6 Arcadia St, CARRUM DOWNS, VIC, 3201, Australia",-38.1140825,145.1883071
Goodstart Early Learning Carrum Downs - Hall Road,Centre-Based Care,169 Hall Road,CARRUM DOWNS,VIC,3201,03 9782 0900,"169 Hall Road, CARRUM DOWNS, VIC, 3201, Australia",-38.1015059,145.1921763
Goodstart Early Learning Endeavour Hills - Hanna Drive,Centre-Based Care,1-3 Hanna Dr,ENDEAVOUR HILLS,VIC,3802,03 9708 0033,"1-3 Hanna Dr, ENDEAVOUR HILLS, VIC, 3802, Australia",-37.9760342,145.2704618
Goodstart Early Learning Hampton Park - Somerville Road,Centre-Based Care,160 Somerville Road,HAMPTON PARK,VIC,3976,03 9799 1174,"160 Somerville Road, HAMPTON PARK, VIC, 3976, Australia",-38.0318783,145.2640032
Goodstart Early Learning Dandenong - Heatherton Road,Centre-Based Care,1390-1392 Heatherton Rd,DANDENONG,VIC,3175,03 9701 3233,"1390-1392 Heatherton Rd, DANDENONG, VIC, 3175, Australia",-37.968659,145.2021085
Donvale Early Learning Centre,Centre-Based Care,11 Mitcham Road,DONVALE,VIC,3111,398417066,"11 Mitcham Road, DONVALE, VIC, 3111, Australia",-37.7912403,145.1749999
Goodstart Early Learning Forest Hill - Fraser Place,Centre-Based Care,2 Fraser Place,FOREST HILL,VIC,3131,03 9878 6544,"2 Fraser Place, FOREST HILL, VIC, 3131, Australia",-37.8381253,145.1749325
Goodstart Early Learning Ferntree Gully,Centre-Based Care,724 Burwood Highway,FERNTREE GULLY,VIC,3156,03 9752 3699,"724 Burwood Highway, FERNTREE GULLY, VIC, 3156, Australia",-37.8794609,145.2657977
Goodstart Early Learning Epping - High Street,Centre-Based Care,792-796 High St,EPPING,VIC,3076,03 9408 9989,"792-796 High St, EPPING, VIC, 3076, Australia",-37.6481706,145.026217
Imagine Childcare and Kindergarten Werribee,Centre-Based Care,24 Azolla Ave,WERRIBEE,VIC,3030,397317035,"24 Azolla Ave, WERRIBEE, VIC, 3030, Australia",-37.9227904,144.6282954
Amiga Montessori Wallace Ave,Centre-Based Care,18 Wallace Ave,POINT COOK,VIC,3030,380013087,"18 Wallace Ave, POINT COOK, VIC, 3030, Australia",-37.8723682,144.743131
Billy-Beet,Centre-Based Care,882 Edgars Rd,EPPING,VIC,3076,394091259,"882 Edgars Rd, EPPING, VIC, 3076, Australia",-37.6223593,145.0055818
Fawkner PS TheirCare,Centre-Based Care,"Fawkner Primary School, 40 Lorne St",FAWKNER,VIC,3060,418357578,"Fawkner Primary School, 40 Lorne St, FAWKNER, VIC, 3060, Australia",-37.7152026,144.9739608
EARLY BEGINNERS CHILD CARE CENTRE - GREENVALE,Centre-Based Care,1 Greenvale Gardens Bvd,GREENVALE,VIC,3059,359350039,"1 Greenvale Gardens Bvd, GREENVALE, VIC, 3059, Australia",-37.6227271,144.8828847
Willmott Park Uniting Kindergarten,Centre-Based Care,"Willmott Park Primary School, 54 Dorchester St",CRAIGIEBURN,VIC,3064,383240484,"Willmott Park Primary School, 54 Dorchester St, CRAIGIEBURN, VIC, 3064, Australia",-37.5909883,144.921979
The Fern Cheltenham,Centre-Based Care,238 Centre Dandenong Rd,CHELTENHAM,VIC,3192,385186041,"238 Centre Dandenong Rd, CHELTENHAM, VIC, 3192, Australia",-37.9695496,145.0847814
3C Kidz Care - Edinburgh College,Centre-Based Care,"Lilydale Adventist Academy, 33-61 Edinburgh Rd",LILYDALE,VIC,3140,387903921,"Lilydale Adventist Academy, 33-61 Edinburgh Rd, LILYDALE, VIC, 3140, Australia",-37.7838388,145.3525525
Green Bird Family Day Care,Family Day Care,24 Pasadena Cct,POINT COOK,VIC,3030,420635841,"24 Pasadena Cct, POINT COOK, VIC, 3030, Australia",-37.8982268,144.7228283
Starfish Early Learning Centre (Essendon),Centre-Based Care,1 Melfort Ave,ESSENDON,VIC,3040,392893700,"1 Melfort Ave, ESSENDON, VIC, 3040, Australia",-37.744385,144.9267082
Monash SDS TheirCare,Centre-Based Care,15-25 Academy Ave,WHEELERS HILL,VIC,3150,1300072410,"15-25 Academy Ave, WHEELERS HILL, VIC, 3150, Australia",-37.9068015,145.165934
Little World Academy,Centre-Based Care,142 Werribee St N,WERRIBEE,VIC,3030,,"142 Werribee St N, WERRIBEE, VIC, 3030, Australia",-37.8982317,144.6508042
Leapkids Ivanhoe Primary,Centre-Based Care,"Ivanhoe Primary School, 124 Waterdale Rd",IVANHOE,VIC,3079,425769211,"Ivanhoe Primary School, 124 Waterdale Rd, IVANHOE, VIC, 3079, Australia",-37.766654,145.0410979
Amaary Family Day Care,Family Day Care,21 Clarendon Ave,CRAIGIEBURN,VIC,3064,393083394,"21 Clarendon Ave, CRAIGIEBURN, VIC, 3064, Australia",-37.5888099,144.9177198
Wallaby Childcare Epping,Centre-Based Care,2 Shimmer St,EPPING,VIC,3076,03 8457 9966,"2 Shimmer St, EPPING, VIC, 3076, Australia",-37.6268404,145.0110253
325 Early Education Craigieburn,Centre-Based Care,16 Bridgewater Road,CRAIGIEBURN,VIC,3064,393338882,"16 Bridgewater Road, CRAIGIEBURN, VIC, 3064, Australia",-37.599861,144.9296054
Journey Early Learning Centre - Burwood,Centre-Based Care,3-5 Starling St,BURWOOD,VIC,3125,387466922,"3-5 Starling St, BURWOOD, VIC, 3125, Australia",-37.8521953,145.1267136
Busy Bees at Craigieburn,Centre-Based Care,40 Hothlyn Drive,CRAIGIEBURN,VIC,3064,390688173,"40 Hothlyn Drive, CRAIGIEBURN, VIC, 3064, Australia",-37.6013413,144.9427303
Guardian Childcare & Education Point Cook East,Centre-Based Care,11 Bensonhurst Parade,POINT COOK,VIC,3030,390684966,"11 Bensonhurst Parade, POINT COOK, VIC, 3030, Australia",-37.8905174,144.7132831
Keilor Park Preschool,Centre-Based Care,Thea Ct,KEILOR PARK,VIC,3042,393363758,"Thea Ct, KEILOR PARK, VIC, 3042, Australia",-37.7202858,144.8579458
Remus Way Children's Centre,Centre-Based Care,4 Remus Way,TAYLORS LAKES,VIC,3038,393909561,"4 Remus Way, TAYLORS LAKES, VIC, 3038, Australia",-37.7059939,144.78572
Davis Street Kindergarten,Centre-Based Care,40 Davis Street,KEW,VIC,3101,398171492,"40 Davis Street, KEW, VIC, 3101, Australia",-37.8106741,145.0466545
J J Mcmahon Memorial Kindergarten,Centre-Based Care,16A Argyle Road,KEW,VIC,3101,398173624,"16A Argyle Road, KEW, VIC, 3101, Australia",-37.8035318,145.0514175
Studley Park Kindergarten,Centre-Based Care,31 Stawell Street,KEW,VIC,3101,343290449,"31 Stawell Street, KEW, VIC, 3101, Australia",-37.8053809,145.0233845
Ruyton Early Learning Kindergarten & Pre Prep,Centre-Based Care,12 Selbourne Road,KEW,VIC,3101,392909350,"12 Selbourne Road, KEW, VIC, 3101, Australia",-37.8114087,145.0393991
Argyle Road Child Care Centre,Centre-Based Care,14 Argyle Road,KEW,VIC,3101,398173467,"14 Argyle Road, KEW, VIC, 3101, Australia",-37.8034682,145.0509569
Belford Oaks Community Children's Centre,Centre-Based Care,3 Belford Road,KEW,VIC,3101,398597148,"3 Belford Road, KEW, VIC, 3101, Australia",-37.8009357,145.0464374
Peppercorn Early Learning Centre,Centre-Based Care,102 Princess Street,KEW,VIC,3101,398535260,"102 Princess Street, KEW, VIC, 3101, Australia",-37.8006786,145.0303022
Carey Early Learning Centre Kew,Centre-Based Care,24 Wrixon Street,KEW,VIC,3101,03 9816 1411,"24 Wrixon Street, KEW, VIC, 3101, Australia",-37.81467,145.0466799
Wattleview Uniting Kindergarten,Centre-Based Care,17 Fuchsia Street,FERNTREE GULLY,VIC,3156,387995090,"17 Fuchsia Street, FERNTREE GULLY, VIC, 3156, Australia",-37.875187,145.276808
KU FW Kerr Kindergarten,Centre-Based Care,15 Roberts Street,FERNTREE GULLY,VIC,3156,397582069,"15 Roberts Street, FERNTREE GULLY, VIC, 3156, Australia",-37.8952285,145.289039
KU Knoxfield Kindergarten,Centre-Based Care,81 Anne Road,KNOXFIELD,VIC,3180,397637200,"81 Anne Road, KNOXFIELD, VIC, 3180, Australia",-37.8891057,145.2481166
Amaroo Child Care Centre,Centre-Based Care,65 Dorset Road,FERNTREE GULLY,VIC,3156,03 9758 1171,"65 Dorset Road, FERNTREE GULLY, VIC, 3156, Australia",-37.8782114,145.2842658
Magic Garden Child Care Centre,Centre-Based Care,1 Linda Crescent,FERNTREE GULLY,VIC,3156,397581832,"1 Linda Crescent, FERNTREE GULLY, VIC, 3156, Australia",-37.8699705,145.2628551
Johnson and Friends Childcare & Kinder,Centre-Based Care,779 Burwood Highway,FERNTREE GULLY,VIC,3156,397581217,"779 Burwood Highway, FERNTREE GULLY, VIC, 3156, Australia",-37.8803469,145.2715931
Lilydale North Preschool,Centre-Based Care,Erldunda Court,LILYDALE,VIC,3140,397350110,"Erldunda Court, LILYDALE, VIC, 3140, Australia",-37.7486022,145.3393638
Lakeview Kindergarten & Childcare,Centre-Based Care,24 Lakeview Drive,LILYDALE,VIC,3140,397395678,"24 Lakeview Drive, LILYDALE, VIC, 3140, Australia",-37.7754522,145.3571381
Como Park Child Care & Kindergarten,Centre-Based Care,162-164 Nelson Rd,LILYDALE,VIC,3140,397396766,"162-164 Nelson Rd, LILYDALE, VIC, 3140, Australia",-37.7511735,145.3656169
Malvern Memorial Kindergarten,Centre-Based Care,15 Orchard Street,ARMADALE,VIC,3143,395091609,"15 Orchard Street, ARMADALE, VIC, 3143, Australia",-37.8572589,145.0233353
Ewing Kindergarten,Centre-Based Care,32A Manning Road,MALVERN EAST,VIC,3145,395713955,"32A Manning Road, MALVERN EAST, VIC, 3145, Australia",-37.8732763,145.0489032
Malvern Early Learning and Child Care Centre,Centre-Based Care,9 Llaneast Street,ARMADALE,VIC,3143,395090739,"9 Llaneast Street, ARMADALE, VIC, 3143, Australia",-37.8613896,145.0273045
Little Paddington Child Care Centre and Kindergarten,Centre-Based Care,412 Waverley Road,MALVERN EAST,VIC,3145,395723838,"412 Waverley Road, MALVERN EAST, VIC, 3145, Australia",-37.8781826,145.0652046
Matrix Early Learning Fawkner,Centre-Based Care,1218-1220 SYDNEY RD,FAWKNER,VIC,3060,393596167,"1218-1220 SYDNEY RD, FAWKNER, VIC, 3060, Australia",-37.7141221,144.962218
Quantin Binnah - St John the Apostle PS,Centre-Based Care,54 Kingbird Ave,TARNEIT,VIC,3029,397425040,"54 Kingbird Ave, TARNEIT, VIC, 3029, Australia",-37.8327264,144.6649266
Oakhill Family Centre,Centre-Based Care,91 North Rd,RESERVOIR,VIC,3073,394701914,"91 North Rd, RESERVOIR, VIC, 3073, Australia",-37.7232491,145.0171727
Camp Australia - Mount Ridley College OSHC,Centre-Based Care,2-30 Hampton St,CRAIGIEBURN,VIC,3064,413979209,"2-30 Hampton St, CRAIGIEBURN, VIC, 3064, Australia",-37.5783686,144.9210979
Ruskin Park PS TheirCare,Centre-Based Care,"Ruskin Park Primary School, 18-20 Ruskin Ave",CROYDON,VIC,3136,1300072410,"Ruskin Park Primary School, 18-20 Ruskin Ave, CROYDON, VIC, 3136, Australia",-37.7985509,145.2972128
Camp Australia - Lumen Christi Catholic School OSHC,Centre-Based Care,260-278 Point Cook Rd,POINT COOK,VIC,3030,423476343,"260-278 Point Cook Rd, POINT COOK, VIC, 3030, Australia",-37.8925105,144.7532587
Kilberry Valley PS TheirCare,Centre-Based Care,Kilberry Bvd,HAMPTON PARK,VIC,3976,1300072410,"Kilberry Bvd, HAMPTON PARK, VIC, 3976, Australia",-38.0371627,145.2802794
Rowellyn Park Primary School OSHC,Centre-Based Care,15 Rowellyn Avenue,CARRUM DOWNS,VIC,3201,397820080,"15 Rowellyn Avenue, CARRUM DOWNS, VIC, 3201, Australia",-38.1043832,145.1915326
Merri-bek Family Day Care,Family Day Care,90 Bell Street,COBURG,VIC,3058,392402300,"90 Bell Street, COBURG, VIC, 3058, Australia",-37.7410304,144.9695238
Carlton Gardens OSHClub,Centre-Based Care,201-215 Rathdowne St,CARLTON,VIC,3053,431608071,"201-215 Rathdowne St, CARLTON, VIC, 3053, Australia",-37.8039577,144.9693087
Camp Australia - Victoria Road Primary School OSHC,Centre-Based Care,Bowen Road,LILYDALE,VIC,3140,406931844,"Bowen Road, LILYDALE, VIC, 3140, Australia",-37.7563534,145.3373004
St Carlo Borromeo OSHClub,Centre-Based Care,5-9 Drummond St,GREENVALE,VIC,3059,431339221,"5-9 Drummond St, GREENVALE, VIC, 3059, Australia",-37.6535046,144.8894846
Glen Waverley South Primary School  OSHC Program,Centre-Based Care,Whites Lane,GLEN WAVERLEY,VIC,3150,395606371,"Whites Lane, GLEN WAVERLEY, VIC, 3150, Australia",-37.8971361,145.1714612
Wheeler's Hill Primary School OSHC,Centre-Based Care,134-148 Whites Lane,WHEELERS HILL,VIC,3150,395613457,"134-148 Whites Lane, WHEELERS HILL, VIC, 3150, Australia",-37.9010346,145.1777309
Greenvale PS TheirCare,Centre-Based Care,12-24 Bradford Avenue,GREENVALE,VIC,3059,438975813,"12-24 Bradford Avenue, GREENVALE, VIC, 3059, Australia",-37.6402096,144.8868424
Pascoe Vale Primary School OSHC,Centre-Based Care,Gaffney Street,PASCOE VALE,VIC,3044,393541611,"Gaffney Street, PASCOE VALE, VIC, 3044, Australia",-37.7304094,144.9286915
"Holy Rosary OSHC, Kensington",Centre-Based Care,37 Gower Street,KENSINGTON,VIC,3031,493214291,"37 Gower Street, KENSINGTON, VIC, 3031, Australia",-37.7955496,144.9290581
Preston West Primary School BASCP,Centre-Based Care,383 Murray Rd,PRESTON,VIC,3072,0,"383 Murray Rd, PRESTON, VIC, 3072, Australia",-37.7378429,144.9956343
