ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Address,Latitude,Longitude
Goodstart Early Learning Eltham,Goodstart Early Learning Ltd,Centre-Based Care,816 Main Road,ELTHAM,VIC,3095,03 9439 6433,"816 Main Road, ELTHAM, VIC, 3095, Australia",-37.7278339,145.146396
St Albans Early Learning Centre,SHINING LIGHTS EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,32a Arthur St,ST ALBANS,VIC,3021,0421 432 979,"32a Arthur St, ST ALBANS, VIC, 3021, Australia",-37.7358597,144.8034803
Little Genius Childcare & Kindergarten,RAETA INVESTMENTS PTY LTD,Centre-Based Care,272 Gallaghers Rd,GLEN WAVERLEY,VIC,3150,395601530,"272 Gallaghers Rd, GLEN WAVERLEY, VIC, 3150, Australia",-37.883044,145.1777526
"St Luke the Evangelist Outside School Hours Care, Blackburn South",MELBOURNE ARCHDIOCESE CATHOLIC SCHOOLS EARLY YEARS EDUCATION LTD,Centre-Based Care,46 Orchard Gr,BLACKBURN SOUTH,VIC,3130,493136384,"46 Orchard Gr, BLACKBURN SOUTH, VIC, 3130, Australia",-37.836404,145.146977
Southern Autistic School TheirCare,TheirCare Pty Ltd,Centre-Based Care,12 Margaretta St,BENTLEIGH EAST,VIC,3165,1300072410,"12 Margaretta St, BENTLEIGH EAST, VIC, 3165, Australia",-37.9271064,145.0621252
ARARAT CHILD CARE & KINDER RETREAT,J C CORP PTY LTD,Centre-Based Care,37 McNeill St,ARARAT,VIC,3377,353524995,"37 McNeill St, ARARAT, VIC, 3377, Australia",-37.276128,142.9320617
Imagine Childcare and Kindergarten Werribee,1st Edge Pty Ltd ATF 1st Edge Unit Trust,Centre-Based Care,24 Azolla Ave,WERRIBEE,VIC,3030,397317035,"24 Azolla Ave, WERRIBEE, VIC, 3030, Australia",-37.9227904,144.6282954
TeamKids - Brighton Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,59 Wilson Street,BRIGHTON,VIC,3186,1300035000,"59 Wilson Street, BRIGHTON, VIC, 3186, Australia",-37.9115182,145.0017849
Imagination Garden Geelong,Evolve Early Education Pty Ltd,Centre-Based Care,21-27 Rollins Rd,BELL POST HILL,VIC,3215,342160600,"21-27 Rollins Rd, BELL POST HILL, VIC, 3215, Australia",-38.103912,144.3219415
Amiga Montessori Wallace Ave,AMIGA MONTESSORI HOLDINGS PTY. LTD.,Centre-Based Care,18 Wallace Ave,POINT COOK,VIC,3030,380013087,"18 Wallace Ave, POINT COOK, VIC, 3030, Australia",-37.8723682,144.743131
DS Sports Noble Park,SPORTS DS PTY LTD,Centre-Based Care,"Noble Park Primary School, 65-81 Buckley St",NOBLE PARK,VIC,3174,489237128,"Noble Park Primary School, 65-81 Buckley St, NOBLE PARK, VIC, 3174, Australia",,
YMCA St Mary MacKillop Bannockburn OSHC,The Young Men's Christian Association of Geelong,Centre-Based Care,"St Mary Mackillop Catholic Pri, 32 High St",BANNOCKBURN,VIC,3331,477677149,"St Mary Mackillop Catholic Pri, 32 High St, BANNOCKBURN, VIC, 3331, Australia",,
Ardeer South PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Ardeer South Primary School, 59-75 Murray St",SUNSHINE WEST,VIC,3020,1300072410,"Ardeer South Primary School, 59-75 Murray St, SUNSHINE WEST, VIC, 3020, Australia",-37.78891,144.799327
Kelly Club OSHC Our Lady Star of the Sea Primary School,KELLY CLUB AUSTRALIA PTY LTD ATF KELLY CLUB AUSTRALIA UNIT TRUST,Centre-Based Care,"Our Lady Star of the Sea Schoo, 13-29 John Dory Dr",OCEAN GROVE,VIC,3226,,"Our Lady Star of the Sea Schoo, 13-29 John Dory Dr, OCEAN GROVE, VIC, 3226, Australia",,
Billy-Beet,KURANYA PTY LTD,Centre-Based Care,882 Edgars Rd,EPPING,VIC,3076,394091259,"882 Edgars Rd, EPPING, VIC, 3076, Australia",-37.6223593,145.0055818
SPORTS DS PTY LTD,SPORTS DS PTY LTD,Centre-Based Care,"Garfield Primary School, 84 Railway Ave",GARFIELD,VIC,3814,422519681,"Garfield Primary School, 84 Railway Ave, GARFIELD, VIC, 3814, Australia",-38.0898832,145.6738689
Fawkner PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Fawkner Primary School, 40 Lorne St",FAWKNER,VIC,3060,418357578,"Fawkner Primary School, 40 Lorne St, FAWKNER, VIC, 3060, Australia",-37.7152026,144.9739608
St Johns School Euroa TheirCare,TheirCare Pty Ltd,Centre-Based Care,"St John's School, 27-37 Anderson St",EUROA,VIC,3666,,"St John's School, 27-37 Anderson St, EUROA, VIC, 3666, Australia",,
Cranbourne Daycare & Kindergarten Centre,Cranbourne Day Care and Kindergarten Centre Pty Ltd,Centre-Based Care,11 Oroya Grove,CLYDE,VIC,3978,359961415,"11 Oroya Grove, CLYDE, VIC, 3978, Australia",-38.1324972,145.3275273
Dulap Wilim Preschool,Hume City Council,Centre-Based Care,"9-39, Charter Road East",SUNBURY,VIC,3429,393566470,"9-39, Charter Road East, SUNBURY, VIC, 3429, Australia",-37.5814376,144.7055936
Hoa Nghiem Early Learning Centre,The United Vietnamese Buddhist Congregation of South-Eastern Melbourne,Centre-Based Care,442-448 Springvale Rd,SPRINGVALE SOUTH,VIC,3172,413856327,"442-448 Springvale Rd, SPRINGVALE SOUTH, VIC, 3172, Australia",-37.9670095,145.1485387
Inspired Early Learning Centre and Kindergarten,INSPIRED EARLY LEARNING PTY LTD,Centre-Based Care,55s Berrybank Tce,BOTANIC RIDGE,VIC,3977,359905000,"55s Berrybank Tce, BOTANIC RIDGE, VIC, 3977, Australia",-38.1485016,145.2916026
Greenvale West Community Centre,Hume City Council,Centre-Based Care,7 Ventura Way,GREENVALE,VIC,3059,436928811,"7 Ventura Way, GREENVALE, VIC, 3059, Australia",-37.6241063,144.8790711
Lethbridge CommunityOSH,COMMUNITYOSH PTY LTD,Centre-Based Care,"Lethbridge Primary School, 2 Stephenson St",LETHBRIDGE,VIC,3332,399773000,"Lethbridge Primary School, 2 Stephenson St, LETHBRIDGE, VIC, 3332, Australia",-37.9690652,144.1351777
TeamKids - Westbourne Grammar - Truganina,TEAM HOLIDAY PTY LTD,Centre-Based Care,300 Sayers Rd,TRUGANINA,VIC,3029,1300035000,"300 Sayers Rd, TRUGANINA, VIC, 3029, Australia",-37.850001,144.7219171
TeamKids - Westbourne Grammar - Williamstown,TEAM HOLIDAY PTY LTD,Centre-Based Care,67 The Strand,NEWPORT,VIC,3015,1300035000,"67 The Strand, NEWPORT, VIC, 3015, Australia",-37.8501093,144.8950139
Nexus Early Learning Heidelberg,WA KAZOKU EDUCATION GROUP PTY LTD,Centre-Based Care,165-167 Southern Rd,HEIDELBERG WEST,VIC,3081,397389090,"165-167 Southern Rd, HEIDELBERG WEST, VIC, 3081, Australia",-37.741391,145.0397968
Dandenong South OSHClub,OSHCLUB PTY LTD,Centre-Based Care,"52, Kirkham Road",DANDENONG,VIC,3175,461335586,"52, Kirkham Road, DANDENONG, VIC, 3175, Australia",-37.9979699,145.2119444
Waubra Primary School,WAUBRA PRIMARY SCHOOL,Centre-Based Care,"Waubra Primary School, 2110 Sunraysia Hwy",WAUBRA,VIC,3352,353435358,"Waubra Primary School, 2110 Sunraysia Hwy, WAUBRA, VIC, 3352, Australia",,
Kurmile OSHClub,OSHCLUB PTY LTD,Centre-Based Care,40 Fairweather Pde,OFFICER,VIC,3809,439660575,"40 Fairweather Pde, OFFICER, VIC, 3809, Australia",-38.0586698,145.3952684
Marrang Kindergarten,Horsham & District Kindergarten Association Inc,Centre-Based Care,87-89 Darcy St,STAWELL,VIC,3380,353581100,"87-89 Darcy St, STAWELL, VIC, 3380, Australia",-37.064005,142.7727797
Treetop Early Learning Pascoe Vale Pty Ltd,The Trustee for TREETOP EARLY LEARNING PASCOE VALE UNIT TRUST,Centre-Based Care,308A-312 Gaffney St,PASCOE VALE,VIC,3044,391259125,"308A-312 Gaffney St, PASCOE VALE, VIC, 3044, Australia",,
Shine Bright Kyabram P-12 Kindergarten,SHINE BRIGHT EYM,Centre-Based Care,57a Fischer St,KYABRAM,VIC,3620,358922070,"57a Fischer St, KYABRAM, VIC, 3620, Australia",-36.3178745,145.0516258
TeamKids - Rosebud Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,932 Point Nepean Rd,ROSEBUD,VIC,3939,1300035000,"932 Point Nepean Rd, ROSEBUD, VIC, 3939, Australia",-38.3554649,144.9039315
Coral Park OSHClub,OSHCLUB PTY LTD,Centre-Based Care,145 Coral Dr,HAMPTON PARK,VIC,3976,439660575,"145 Coral Dr, HAMPTON PARK, VIC, 3976, Australia",-38.0431752,145.274638
Laa Yulta PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,10 Elementary Rd,MAMBOURIN,VIC,3024,1300072410,"10 Elementary Rd, MAMBOURIN, VIC, 3024, Australia",-37.8853455,144.5958334
Strathmerton Uniting Outside School Hours Care,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,"Primary School, 43-51 Findlay St",STRATHMERTON,VIC,3641,1800183103,"Primary School, 43-51 Findlay St, STRATHMERTON, VIC, 3641, Australia",-35.9227778,145.4785616
EARLY BEGINNERS CHILD CARE CENTRE - GREENVALE,Gok Engineering Pty Ltd,Centre-Based Care,1 Greenvale Gardens Bvd,GREENVALE,VIC,3059,359350039,"1 Greenvale Gardens Bvd, GREENVALE, VIC, 3059, Australia",-37.6227271,144.8828847
Bundarra Uniting Outside School Hours Care,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,"Bundarra Primary School, 120 Fawthrop St",PORTLAND,VIC,3305,1800183103,"Bundarra Primary School, 120 Fawthrop St, PORTLAND, VIC, 3305, Australia",,
Portland North Uniting Outside School Hours Care,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,42 School Rd,PORTLAND NORTH,VIC,3305,409638775,"42 School Rd, PORTLAND NORTH, VIC, 3305, Australia",-38.3170642,141.5721122
Napoleons Kindergarten,Eureka Community Kindergarten Association Inc,Centre-Based Care,4721 Colac-Ballarat Rd,NAPOLEONS,VIC,3352,400089143,"4721 Colac-Ballarat Rd, NAPOLEONS, VIC, 3352, Australia",-37.6778638,143.8259794
Bundarra Uniting Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,312 EDGAR ST,PORTLAND,VIC,3305,1800183103,"312 EDGAR ST, PORTLAND, VIC, 3305, Australia",-38.3616662,141.5922428
Willmott Park Uniting Kindergarten,UNITING (VICTORIA AND TASMANIA) LIMITED,Centre-Based Care,"Willmott Park Primary School, 54 Dorchester St",CRAIGIEBURN,VIC,3064,383240484,"Willmott Park Primary School, 54 Dorchester St, CRAIGIEBURN, VIC, 3064, Australia",-37.5909883,144.921979
DS Sports Somerville Rise,SPORTS DS PTY LTD,Centre-Based Care,"Somerville Rise Primary School, 34 Worwong Ave",SOMERVILLE,VIC,3912,468361274,"Somerville Rise Primary School, 34 Worwong Ave, SOMERVILLE, VIC, 3912, Australia",-38.2292866,145.168622
KU Koo Wee Rup Kindergarten,KU Children's Services,Centre-Based Care,28-34 Moody St,KOO WEE RUP,VIC,3981,370031704,"28-34 Moody St, KOO WEE RUP, VIC, 3981, Australia",-38.1956251,145.4930138
Kallista OSHClub,OSHCLUB PTY LTD,Centre-Based Care,"Kallista Primary School, 72 Monbulk Rd",KALLISTA,VIC,3791,439660575,"Kallista Primary School, 72 Monbulk Rd, KALLISTA, VIC, 3791, Australia",,
Traralgon (Kosciuszko Street) OSHClub,OSHCLUB PTY LTD,Centre-Based Care,"Traralgon Kosciusko Street Pri, 36 Kosciuszko St",TRARALGON,VIC,3844,439660575,"Traralgon Kosciusko Street Pri, 36 Kosciuszko St, TRARALGON, VIC, 3844, Australia",,
Peninsula Specialist College TheirCare,TheirCare Pty Ltd,Centre-Based Care,25 Old White Hill Rd,DROMANA,VIC,3936,1300072410,"25 Old White Hill Rd, DROMANA, VIC, 3936, Australia",-38.3415569,145.0110813
Dharra School TheirCare,TheirCare Pty Ltd,Centre-Based Care,42 Recreation Rd,AINTREE,VIC,3335,1300072410,"42 Recreation Rd, AINTREE, VIC, 3335, Australia",,
Kool Kidz Charlemont,M.J.E.R PTY LTD,Centre-Based Care,75-77 Precinct Rd,CHARLEMONT,VIC,3217,342441170,"75-77 Precinct Rd, CHARLEMONT, VIC, 3217, Australia",-38.214554,144.3680147
Highvale PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Highvale Primary School, 33 Ashton St",GLEN WAVERLEY,VIC,3150,1300072410,"Highvale Primary School, 33 Ashton St, GLEN WAVERLEY, VIC, 3150, Australia",,
All Saints Anglican School TheirCare,TheirCare Pty Ltd,Centre-Based Care,320 Verney Rd,SHEPPARTON NORTH,VIC,3631,1300072410,"320 Verney Rd, SHEPPARTON NORTH, VIC, 3631, Australia",-36.3399075,145.4089435
Leading Edge Childcare - Wollert,FOWLER PROPERTY INVESTMENTS AUSTRALIA PTY LTD,Centre-Based Care,230 Saltlake Bvd,WOLLERT,VIC,3750,402522528,"230 Saltlake Bvd, WOLLERT, VIC, 3750, Australia",-37.6234139,145.0392122
Mount Dandenong Primary School,Mount Dandenong Primary School Council,Centre-Based Care,"Mount Dandenong Primary School, 13-15 Farndons Rd",MOUNT DANDENONG,VIC,3767,397511136,"Mount Dandenong Primary School, 13-15 Farndons Rd, MOUNT DANDENONG, VIC, 3767, Australia",-37.8300656,145.362334
Kool Kidz Craigieburn,SAI CHILDCARE PTY LTD,Centre-Based Care,5 Dodswell Way,CRAIGIEBURN,VIC,3064,469294377,"5 Dodswell Way, CRAIGIEBURN, VIC, 3064, Australia",-37.5850795,144.9412689
Murrabit Group School,Murrabit Primary School Council,Centre-Based Care,"Murrabit Primary School, 61 Browning Ave",MURRABIT,VIC,3579,354572284,"Murrabit Primary School, 61 Browning Ave, MURRABIT, VIC, 3579, Australia",,
My Little Kingdom,AVI & M ENTERPRISES PTY LTD,Centre-Based Care,16 Bayview Rd,OFFICER,VIC,3809,469042069,"16 Bayview Rd, OFFICER, VIC, 3809, Australia",-38.0578404,145.4056892
Trafalgar OSHClub,OSHCLUB PTY LTD,Centre-Based Care,"Trafalgar Primary School, 85 School Rd",TRAFALGAR,VIC,3824,439660575,"Trafalgar Primary School, 85 School Rd, TRAFALGAR, VIC, 3824, Australia",,
Truganina Community Centre Kindergarten,Wyndham City Council,Centre-Based Care,1 Everton Rd,TRUGANINA,VIC,3029,,"1 Everton Rd, TRUGANINA, VIC, 3029, Australia",-37.8192378,144.7216468
Woodlands Tarneit,WOODLANDS TARNEIT PTY LTD,Centre-Based Care,7/676 Leakes Rd,TARNEIT,VIC,3029,387643336,"7/676 Leakes Rd, TARNEIT, VIC, 3029, Australia",-37.8307497,144.6624741
North Sunshine Kindergarten,Brimbank Preschool Association Inc,Centre-Based Care,72a Phoenix St,SUNSHINE NORTH,VIC,3020,393114130,"72a Phoenix St, SUNSHINE NORTH, VIC, 3020, Australia",-37.7758729,144.8347337
Hope Karingal,HOPE KARINGAL PTY LTD,Centre-Based Care,24 Whitford Way,FRANKSTON,VIC,3199,390202232,"24 Whitford Way, FRANKSTON, VIC, 3199, Australia",-38.1569422,145.1620803
"Aspire Early Education and Kindergarten Ramlegh, Clyde North",ASPIRE EARLY EDUCATION & KINDERGARTEN RAMLEGH CLYDE NORTH PTY LTD,Centre-Based Care,19 Keighery Dr,CLYDE NORTH,VIC,3978,1800978429,"19 Keighery Dr, CLYDE NORTH, VIC, 3978, Australia",-38.1114577,145.3471579
ASPIRE EARLY EDUCATION and KINDERGARTEN CRANBOURNE NORTH (THOMPSON),ASPIRE EARLY EDUCATION & KINDERGARTEN CRANBOURNE NORTH (THOMPSON) PTY LTD,Centre-Based Care,1585s Thompsons Rd,CRANBOURNE NORTH,VIC,3977,1800978429,"1585s Thompsons Rd, CRANBOURNE NORTH, VIC, 3977, Australia",-38.0862675,145.309827
Aspire Early Education and Kindergarten Donnybrook,ASPIRE EARLY EDUCATION & KINDERGARTEN DONNYBROOK PTY LTD,Centre-Based Care,61a Station Pde,DONNYBROOK,VIC,3064,1800978429,"61a Station Pde, DONNYBROOK, VIC, 3064, Australia",-37.5416173,144.96394
Melton Specialist School OSHC,Interchange Loddon Mallee Region Limited,Centre-Based Care,"Melton Secondary College, 159-211 Coburns Rd",MELTON WEST,VIC,3337,1300799421,"Melton Secondary College, 159-211 Coburns Rd, MELTON WEST, VIC, 3337, Australia",-37.6823524,144.566826
The Fern Cheltenham,Al-ishraaq Pty Ltd ATF Ahsan's Family Trust,Centre-Based Care,238 Centre Dandenong Rd,CHELTENHAM,VIC,3192,385186041,"238 Centre Dandenong Rd, CHELTENHAM, VIC, 3192, Australia",-37.9695496,145.0847814
Wattle Hill Kindergarten Inc,Wattle Hill Kindergarten Inc,Centre-Based Care,31 Surrey Dr,BOX HILL,VIC,3128,398088848,"31 Surrey Dr, BOX HILL, VIC, 3128, Australia",-37.8278624,145.1156362
Little Lane Early Learning Centre - Glen Iris,Wu & Kuo Childcare Pty Ltd ATF Wu & Kuo Childcare Trust & Cynas Childcare Pty Ltd ATF Cynas Childcare Trust,Centre-Based Care,1597 Malvern Rd,GLEN IRIS,VIC,3146,388490544,"1597 Malvern Rd, GLEN IRIS, VIC, 3146, Australia",-37.8542058,145.0510422
Journey Early Learning Centre - Sale,Journey ELC Pty Ltd,Centre-Based Care,47-49 Princes Hwy,SALE,VIC,3850,387466903,"47-49 Princes Hwy, SALE, VIC, 3850, Australia",-38.0823405,147.0711
Bluebird Early Education Botanic Ridge,VOXARK PTY LTD,Centre-Based Care,1-25S HUMMINGBIRD DR,BOTANIC RIDGE,VIC,3977,359292771,"1-25S HUMMINGBIRD DR, BOTANIC RIDGE, VIC, 3977, Australia",,
Montessori Beginnings Brunswick,MONTESSORI BEGINNINGS MARIBYRNONG PTY LTD,Centre-Based Care,148-150 Nicholson St,BRUNSWICK EAST,VIC,3057,391254260,"148-150 Nicholson St, BRUNSWICK EAST, VIC, 3057, Australia",-37.7659681,144.9808077
3C Kidz Care - Edinburgh College,Casey City Church Inc,Centre-Based Care,"Lilydale Adventist Academy, 33-61 Edinburgh Rd",LILYDALE,VIC,3140,387903921,"Lilydale Adventist Academy, 33-61 Edinburgh Rd, LILYDALE, VIC, 3140, Australia",-37.7838388,145.3525525
Warringa Park School TheirCare (Cayleys Road),TheirCare Pty Ltd,Centre-Based Care,10 Cayleys Rd,WERRIBEE SOUTH,VIC,3030,1300072410,"10 Cayleys Rd, WERRIBEE SOUTH, VIC, 3030, Australia",-37.9501325,144.6868784
Green Bird Family Day Care,"SHAW, LOUISE ROSE",Family Day Care,24 Pasadena Cct,POINT COOK,VIC,3030,420635841,"24 Pasadena Cct, POINT COOK, VIC, 3030, Australia",-37.8982268,144.7228283
Starfish Early Learning Centre (Essendon),STARFISH ESSENDON PTY LTD ATF The Trustee for Starfish Essendon Trust,Centre-Based Care,1 Melfort Ave,ESSENDON,VIC,3040,392893700,"1 Melfort Ave, ESSENDON, VIC, 3040, Australia",-37.744385,144.9267082
Joyful beginnings family day care,TREND FASHION AND STYLE PTY LTD.,Family Day Care,15 Windsor Cres,ALTONA NORTH,VIC,3025,490173894,"15 Windsor Cres, ALTONA NORTH, VIC, 3025, Australia",-37.8453663,144.8518234
After The Bell Aus- Warragul Primary School,After the Bell Aus Pty Ltd ATF After The Bell Unit Trust,Centre-Based Care,"Warragul Primary School, 44 Bowen St",WARRAGUL,VIC,3820,397586744,"Warragul Primary School, 44 Bowen St, WARRAGUL, VIC, 3820, Australia",-38.1565287,145.9285948
Monash SDS TheirCare,TheirCare Pty Ltd,Centre-Based Care,15-25 Academy Ave,WHEELERS HILL,VIC,3150,1300072410,"15-25 Academy Ave, WHEELERS HILL, VIC, 3150, Australia",-37.9068015,145.165934
South Gippsland SS TheirCare,TheirCare Pty Ltd,Centre-Based Care,13 Horn St,LEONGATHA,VIC,3953,1300072410,"13 Horn St, LEONGATHA, VIC, 3953, Australia",-38.4783202,145.957128
Western Autistic School TheirCare,TheirCare Pty Ltd,Centre-Based Care,"1 Burnley St, Western Autistic School",LAVERTON,VIC,3028,1300072410,"1 Burnley St, Western Autistic School, LAVERTON, VIC, 3028, Australia",,
ASPIRE EARLY EDUCATION and KINDERGARTEN TARNEIT (SAYERS),ASPIRE EARLY EDUCATION & KINDERGARTEN TARNEIT (SAYERS) PTY LTD,Centre-Based Care,1 Swinnerton Rd,TARNEIT,VIC,3029,1800978429,"1 Swinnerton Rd, TARNEIT, VIC, 3029, Australia",-37.8453326,144.6688627
Little World Academy,Providence & Grace Pty. Ltd. ATF Leong & Tham Family Trust,Centre-Based Care,142 Werribee St N,WERRIBEE,VIC,3030,,"142 Werribee St N, WERRIBEE, VIC, 3030, Australia",-37.8982317,144.6508042
Child's Play Wyndham Vale,Samian Pty Ltd,Centre-Based Care,10 Placid Way,WYNDHAM VALE,VIC,3024,397494399,"10 Placid Way, WYNDHAM VALE, VIC, 3024, Australia",-37.874189,144.620367
Emerson School TheirCare,TheirCare Pty Ltd,Centre-Based Care,"1430 Heatherton Rd, Emerson School",DANDENONG,VIC,3175,1300072410,"1430 Heatherton Rd, Emerson School, DANDENONG, VIC, 3175, Australia",,
Lake Colac School TheirCare,TheirCare Pty Ltd,Centre-Based Care,413 Murray St,COLAC,VIC,3250,1300072410,"413 Murray St, COLAC, VIC, 3250, Australia",-38.3363363,143.566178
Diamond Valley SDS TheirCare,TheirCare Pty Ltd,Centre-Based Care,14-24 Brentwick Dr,GREENSBOROUGH,VIC,3088,1300072410,"14-24 Brentwick Dr, GREENSBOROUGH, VIC, 3088, Australia",-37.688262,145.1100526
Frankston Beach Sanctuary Of Early Learning,EMO Properties Pty Ltd,Centre-Based Care,366 Nepean Hwy,FRANKSTON,VIC,3199,397814600,"366 Nepean Hwy, FRANKSTON, VIC, 3199, Australia",-38.135078,145.1238834
Bluebird Early Education Glen Waverley,Loxiva Pty Ltd,Centre-Based Care,680 Highbury Rd,GLEN WAVERLEY,VIC,3150,388273083,"680 Highbury Rd, GLEN WAVERLEY, VIC, 3150, Australia",-37.8635389,145.1820196
MIckleham Business One EEG PTY LTD,MICKLEHAM BUSINESS ONE EEG PTY LTD,Centre-Based Care,130 Brossard Rd,MICKLEHAM,VIC,3064,488008375,"130 Brossard Rd, MICKLEHAM, VIC, 3064, Australia",-37.5439419,144.8905813
Milestones Early Learning Officer (Tivendale Road Campus),Affinity Education Group Pty Limited,Centre-Based Care,27 Tivendale Rd,OFFICER,VIC,3809,370684833,"27 Tivendale Rd, OFFICER, VIC, 3809, Australia",-38.0575608,145.4103228
Ascot Vale Heights School TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Ascot Vale Heights School, 1 Tasma St",ASCOT VALE,VIC,3032,1300072410,"Ascot Vale Heights School, 1 Tasma St, ASCOT VALE, VIC, 3032, Australia",-37.7769277,144.9326039
ASPIRE EARLY EDUCATION and KINDERGARTEN BEVERIDGE,ASPIRE EARLY EDUCATION & KINDERGARTEN BEVERIDGE PTY LTD,Centre-Based Care,2 Mallaig Dr,BEVERIDGE,VIC,3753,1800978429,"2 Mallaig Dr, BEVERIDGE, VIC, 3753, Australia",-37.4732276,144.9688282
ASPIRE EARLY EDUCATION and KINDERGARTEN DEANSIDE VILLAGE,Aspire Early Education & Kindergarten Deanside Village PTY LTD,Centre-Based Care,39 Conservatory Dr,DEANSIDE,VIC,3336,1800978429,"39 Conservatory Dr, DEANSIDE, VIC, 3336, Australia",-37.7223615,144.6979837
Ranfurly PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Ranfurly Primary School, Ontario Ave",MILDURA,VIC,3500,1300072410,"Ranfurly Primary School, Ontario Ave, MILDURA, VIC, 3500, Australia",-34.1939864,142.1345715
Leapkids Ivanhoe Primary,LEAPKIDS AUSTRALIA PTY LTD,Centre-Based Care,"Ivanhoe Primary School, 124 Waterdale Rd",IVANHOE,VIC,3079,425769211,"Ivanhoe Primary School, 124 Waterdale Rd, IVANHOE, VIC, 3079, Australia",-37.766654,145.0410979
Amaary Family Day Care,Amaary Family Day Care Pty Ltd,Family Day Care,21 Clarendon Ave,CRAIGIEBURN,VIC,3064,393083394,"21 Clarendon Ave, CRAIGIEBURN, VIC, 3064, Australia",-37.5888099,144.9177198
Kutub Family Day Care Pty Ltd,KUTUB FAMILY DAY CARE PTY LTD,Family Day Care,U21 126 Racecourse Road,FLEMINGTON,VIC,3031,,"U21 126 Racecourse Road, FLEMINGTON, VIC, 3031, Australia",,
Carey St Kindergarten,Young Mens Christian Association Of Ballarat Inc,Centre-Based Care,9 Carey St,ARARAT,VIC,3377,343111508,"9 Carey St, ARARAT, VIC, 3377, Australia",-37.2892987,142.9256865
Wallaby Childcare Epping,Wallaby Childcare Epping Pty Ltd (ATF) Wallaby Childcare Epping Trust,Centre-Based Care,2 Shimmer St,EPPING,VIC,3076,03 8457 9966,"2 Shimmer St, EPPING, VIC, 3076, Australia",-37.6268404,145.0110253
Merbein P-10 College TheirCare,TheirCare Pty Ltd,Centre-Based Care,"Merbein Secondary College, 188-206 Commercial St",MERBEIN,VIC,3505,1300072410,"Merbein Secondary College, 188-206 Commercial St, MERBEIN, VIC, 3505, Australia",,
Ballarat Specialist School - Early Learning Centre,Ballarat Specialist School Council,Centre-Based Care,25 Gillies St North,LAKE GARDENS,VIC,3355,353341302,"25 Gillies St North, LAKE GARDENS, VIC, 3355, Australia",-37.5523619,143.8187441
325 Early Education Craigieburn,Alan Blue Pty Ltd,Centre-Based Care,16 Bridgewater Road,CRAIGIEBURN,VIC,3064,393338882,"16 Bridgewater Road, CRAIGIEBURN, VIC, 3064, Australia",-37.599861,144.9296054
Dallas Kindergarten @ Dallas Brooks Community Primary School,Northern Schools Early Years Cluster Inc.,Centre-Based Care,King St,DALLAS,VIC,3047,393091181,"King St, DALLAS, VIC, 3047, Australia",-37.6690979,144.9418383
Knox Children and Family Centre (Bayswater),Knox City Council,Centre-Based Care,41 Phyllis St,BAYSWATER,VIC,3153,397389700,"41 Phyllis St, BAYSWATER, VIC, 3153, Australia",-37.8485435,145.2520449
Greythorn Early Childhood Centre,Greythorn Early Childhood Centre Inc,Centre-Based Care,2 Centre Way,BALWYN NORTH,VIC,3104,398573793,"2 Centre Way, BALWYN NORTH, VIC, 3104, Australia",-37.7913134,145.095029
Explorers Early Learning - Surrey Hills,SLK TRADING SURREY HILLS PTY LTD,Centre-Based Care,1 Stanley Terrace,SURREY HILLS,VIC,3127,392483000,"1 Stanley Terrace, SURREY HILLS, VIC, 3127, Australia",-37.824134,145.0865763
Chairo Christian School Kindergarten,Chairo Parent Governed Christian Education Limited,Centre-Based Care,101 Horn Street,LEONGATHA,VIC,3953,356254600,"101 Horn Street, LEONGATHA, VIC, 3953, Australia",-38.4698478,145.9612405
Camp Australia - St Joseph’s Primary School - Warragul OSHC,Camp Australia Pty Limited,Centre-Based Care,167 Burke Street,WARRAGUL,VIC,3820,402192591,"167 Burke Street, WARRAGUL, VIC, 3820, Australia",-38.1590031,145.9119255
Buninyong Primary School,Buninyong Primary School Council,Centre-Based Care,202 Simpson Street,BUNINYONG,VIC,3357,353413560,"202 Simpson Street, BUNINYONG, VIC, 3357, Australia",-37.6538667,143.8860814
Great Beginnings Curlewis,G8 Education Limited,Centre-Based Care,148-156 Jetty Rd,CURLEWIS,VIC,3222,03 9088 7900,"148-156 Jetty Rd, CURLEWIS, VIC, 3222, Australia",-38.1713143,144.5526936
The Village Early Learning Centre,VILLAGE ELC PTY LTD ATF Ferguson Family Trust 4,Centre-Based Care,11 Sandringham Road,SANDRINGHAM,VIC,3191,395986060,"11 Sandringham Road, SANDRINGHAM, VIC, 3191, Australia",-37.9502991,145.0056885
