Species,Common name(s),Certain,Beach and Dunes,Saltmarsh,Coastal marshlands and brackish flats,Swamp scrub,Woodlands and heathlands on sand,"Woodlands and forests on sedimentary hills, valleys and ridges",Grasslands and Woodlands on fertile plains,Cliffs and escarpments,River banks and creeklines,Wet heathland,Freshwater wetland,Saltwater wetland,Most likely occurrence,EPBC Category of threat,FFG Extinction Risk,FFG Category of Threat
Utricularia dichotoma,Fairies Aprons,,0.0,0.0,0.0,2.1,0.0,0.0,1.0,0.0,0.0,2.1,1.0,0,2.1,,,
Utricularia tenella,"Pink Bladderwort, Pink Fans",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1,1.0,0,2.1,,,
Vallisneria australis,"Ribbonweed, Eel Grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0,2.2,,,
Veronica plebeia,"Creeping Speedwell, Trailing Speedwell",,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Viminaria juncea,"Native Broom, Golden Spray",,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.1,3.1,0.0,0,3.1,,,
Viola cleistogamoides,Hidden Violet,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Viola eminens,Stately Violet,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Viola hederacea,"Native Violet, Ivy-leaf Violet",,2.1,0.0,0.0,2.1,3.1,3.1,0.0,0.0,0.0,1.0,0.0,0,3.1,,,
Vittadinia cuneata var. cuneata,"Common New Holland Daisy, Fuzzy New Holland Daisy, Fuzzweed",1,0.0,0.0,0.0,0.0,0.0,1.0,3.1,2.1,0.0,0.0,0.0,0,3.1,,,
Vittadinia muelleri,Narrow-leaf New Holland Daisy,,0.0,0.0,0.0,0.0,0.0,1.0,3.1,2.1,0.0,0.0,0.0,0,3.1,,,
Walwhalleya proluta,Rigid Panic,1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0,3.1,,,
Wilsonia rotundifolia,Round-leaf Wilsonia,,0.0,3.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.1,,,
Wolffia australiana,Duck Weed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Wurmbea dioica subsp. dioica,Early Nancy,,1.0,0.0,1.0,1.0,3.1,3.1,2.1,2.1,2.1,1.0,0.0,0,3.1,,,
Xanthorrhoea minor subsp. lutea,"Small Grass Tree, Toolimerin",,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Xerochrysum bracteatum,"Golden Everlasting, Straw Flower",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Zostera muelleri subsp. capricorni,Eel-grass,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3.2,,,
Zostera muelleri subsp. muelleri,Dwarf Grass-wrack,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,,,
Zygophyllum billardierei,Coast Twinleaf,,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Acacia acinacea,Gold Dust Wattle,,0.0,0.0,0.0,0.0,0.0,3.1,2.1,3.1,1.0,0.0,0.0,0,3.1,,,
Acacia aculeatissima,"Thin-leaf Wattle, Snake Wattle",,0.0,0.0,0.0,0.0,0.0,2.1,2.1,0.0,1.0,0.0,0.0,0,2.1,,,
Acacia brownii,"Heath Wattle, Golden Prickly Wattle",,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acacia genistifolia,Spreading Wattle,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acacia mearnsii,Black Wattle,1,1.0,0.0,1.0,1.0,3.1,3.2,3.1,3.1,3.2,1.0,0.0,0,3.2,,,
Acacia melanoxylon,Blackwood,1,1.0,0.0,1.0,3.1,3.1,3.1,3.1,3.1,3.2,1.0,0.0,0,3.2,,,
Acacia myrtifolia,Myrtle Wattle,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acacia paradoxa,"Hedge Wattle, Kangaroo Thorn",1,1.0,0.0,1.0,2.1,2.1,3.1,2.1,2.1,1.0,0.0,0.0,0,3.1,,,
Acacia suaveolens subsp. suaveolens,Sweet Wattle,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Acaena novae-zelandiae,Bidgee-widgee,1,1.0,0.0,3.1,3.1,2.1,2.1,0.0,0.0,2.1,1.0,0.0,0,3.1,,,
Acianthus caudatus,Mayfly Orchid,,2.1,0.0,0.0,1.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Acianthus pusillus,Gnat or Small Mosquito Orchid,,0.0,0.0,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Adiantum aethiopicum,Common Maidenhair,,0.0,0.0,0.0,0.0,3.1,2.1,1.0,1.0,2.1,0.0,0.0,0,3.1,,,
Alisma plantago-aquatica,Water Plantain,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Allocasuarina paradoxa,Green Sheoak,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Alternanthera denticulata,Lesser Joyweed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,3.1,0,3.1,,,
Alyxia buxifolia,Sea Box,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Amphibromus archeri,Pointed Swamp Wallaby-grass,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1.0,,,
Amphibromus fluitans,"River Swamp Wallaby-grass, Graceful Swamp Wallaby-grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,0,2.1,Vulnerable,,
Amphibromus macrorhinus,Long-nosed Swamp Wallaby-grass,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Anogramma leptophylla,Annual Fern,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Aotus ericoides,Common Aotus,,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Apium annuum,Annual Celery,,1.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Apium prostratum subsp. prostratum var. prostratum,Sea Celery,,1.0,0.0,3.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,3.1,,,
Arthropodium strictum,Chocolate Lily,1,1.0,0.0,1.0,2.1,2.2,3.2,2.2,3.1,3.1,1.0,0.0,0,3.2,,,
Asperula conferta,Common Woodruff,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,,
Austrostipa muelleri,Wiry Spear-grass,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Austrostipa nodosa,Knotty Spear-grass,1,0.0,0.0,0.0,0.0,0.0,1.0,3.1,2.1,1.0,0.0,0.0,0,3.1,,,
Austrostipa pubinodis,Tall Spear-grass,,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0,3.1,,,
Austrostipa semibarbata,Fibrous Spear-grass,,0.0,0.0,0.0,0.0,1.0,2.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Blechnum minus,Soft Water-fern,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Bolboschoenus caldwellii,"Sea Club-sedge, Salt Club-sedge",1,0.0,1.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,3.2,,,
Bossiaea cinerea,Showy Bossiaea,1,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Bothriochloa macra,Red-leg Grass,1,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Brachyscome paludicola (syn. Brachyscome basaltica var. gracilis),"Basalt Swamp-daisy, Woodland Swamp-daisy",,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,2.1,0,2.1,,,
Brachyscome ciliaris var. ciliaris,Variable Daisy,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1.0,,,
Brachyscome multifida,Cut-leaf Daisy,,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Brunonia australis,Blue Pincushion,,0.0,0.0,0.0,0.0,2.1,3.2,1.0,2.1,1.0,0.0,0.0,0,3.2,,,
Burchardia umbellata,Milkmaids,1,1.0,0.0,0.0,1.0,3.2,3.2,3.2,3.1,3.1,1.0,0.0,0,3.2,,,
Caladenia catenata,"White Fingers, White Caladenia",,0.0,0.0,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Caladenia flavovirens,"Summer Spider-orchid, Christmas Spider-orchid",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Critically Endangered
Caladenia latifolia,Pink Fairies,,3.1,0.0,0.0,3.1,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0,3.1,,,
Caladenia venusta,"Cream Spider-orchid, Large White Spider-orchid",,0.0,0.0,0.0,0.0,2.1,3.1,1.0,1.0,2.1,1.0,0.0,0,3.1,,Victoria,Endangered
Caleana major,"Large Duck-orchid, Flying Ducks",,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,1.0,0.0,0.0,0,3.1,,,
Callistemon sieberi,River Bottlebrush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0,3.2,,,
Callitriche sonderi,Matted Water-starwort,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0,3.1,,,
Calotis anthemoides,"Common Burr-daisy, Cut-leaf Burr-daisy",,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0,3.1,,Victoria,Critically Endangered
Calotis scabiosifolia var. integrifolia,Rough Burr-daisy,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,,
Calotis scapigera,Tufted Burr-daisy,,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0,3.1,,,
Calystegia sepium subsp. roseata,Large Bindweed,,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3.1,0.0,3.1,1,3.1,,,
Cardamine moirensis,Riverina Bitter-cress,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,Victoria,Endangered
Cardamine tenuifolia,Slender Bitter-cress,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,,,
Carex breviculmis,"Common Grass-sedge, Short-stem Sedge",1,0.0,0.0,0.0,1.0,2.1,3.1,3.1,1.0,2.1,1.0,1.0,0,3.1,,,
Carex chlorantha,Green-top Sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Carex fascicularis,Tassel Sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,2.1,0,3.2,,,
Carex gaudichaudiana,"Fen Sedge, Tufted Sedge",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,2.1,0,3.1,,,
Carex incomitata,Hillside Sedge,,0.0,0.0,2.1,1.0,0.0,0.0,0.0,1.0,2.1,0.0,1.0,1,2.1,,,
Carex iynx,Tussock Sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Carex tereticaulis,"Common Sedge, Hollow Sedge, Poong’ort",,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.1,0,2.1,,,
Carpobrotus modestus,"Inland Noonflower, Pigface",,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.1,0.0,0.0,0.0,0,2.1,,,
Carpobrotus rossii,"Ross' Noonflower, Karkalla",,3.1,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Cassinia longifolia,"Long-leaf Cassinia, Shiny Cassinia, Cauliflower Bush",,0.0,0.0,0.0,0.0,3.1,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Cassinia sifton,"Drooping Cassinia, Chinese Scrub, Sifton Bush",,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Cassytha pubescens,Downy Dodder-laurel,,0.0,0.0,0.0,2.1,2.1,3.1,0.0,0.0,2.1,1.0,0.0,0,3.1,,,
Centipeda cunninghamii,Common Sneezeweed,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.1,1,2.1,,,
Centipeda elatinoides,Elatine Sneezeweed,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,,,
Centrolepis aristata,Pointed Centrolepis,1,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.0,3.1,0,3.1,,,
Chamaescilla corymbosa,Blue Stars,,0.0,0.0,0.0,0.0,3.1,2.1,1.0,0.0,0.0,1.0,0.0,0,3.1,,,
Cheilanthes austrotenuifolia,Green Rock-fern,,0.0,0.0,0.0,0.0,1.0,3.1,2.1,3.1,3.1,0.0,0.0,0,3.1,,,
Cheilanthes sieberi subsp. sieberi,Narrow Rock-Fern,,0.0,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,0.0,0.0,0,3.1,,,
Chenopodium glaucum,Glaucous Goosefoot,1,0.0,3.1,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3.1,,,
Chiloglottis trapeziformis,"Dainty Bird-orchid, Broad-lip Bird-orchid, Dainty Wasp-orchid",,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Chloris truncata,"Windmill Grass, Umbrella Grass",1,0.0,0.0,0.0,0.0,0.0,2.1,3.1,2.1,1.0,0.0,0.0,0,3.1,,,
Chorizandra australis,Southern Bristle-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Chorizandra cymbaria,Heron Bristle-rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1.0,,,
Chrysocephalum apiculatum subsp. congestum,"Common Everlasting, Yellow Buttons",,0.0,0.0,0.0,0.0,0.0,2.1,2.2,1.0,0.0,0.0,0.0,0,2.2,,,
Clematis microphylla,Small-leaved Clematis,,2.1,0.0,2.1,2.1,2.1,3.1,2.1,2.1,2.1,0.0,0.0,0,3.1,,,
Comesperma polygaloides,Small Milkwort,1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,,Victoria,Critically Endangered
Convolvulus angustissimus subsp. angustissimus,"Australian Bindweed, Blushing Bindweed",,0.0,0.0,0.0,0.0,0.0,2.1,2.1,3.1,2.1,0.0,0.0,0,3.1,,,
Coronidium gunnianum,Pale Swamp Everlasting,1,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1,0,3.1,,Victoria,Critically Endangered
Coronidium scorpioides,"Button Everlasting, Curling Everlasting",1,0.0,0.0,0.0,0.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Correa alba var. alba,White Correa,,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.1,,,
Correa alba x reflexa,No Common Name,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Correa glabra x reflexa,"Hybrid Correa, Goldfields Correa (pink form)",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Correa reflexa var. speciosa,Eastern Correa,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Corunastylis archeri,Variable Midge-orchid,,0.0,0.0,0.0,0.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Corunastylis morrisii,Bearded Midge-orchid,,0.0,0.0,0.0,0.0,2.1,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Corybas incurvus,"Slaty Helmet-orchid, Toothed Helmet-orchid",,0.0,0.0,0.0,1.0,2.1,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Cotula vulgaris var. australasica,Slender Cotula,,1.0,2.1,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Crassula closiana,"Stalked Stonecrop, Stalked Crassula",,1.0,0.0,1.0,0.0,1.0,2.1,1.0,1.0,1.0,0.0,0.0,0,2.1,,,
Crassula helmsii,"Swamp Crassula, Swamp Stonecrop",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.1,1.0,3.1,0,3.1,,,
Crassula peduncularis,"Purple Crassula, Purple Stonecrop",,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0,2.1,,,
Crassula sieberiana,"Sieber Crassula, Austral Stonecrop",1,2.1,0.0,1.0,1.0,3.1,3.1,3.1,3.1,2.1,0.0,0.0,0,3.1,,,
Cullen parvum,Small Scurf-pea,,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0.0,0.0,0,2.1,,Victoria,Endangered
Cuscuta tasmanica,Golden Dodder,,1.0,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.1,,,
Cycnogeton alcockiae,Southern Water-ribbons,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.1,0,3.1,,,
Cymbonotus lawsonianus,Bear's Ear,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Cymbonotus preissianus,Austral Bear's-ears,1,0.0,0.0,0.0,0.0,0.0,3.1,3.1,1.0,0.0,0.0,0.0,0,3.1,,,
Cynoglossum suaveolens,Sweet Hound's-tongue,1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,2.1,2.1,0.0,0.0,0,3.1,,,
Cyperus gunnii subsp. gunnii,Flecked Flat-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,0,2.1,,,
Cyperus sanguinolentus,Dark Flat-sedge,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.1,0,3.1,,,
Cyrtostylis robusta,Large Gnat-orchid,,3.1,0.0,1.0,3.1,3.1,2.1,0.0,1.0,1.0,1.0,0.0,0,3.1,,,
Daucus glochidiatus,"Australian Carrot, Austral Carrot",1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,2.1,2.1,0.0,0.0,0,3.1,,,
Daviesia leptophylla,"Narrow-leaf Bitter-pea, Slender Bitter-pea",,0.0,0.0,0.0,0.0,1.0,3.1,1.0,0.0,0.0,0.0,0.0,0,3.1,,,
Daviesia leptophylla x latifolia,No Common Name,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Deyeuxia densa,Heath Bent-grass,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Deyeuxia quadriseta,Reed Bent-grass,,0.0,0.0,0.0,0.0,1.0,2.1,2.1,0.0,0.0,2.1,0.0,0,2.1,,,
Dianella amoena,Matted Flax-lily,1,0.0,0.0,0.0,0.0,0.0,3.1,3.1,1.0,1.0,0.0,0.0,0,3.1,Endangered,Victoria,Critically endangered
Dianella longifolia var. grandis,Arching Flax-lily,1,0.0,0.0,1.0,0.0,0.0,2.1,3.1,2.1,1.0,0.0,0.0,0,3.1,,Victoria,Critically endangered
Dianella revoluta var. revoluta,"Black-anther Flax-lily, Spreading Flax-lily",,3.1,0.0,2.1,3.1,3.2,3.2,3.2,3.1,2.1,1.0,0.0,0,3.2,,,
Dichelachne rara,Common Plume-grass,,0.0,0.0,0.0,0.0,0.0,2.1,0.0,1.0,1.0,0.0,0.0,0,2.1,,,
Dichondra repens,Kidney-weed,1,3.1,0.0,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,1.0,0,3.2,,,
Dillwynia glaberrima,"Heath Parrot-pea, Smooth Parrot-pea",,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,1.0,0.0,0,3.1,,,
Disphyma crassifolium subsp. clavellatum,Rounded Noon-flower,1,3.1,3.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.2,,,
Diuris orientis,Wallflower Orchid,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Diuris pardina,Leopard Orchid,,1.0,0.0,1.0,0.0,2.1,2.1,2.1,1.0,1.0,1.0,0.0,0,2.1,,,
Diuris punctata,Purple Diuris,,0.0,0.0,0.0,0.0,1.0,3.1,3.1,1.0,1.0,0.0,0.0,0,3.1,,Victoria,Endangered
Diuris sulphurea,Tiger or Hornet Orchid,1,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,1.0,0.0,0.0,0,3.1,,,
Dodonaea viscosa subsp. spatulata,Sticky Hop-bush,,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,0.0,0.0,0,2.1,,,
Doodia australis,Common Rasp-fern,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Drosera aberrans,Scented Sundew,,0.0,0.0,0.0,1.0,2.1,3.1,3.1,1.0,2.1,1.0,0.0,0,3.1,,,
Drosera auriculata,Tall Sundew,,0.0,0.0,0.0,1.0,3.1,3.1,3.1,1.0,2.1,1.0,0.0,0,3.1,,,
Drosera glanduligera,Scarlet Sundew,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,,,
Drosera spatulata,"Spoon-leaf Sundew, Rosy Sundew",,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Einadia hastata,"Saloop, Berry Saltbush",,0.0,0.0,0.0,0.0,0.0,2.1,1.0,2.1,1.0,0.0,0.0,0,2.1,,,
Empodisma minus,Spreading Rope-rush,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0,2.1,,,
Enchylaena tomentosa var. tomentosa,"Ruby Saltbush, Barrier Saltbush",1,1.0,0.0,0.0,0.0,0.0,2.1,2.1,3.1,1.0,0.0,0.0,0,3.1,,,
Entolasia stricta,"Upright Panic, Wiry Panic",,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Epacris gunnii,Ace of Spades,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Epacris impressa,Common Heath,,0.0,0.0,0.0,1.0,3.1,3.1,0.0,0.0,1.0,3.1,0.0,0,3.1,,,
Epacris obtusifolia,Blunt-Leaf Heath,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,,,
Epilobium billardierianum subsp. cinereum,Variable Willow-herb,,0.0,0.0,2.1,2.1,1.0,1.0,1.0,1.0,2.1,1.0,2.1,0,2.1,,,
Eragrostis parviflora,Weeping Love-grass,,0.0,1.0,3.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,3.1,,,
Eucalyptus globulus subsp. bicostata,"Eurabbie, Victorian Blue Gum",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1.0,,,
Eucalyptus leucoxylon subsp. connata,"Melbourne Yellow Gum, White Ironbark",,0.0,0.0,0.0,0.0,0.0,2.1,1.0,2.1,1.0,0.0,0.0,0,2.1,,Australia,Endangered
Eucalyptus melliodora,Yellow Box,1,0.0,0.0,0.0,0.0,1.0,3.1,3.1,3.1,3.1,0.0,0.0,0,3.1,,,
Eucalyptus ovata var. ovata,Swamp Gum,,0.0,0.0,0.0,1.0,3.1,1.0,1.0,0.0,3.1,2.1,0.0,0,3.1,,,
Eucalyptus x studleyensis,Studley Park Gum,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1.0,,Australia,Critically Endangered
Euphrasia collina subsp. muelleri,Purple Eyebright,,0.0,0.0,0.0,1.0,2.1,1.0,1.0,0.0,0.0,1.0,0.0,0,2.1,Endangered,Victoria,Endangered
Euphrasia scabra,"Rough Eyebright, Yellow Eyebright",,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Exocarpos strictus,"Pale Fruit Ballart, Dwarf Cherry",,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Gahnia filum,Chaffy Saw-sedge,,0.0,3.2,3.1,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.2,,,
Gahnia sieberiana,Red-fruited Saw-sedge,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1.0,,,
Galium leptogonium,Wandering Bedstraw,,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,1.0,0.0,0.0,0,2.1,,,
Gentianella polysperes,Early Forest-gentian,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,Victoria,Endangered
Geranium aff. retrorsum (Grasslands),Grassland Crane's-bill,,0.0,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,0.0,0.0,0,2.1,,,
Geranium gardneri,Rough Crane’s-bill,1,0.0,0.0,0.0,0.0,1.0,3.1,1.0,1.0,3.1,0.0,0.0,0,3.1,,,
Geranium homeanum,Rainforest Crane’s-bill,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1.0,,,
Geranium retrorsum subsp. retrorsum,Forest Crane's-bill,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,,,
Glossostigma elatinoides,Small Mudmat,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Glyceria australis,"Australian Sweet-grass, Manna Grass",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0,2.1,,,
Glycine latrobeana,"Clover Glycine, Purple Glycine",,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,3.1,Vulnerable,Victoria,Vulnerable
Glycine tabacina,"Vanilla Glycine, Variable Glycine",1,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.1,2.1,0.0,0.0,0,3.1,,,
