KEYAccidentNumber,DATAccidentDate_accident,TIMAccidentTime_accident,CATAccidentTypeDesc_accident,CATDayOfWeek_accident,CATDCADesc_accident,CATMelwaysPage_accident,CATMelwaysGridRef_X_accident,CATMelwaysGridRef_Y_accident,CATLightConditionDesc_accident,NUMVehiclesInvolved_accident,NUMPersonsInvolved_accident,NUMPersonsInjured_accident,KEYPersonID_person,CATRoadUserTypeDesc_person,CATTakenHospital_person,CATInjuryLevelDesc_person,CATAgeGroup_person,CATPostcode_person,CATGender_person,CATLGAName_node,CATDEGUrbanName_node,NUMLatitude_node,NUMLongitude_node,CATPostcode_node,CATSurfaceConditionDesc_surface,CATSubDCACodeDesc_subdca,CATAtmosphericConditionDesc_atmosphere,CATRoadName_acclocation,CATRoadNameInt_acclocation,CATRoadType_acclocation,CATRoadTypeInt_acclocation,CATEventTypeDesc_accevent,CATObjectTypeDesc_accevent
T20100036162,2010-09-08,07:20:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,Q,3.0,Day,1,3,1,02,Pedestrians,Y,Serious injury,50-59,2154.0,F,MELBOURNE,MELBOURNE_CBD,-37.81084195,144.967202,3000,Dry,Vehicle within intersection,Clear,LONSDALE,RUSSELL,STREET,STREET,Collision,Not Applicable
T20100036819,2010-09-12,00:55:00                      ,Struck Pedestrian,Sunday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,1D,S,3.0,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,50-59,6018.0,F,MELBOURNE,MELB_URBAN,-37.82101357,144.9654652,3006,Dry,Pedestrian emerged from behind car etc,Clear,RIVERSIDE,SOUTHGATE,QUAY,AVENUE,Collision,Not Applicable
T20100036941,2010-09-13,09:30:00                      ,Struck Pedestrian,Monday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2E,K,6.0,Day,1,2,0,01,Pedestrians,N,Other injury,unknown,,U,MELBOURNE,MELB_URBAN,-37.81922705,144.9536086,3008,Dry,Not Required,Clear,COLLINS,SPENCER,STREET,STREET,Collision,Not Applicable
T20100036986,2010-09-14,16:30:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1D,V,9.0,Day,1,2,0,01,Pedestrians, ,Other injury,50-59,3006.0,M,MELBOURNE,MELB_URBAN,-37.8249543,144.9708804,3004,Dry,Vehicle entering intersection,Clear,ST KILDA,GRANT,ROAD,STREET,Collision,Not Applicable
T20100037422,2010-09-17,08:54:00                      ,Struck Pedestrian,Friday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,1D,V,9.0,Day,1,3,1,02,Pedestrians,Y,Serious injury,22-25,3182.0,F,MELBOURNE,MELB_URBAN,-37.82475089,144.9707869,3004,Dry,Pedestrian emerged from behindtram,Clear,ST KILDA,BURNLEY,ROAD,TUNNEL,Collision,Not Applicable
T20100037459,2010-09-16,12:50:00                      ,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2T,K,5.0,Unknown,1,2,0,01,Pedestrians, ,Other injury,50-59,3032.0,F,MELBOURNE,MELB_URBAN,-37.79443166,144.9300881,3031,Unknown,Vehicle entering intersection,Not known,GOWER,MACAULAY,STREET,ROAD,Collision,Not Applicable
T20100037607,2010-09-18,18:23:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,L,1.0,Dark Street lights on,1,3,0,02,Pedestrians,N,Other injury,17-21,3056.0,F,MELBOURNE,MELB_URBAN,-37.81031669,144.9613588,3000,Wet,Vehicle entering intersection,Raining,ELIZABETH,LA TROBE,STREET,STREET,Collision,Not Applicable
T20100037750,2010-09-16,18:52:00                      ,Struck Pedestrian,Thursday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2F,C,1.0,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,22-25,,F,MELBOURNE,MELB_URBAN,-37.80996352,144.958399,3000,Dry,Vehicle leaving intersection,Clear,ABECKETT,QUEEN,STREET,STREET,Collision,Not Applicable
T20100038406,2010-09-25,11:40:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,B,10.0,Day,1,2,1,01,Pedestrians,Y,Serious injury,40-49,3083.0,M,MELBOURNE,MELB_URBAN,-37.80378502,144.9562523,3051,Dry,Vehicle leaving intersection,Clear,PEEL,QUEENSBERRY,STREET,STREET,Collision,Not Applicable
T20100038559,2010-09-26,18:07:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,1.0,Day,1,2,0,01,Pedestrians, ,Other injury,70+,3054.0,F,MELBOURNE,MELB_URBAN,-37.81031669,144.9613588,3000,Dry,Vehicle leaving intersection,Clear,ELIZABETH,LA TROBE,STREET,STREET,Collision,Not Applicable
T20100038685,2010-09-27,17:30:00                      ,Struck Pedestrian,Monday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2B,B,8.0,Day,1,2,1,01,Pedestrians,Y,Serious injury,22-25,,F,MELBOURNE,MELB_URBAN,-37.79969486,144.9573565,3000,Dry,Pedestrian working/pushing or working on vehicle,Not known,GRATTAN,ROYAL FWD,STREET,PARADE SERVICE ROAD,Collision,Not Applicable
T20100038978,2010-09-29,17:15:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1C,J,8.0,Day,1,2,0,01,Pedestrians, ,Other injury,17-21,3032.0,M,MELBOURNE,MELB_URBAN,-37.82697999,144.95888,3006,Dry,Not Required,Clear,CITY,CLARKE,ROAD,STREET,Collision,Not Applicable
T20100039166,2010-10-01,09:06:00                      ,Struck Pedestrian,Friday,PED WALKING WITH TRAFFIC                  ,2B,B,9.0,Day,1,2,0,01,Pedestrians,N,Other injury,22-25,3060.0,M,MELBOURNE,MELB_URBAN,-37.80137961,144.9569055,3000,Dry,Not on Footpath,Clear,ELIZABETH,FLEMINGTON,STREET,ROAD,Collision,Not Applicable
T20100039267,2010-10-01,13:19:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2E,K,2.0,Day,2,3,0,01,Pedestrians,N,Other injury,30-39,3122.0,F,MELBOURNE,MELB_URBAN,-37.81139946,144.9534217,3003,Dry,Vehicle entering intersection,Clear,KING,JEFFCOTT,STREET,STREET,Collision,Not Applicable
T20100039445,2010-10-03,06:20:00                      ,Struck Pedestrian,Sunday,PED STRUCK WALKING TO/FROM OR BOARDING/ALIGHTING VEHICLE.  ,1A,H,8.0,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,22-25,3031.0,M,MELBOURNE,MELBOURNE_CBD,-37.81736063,144.9617778,3000,Dry,Pedestrian emerged from behind car etc,Clear,QUEEN,RYRIE,STREET,LANE,Collision,Not Applicable
T20100039792,2010-09-29,12:55:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,A,9.0,Day,1,2,0,01,Pedestrians,N,Serious injury,26-29,3144.0,M,MELBOURNE,MELB_URBAN,-37.82350938,144.9765008,3004,Dry,Not Required,Clear,ALEXANDRA,BURNLEY,AVENUE,TUNNEL,Collision,Not Applicable
T20100040433,2010-10-09,15:18:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,L,1,Day,1,3,0,02,Pedestrians, ,Other injury,5-12,3450.0,M,MELBOURNE,MELB_URBAN,-37.81031669,144.9613588,3000,Dry,Vehicle entering intersection,Clear,ELIZABETH,LA TROBE,STREET,STREET,Collision,Not Applicable
T20100040887,2010-10-12,14:20:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1D,V,1,Day,1,2,0,01,Pedestrians,N,Other injury,50-59,3802.0,F,MELBOURNE,MELB_URBAN,-37.81787887,144.9676339,3000,Dry,Not Required,Clear,SWANSTON,FLINDERS,STREET,STREET,Collision,Not Applicable
T20100041010,2010-10-13,09:55:00                      ,Struck Pedestrian,Wednesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,F,2,Day,1,2,0,01,Pedestrians,N,Other injury,50-59,3145.0,F,MELBOURNE,MELBOURNE_CBD,-37.81273613,144.9568858,3000,Wet,Vehicle leaving intersection,Raining,LITTLE LONSDALE,WILLIAM,STREET,STREET,Collision,Not Applicable
T20100041186,2010-10-14,12:05:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,11,Day,1,2,0,01,Pedestrians,N,Other injury,40-49,3003.0,M,MELBOURNE,MELB_URBAN,-37.80629321,144.9595039,3000,Dry,Vehicle entering intersection,Clear,ELIZABETH,VICTORIA,STREET,STREET,Collision,Not Applicable
T20100041242,2010-10-14,14:05:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2A,D,2,Day,1,2,0,01,Pedestrians, ,Other injury,64-69,3352.0,M,MELBOURNE,MELB_URBAN,-37.78878492,144.9397509,3051,Dry,Not Required,Clear,BOUNDARY,BOUNDARY,LANE,ROAD,Collision,Not Applicable
T20100041314,2010-10-15,09:51:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,4,Day,1,2,0,01,Pedestrians,N,Serious injury,17-21,3561.0,M,MELBOURNE,MELB_URBAN,-37.79255198,144.9584548,3052,Wet,Vehicle entering intersection,Raining,ROYAL,COLLEGE,PARADE,CRESCENT,Collision,Not Applicable
T20100041343,2010-10-15,12:11:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,C,2,Day,1,2,1,01,Pedestrians,Y,Serious injury,50-59,,F,MELBOURNE,MELBOURNE_CBD,-37.81344691,144.9543742,3000,Wet,Vehicle leaving intersection,Raining,KING,LITTLE LONSDALE,STREET,STREET,Collision,Not Applicable
T20100041379,2010-10-15,15:25:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,H,9,Day,1,2,0,01,Pedestrians,N,Other injury,30-39,3076.0,F,MELBOURNE,MELBOURNE_CBD,-37.81790987,144.9620286,3000,Wet,Vehicle leaving intersection,Raining,FLINDERS,QUEEN,LANE,STREET,Collision,Not Applicable
T20100042313,2010-10-21,20:14:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2F,B,1,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,70+,3056.0,F,MELBOURNE,MELB_URBAN,-37.80886743,144.9580093,3000,Dry,Vehicle leaving intersection,Clear,FRANKLIN,QUEEN,STREET,STREET,Collision,Not Applicable
T20100043033,2010-10-26,17:38:00                      ,Struck Pedestrian,Tuesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2E,F,3,Day,1,2,1,01,Pedestrians,Y,Serious injury,30-39,3075.0,M,MELBOURNE,MELB_URBAN,-37.81282302,144.9429554,3008,Dry,Not Required,Clear,FOOTSCRAY ROAD -WURUNDJERI,DOCKLANDS,WAY,DRIVE,Collision,Not Applicable
T20100043703,2010-10-31,03:10:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,C,5,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,64-69,3174.0,M,MELBOURNE,MELBOURNE_CBD,-37.81638456,144.9557269,3000,Wet,Vehicle leaving intersection,Clear,KING,BOURKE,STREET,STREET,Collision,Not Applicable
T20100043891,2010-11-01,13:44:00                      ,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,H,9,Day,1,2,1,01,Pedestrians,Y,Serious injury,30-39,3171.0,F,MELBOURNE,MELBOURNE_CBD,-37.81790987,144.9620286,3000,Dry,Vehicle leaving intersection,Clear,FLINDERS,QUEEN,LANE,STREET,Collision,Not Applicable
T20100043951,2010-11-02,00:15:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,A,3,Dark Street lights on,1,4,1,03,Pedestrians,Y,Other injury,30-39,,F,MELBOURNE,MELB_URBAN,-37.81513671,144.9523409,3000,Dry,Vehicle leaving intersection,Clear,SPENCER,LONSDALE,STREET,STREET,Collision,Not Applicable
T20100044426,2010-11-05,08:45:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2K,K,4,Day,1,2,1,01,Pedestrians,Y,Serious injury,26-29,3182.0,F,MELBOURNE,MELB_URBAN,-37.83641834,144.9759812,3004,Dry,,Clear,TOORAK,ST KILDA FWD,ROAD,ROAD SERVICE ROAD,Collision,Not Applicable
T20100044498,2010-11-05,18:45:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,A,5,Day,1,2,1,01,Pedestrians,Y,Other injury,30-39,3216.0,F,MELBOURNE,MELB_URBAN,-37.81709201,144.9532397,3000,Dry,Vehicle entering intersection,Clear,SPENCER,BOURKE,STREET,STREET,Collision,Not Applicable
T20100044673,2010-11-03,14:00:00                      ,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2B,G,7,Day,1,2,0,01,Pedestrians, ,Other injury,60-64,2009.0,F,MELBOURNE,MELB_URBAN,-37.79911984,144.9672086,3053,Dry,Not Required,Clear,LYGON,UNIVERSITY,STREET,STREET,Collision,Not Applicable
T20100044772,2010-11-06,16:22:00                      ,Struck Pedestrian,Saturday,PED WALKING WITH TRAFFIC                  ,2T,J,1,Day,1,3,0,01,Pedestrians,N,Other injury,40-49,3003.0,M,MELBOURNE,MELB_URBAN,-37.78808936,144.9288402,3031,Dry,Not on Footpath,Clear,RACECOURSE,BELLAIR,ROAD,STREET,Collision,Not Applicable
T20100044841,2010-11-08,15:53:00                      ,Struck Pedestrian,Monday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2L,B,2,Day,1,2,1,01,Pedestrians,Y,Serious injury,13-15,3146.0,M,MELBOURNE,MELB_URBAN,-37.83280954,144.9786704,3004,Dry,Pedestrian emerged from behind car etc,Clear,BIRDWOOD,DALLAS BROOKS,AVENUE,DRIVE,Collision,Not Applicable
T20100045013,2010-11-09,18:40:00                      ,Struck Pedestrian,Tuesday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2B,C,10,Day,1,2,0,01,Pedestrians,N,Other injury,22-25,3000.0,M,MELBOURNE,MELB_URBAN,-37.80403938,144.9584689,3000,Dry,Vehicle entering intersection,Clear,ELIZABETH,QUEENSBERRY,STREET,STREET,Collision,Not Applicable
T20100045650,2010-11-13,20:40:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,Q,9,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,26-29,,F,MELBOURNE,MELBOURNE_CBD,-37.81575683,144.9694542,3000,Wet,Vehicle leaving intersection,Raining,FLINDERS,RUSSELL,LANE,STREET,Collision,Not Applicable
T20100046019,2010-11-16,18:40:00                      ,Struck Pedestrian,Tuesday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2T,E,3,Day,1,2,0,01,Pedestrians, ,Other injury,30-39,,M,MELBOURNE,MELB_URBAN,-37.79120694,144.9197863,3031,Wet,Pedestrian standing,Raining,SMITHFIELD,GATEHOUSE,ROAD,DRIVE,Collision,Not Applicable
T20100046188,2010-11-16,16:00:00                      ,Struck Pedestrian,Tuesday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,1B,L,3,Day,1,2,0,01,Pedestrians, ,Other injury,50-59,,M,MELBOURNE,MELBOURNE_CBD,-37.81212687,144.9627885,3000,Dry,Pedestrian emerged from behind car etc,Not known,LONSDALE,ELIZABETH,STREET,STREET,Collision,Not Applicable
T20100046369,2010-11-19,05:40:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,C,3,Dusk/Dawn,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3196.0,M,MELBOURNE,MELBOURNE_CBD,-37.8144259,144.9548263,3000,Dry,Vehicle leaving intersection,Clear,KING,LONSDALE,STREET,STREET,Collision,Not Applicable
T20100046430,2010-11-19,13:15:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,K,1,Day,1,3,0,02,Pedestrians,N,Other injury,26-29,,M,MELBOURNE,MELB_URBAN,-37.81036281,144.9612013,3000,Dry,Not Required,Clear,LA TROBE,ELIZABETH,STREET,STREET,Collision,Not Applicable
T20100046686,2010-11-21,02:55:00                      ,Struck Pedestrian,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1D,V,7,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,22-25,3141.0,F,MELBOURNE,MELB_URBAN,-37.82290965,144.9699412,3004,Dry,Not Required,Clear,ST KILDA,ST KILDA,ROAD,ROAD,Collision,Not Applicable
T20100047206,2010-09-29,16:30:00                      ,Struck Pedestrian,Wednesday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,N,7,Day,1,2,0,01,Pedestrians,N,Other injury,40-49,,F,MELBOURNE,MELBOURNE_CBD,-37.81536025,144.9664792,3000,Dry,Not Required,Clear,SWANSTON,COLLINS,STREET,STREET,Collision,Not Applicable
T20100047553,2010-11-24,15:50:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2L,C,9,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,,M,MELBOURNE,MELB_URBAN,-37.84527547,144.981911,3004,Dry,Vehicle reversing,Clear,COMMERCIAL,ALFRED,ROAD,LANE,Collision,Not Applicable
T20100047871,2010-11-28,14:49:00                      ,Struck Pedestrian,Sunday,PED WALKING AGAINST TRAFFIC.                ,2A,J,8,Day,1,2,1,01,Pedestrians,Y,Serious injury,60-64,3058.0,M,MELBOURNE,MELB_URBAN,-37.80097755,144.9499905,3051,Dry,Not on Footpath,Clear,ARDEN,ERROL,STREET,STREET,Collision,Not Applicable
T20100048381,2010-12-01,15:15:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2B,B,11,Day,1,3,1,02,Pedestrians,Y,Serious injury,64-69,3003.0,M,MELBOURNE,MELB_URBAN,-37.80600204,144.9571125,3000,Wet,Vehicle within intersection,Clear,VICTORIA,COBDEN,STREET,STREET,Collision,Not Applicable
T20100048523,2010-12-02,21:30:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,T,7,Dark Street lights on,1,2,1,01,Pedestrians,Y,Other injury,17-21,,F,MELBOURNE,MELBOURNE_CBD,-37.81404704,144.9714728,3000,Wet,Vehicle leaving intersection,Raining,COLLINS,EXHIBITION,STREET,STREET,Collision,Not Applicable
T20100048595,2010-12-03,12:50:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,1,Day,1,3,0,01,Pedestrians, ,Other injury,17-21,3020.0,M,MELBOURNE,MELBOURNE_CBD,-37.80959426,144.9638262,3000,Wet,Vehicle leaving intersection,Clear,LA TROBE,SWANSTON,STREET,STREET,Collision,Not Applicable
T20100048595,2010-12-03,12:50:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,N,1,Day,1,3,0,02,Pedestrians, ,Other injury,50-59,3053.0,M,MELBOURNE,MELBOURNE_CBD,-37.80959426,144.9638262,3000,Wet,Vehicle leaving intersection,Clear,LA TROBE,SWANSTON,STREET,STREET,Collision,Not Applicable
T20100048765,2010-12-04,13:00:00                      ,Struck Pedestrian,Saturday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1A,H,8,Day,1,2,0,01,Pedestrians,N,Serious injury,40-49,,F,MELBOURNE,MELBOURNE_CBD,-37.81773973,144.9619509,3000,Dry,Not Required,Clear,QUEEN,FLINDERS,STREET,LANE,Collision,Not Applicable
T20100048791,2010-12-03,12:30:00                      ,Struck Pedestrian,Friday,PED WALKING WITH TRAFFIC                  ,2A,B,5,Day,1,2,0,01,Pedestrians,N,Other injury,30-39,,F,MELBOURNE,MELB_URBAN,-37.79565002,144.9351739,3031,Dry,Not on Footpath,Clear,BENT,LITTLE HARDIMAN,STREET,STREET,Collision,Not Applicable
T20100048865,2010-12-05,04:48:00                      ,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,N,10,Dark Street lights on,1,2,0,01,Pedestrians,N,Other injury,22-25,3122.0,F,MELBOURNE,MELB_URBAN,-37.81745307,144.967438,3000,Dry,Not Required,Clear,FLINDERS,SWANSTON,STREET,STREET,Collision,Not Applicable
T20100049407,2010-12-03,11:50:00                      ,Struck Pedestrian,Friday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1A,B,5,Day,1,2,0,01,Pedestrians, ,Other injury,30-39,3000.0,F,MELBOURNE,MELBOURNE_CBD,-37.81711097,144.9538666,3000,Dry,Not Required,Clear,GODFREY,BOURKE,STREET,STREET,Collision,Not Applicable
T20100049643,2010-12-01,17:50:00                      ,Struck Pedestrian,Wednesday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1A,H,9,Day,1,2,1,01,Pedestrians,Y,Serious injury,40-49,3185.0,F,MELBOURNE,MELBOURNE_CBD,-37.81790987,144.9620286,3000,Unknown,Vehicle entering intersection,Not known,FLINDERS,QUEEN,LANE,STREET,Collision,Not Applicable
T20100049736,2010-12-10,20:00:00                      ,Struck Pedestrian,Friday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,1B,N,10,Day,1,4,1,03,Pedestrians,Y,Serious injury,26-29,3012.0,M,MELBOURNE,MELB_URBAN,-37.81745307,144.967438,3000,Dry,Vehicle entering intersection,Clear,FLINDERS,SWANSTON,STREET,STREET,Collision,Not Applicable
T20100049753,2010-12-10,23:30:00                      ,Struck Pedestrian,Friday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,2G,A,4,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,30-39,,F,MELBOURNE,MELB_URBAN,-37.81551277,144.9773585,3002,Dry,Vehicle entering intersection,Clear,LANSDOWNE,WELLINGTON,STREET,PARADE,Collision,Not Applicable
T20100049777,2010-12-11,02:30:00                      ,Struck Pedestrian,Saturday,PED WALKING WITH TRAFFIC                  ,1D,Q,10,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,30-39,3338.0,M,MELBOURNE,MELB_URBAN,-37.82753936,144.9661266,3006,Dry,Not on Footpath,Clear,STURT,POWER,STREET,STREET,Collision,Not Applicable
T20100049887,2010-12-11,22:45:00                      ,Struck Pedestrian,Saturday,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,2A,H,12,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3280.0,M,MELBOURNE,MELB_URBAN,-37.80793172,144.9481175,3003,Dry,Not Required,Clear,SPENCER,RODEN,STREET,STREET,Collision,Not Applicable
T20100049899,2010-12-12,04:30:00                      ,Struck Pedestrian,Sunday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,2F,H,12,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,17-21,3182.0,M,MELBOURNE,MELB_URBAN,-37.82936,144.9713149,3006,Dry,Not Required,Clear,ST KILDA,DORCAS,ROAD,STREET,Collision,Not Applicable
T20100049951,2010-12-12,02:34:00                      ,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,1A,C,3,Dark Street lights on,2,10,0,07,Pedestrians,N,Other injury,40-49,3038.0,M,MELBOURNE,MELBOURNE_CBD,-37.8144259,144.9548263,3000,Dry,Not Required,Clear,KING,LONSDALE,STREET,STREET,Collision,Not Applicable
T20100049951,2010-12-12,02:34:00                      ,Collision with vehicle,Sunday,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,1A,C,3,Dark Street lights on,2,10,0,08,Pedestrians,N,Other injury,30-39,3169.0,M,MELBOURNE,MELBOURNE_CBD,-37.8144259,144.9548263,3000,Dry,Not Required,Clear,KING,LONSDALE,STREET,STREET,Collision,Not Applicable
T20100050091,2010-12-13,01:30:00                      ,Struck Pedestrian,Monday,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.  ,1B,L,1,Dark Street lights unknown,1,2,0,01,Pedestrians,N,Serious injury,26-29,3071.0,M,MELBOURNE,MELB_URBAN,-37.81031669,144.9613588,3000,Unknown,Not Required,Not known,ELIZABETH,LA TROBE,STREET,STREET,Collision,Not Applicable
T20100050539,2010-12-16,12:30:00                      ,Struck Pedestrian,Thursday,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,2L,A,6,Day,1,2,0,01,Pedestrians, ,Other injury,40-49,,F,MELBOURNE,MELB_URBAN,-37.84134322,144.9774063,3004,Dry,Pedestrian standing,Clear,ST KILDA,LEOPOLD,ROAD,STREET,Collision,Not Applicable
T20100050788,2010-12-17,22:40:00                      ,Struck Pedestrian,Friday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2L,C,11,Dark Street lights on,1,2,1,01,Pedestrians,Y,Serious injury,26-29,3181.0,F,MELBOURNE,MELB_URBAN,-37.85029318,144.9812294,3004,Dry,Pedestrian emerged from behind car etc,Clear,HIGH,ST KILDA FWD,STREET,ROAD SERVICE ROAD,Collision,Not Applicable
T20100050854,2010-12-18,11:53:00                      ,Struck Pedestrian,Saturday,PED EMERGES FROM IN FRONT OF PARKED OR STATIONARY VEHICLE  ,2A,F,6,Day,1,3,1,02,Pedestrians,Y,Serious injury,70+,,M,MELBOURNE,MELB_URBAN,-37.79597643,144.9433506,3051,Dry,Pedestrian emerged from behind car etc,Clear,CANNING,SHANDS,STREET,LANE,Collision,Not Applicable
T20100050962,2010-12-19,01:00:00                      ,Struck Pedestrian,Sunday,PED WALKING AGAINST TRAFFIC.                ,1C,K,2,Dark Street lights on,1,2,0,01,Pedestrians, ,Other injury,26-29,3170.0,M,MELBOURNE,MELB_URBAN,-37.8214807,144.9580167,3000,Dry,Not on Footpath,Clear,KINGS,QUEENS,WAY,WHARF,Collision,Not Applicable
T20100051572,2010-12-23,16:39:00                      ,Struck Pedestrian,Thursday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,1B,V,3,Day,1,2,0,01,Pedestrians,N,Other injury,26-29,3207.0,F,MELBOURNE,MELB_URBAN,-37.80940402,144.97214,3000,Dry,Vehicle entering intersection,Clear,LONSDALE,SPRING,STREET,STREET,Collision,Not Applicable
